Calib-site	Sample-type	Surface-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	Erosion(cm/yr)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	Publication
1	boulder	Balc2009-1	06-NE-010-LIT	44.2903	-71.7612	357	2	2.65	0.999	0.00007	81800	2600	KNSTD	447000	29000	KNSTD	2006	13952	250	Balco et al. (2009)
1	boulder	Balc2009-2	06-NE-011-LIT	44.2904	-71.7608	357	2	2.65	0.999	0.00007	80600	2700	KNSTD	514000	36000	KNSTD	2006	13952	250	Balco et al. (2009)
1	boulder	Balc2009-3	06-NE-012-LIT	44.3129	-71.5722	414	1	2.65	0.999	0.00007	88300	2300	KNSTD	559000	25000	KNSTD	2006	13952	250	Balco et al. (2009)
1	boulder	Balc2009-4	06-NE-013-LIT	44.3146	-71.5730	412	10	2.65	0.999	0.00007	86100	2400	KNSTD	498000	20000	KNSTD	2006	13952	250	Balco et al. (2009)
1	boulder	Balc2009-4	06-NE-013-LIT	44.3146	-71.5730	412	10	2.65	0.999	0.00007	74000	2800	KNSTD	0	0	0	2006	13952	250	Balco et al. (2009)
1	boulder	Borc2016-25	07-NE-001-BH	44.3143	-71.5740	417	3.6	2.57	0.9929	0.00007	77455	1568	07KNSTD	556132	21706	KNSTD	2007	13953	250	Borchers et al. (2016)
1	boulder	Borc2016-25	07-NE-001-BH	44.3143	-71.5740	417	3.6	2.57	0.9929	0.00007	77437	1684	07KNSTD	583415	30560	KNSTD	2007	13953	250	Borchers et al. (2016)
1	boulder	Borc2016-26	07-NE-002-BH	44.3139	-71.5750	412	4.6	2.57	0.9929	0.00007	81961	1564	07KNSTD	583843	60453	KNSTD	2007	13953	250	Borchers et al. (2016)
1	boulder	Borc2016-26	07-NE-002-BH	44.3139	-71.5750	412	4.6	2.57	0.9929	0.00007	86365	1874	07KNSTD	562770	30421	KNSTD	2007	13953	250	Borchers et al. (2016)
1	boulder	Borc2016-27	07-NE-003-BH	44.3110	-71.5766	411	2.2	2.57	0.9929	0.00007	69128	1321	07KNSTD	531106	19727	KNSTD	2007	13953	250	Borchers et al. (2016)
