Calib-site	P10(at/g/yr)	P10-unc(at/g/yr)	P10-χ2R	P10-p-value	P10-included?	P26(at/g/yr)	P26-unc(at/g/yr)	P26-χ2R	P26-p-value	P26-included?	Publication
1	4.269	0.160	1.443	0.154	X	29.430	1.712	1.141	0.327	X	Balco et al. (2009), Borchers et al. (in press)
2	4.930	0.167	1.003	0.367	-	-	-	-	-	-	Balco et al. (2009)
3	3.865	0.286	0.735	0.621	X	-	-	-	-	-	Balco et al. (2009)
4	3.799	0.098	0.353	0.909	X	-	-	-	-	-	Putnam et al. (2010)
5	4.001	0.123	0.176	0.983	X	-	-	-	-	-	Putnam et al. (2010)
6	3.540	0.137	0.824	0.439	X	-	-	-	-	-	Fenton et al. (2011)
7	3.916	0.190	0.764	0.466	X	-	-	-	-	-	Fenton et al. (2011)
8	3.902	0.130	1.037	0.409	X	-	-	-	-	-	Kaplan et al. (2011)
9	4.009	0.128	1.100	0.360	X	-	-	-	-	-	Kaplan et al. (2011)
10	3.838	0.305	0.436	0.824	X	-	-	-	-	-	Briner et al. (2012)
11	4.089	0.116	1.437	0.196	X	-	-	-	-	-	Goehring et al. (2012)
12	4.049	0.138	1.399	0.231	X	-	-	-	-	-	Goehring et al. (2012)
13	3.903	0.177	0.571	0.754	X	-	-	-	-	-	Balco et al. (2009), Young et al. (2013)
14	3.853	0.107	0.128	0.972	X	-	-	-	-	-	Young et al. (2013)
15	4.115	0.245	0.767	0.615	X	-	-	-	-	-	Claude et al. (2014)
16	3.742	0.119	1.295	0.179	X	26.907	1.288	1.046	0.400	X	Kelly et al. (2015), Phillips et al. (2016)
17	4.195	0.139	0.160	0.977	X	28.824	1.639	0.702	0.622	X	Lifton et al. (2015)
18	4.112	0.207	0.502	0.735	X	-	-	-	-	-	Stroeven et al. (2015)
19	4.165	0.215	0.031	0.993	X	-	-	-	-	-	Small and Fabel (2015)
20	3.997	0.226	0.736	0.705	X	-	-	-	-	-	Martin et al. (2015)
21	4.078	0.164	0.712	0.640	X	-	-	-	-	-	Borchers et al. (2016)
22	4.087	0.155	0.810	0.607	X	29.614	1.747	0.769	0.645	X	Borchers et al. (2016)
23	4.063	0.150	0.155	0.978	X	29.328	1.521	0.213	0.957	X	Borchers et al. (2016)
24	3.734	0.109	4.009	0.018	-	25.819	1.160	2.191	0.112	X	Borchers et al. (2016)
25	4.159	0.169	7.734	0.000	-	28.891	1.680	0.996	0.369	X	Borchers et al. (2016)
μ ± σ	3.98	0.21	-	-	-	28.40	1.89	-	-	-	-
