P-201806-sites
expage.github.io

Calib-site	P10(at/g/yr)	P10-unc(at/g/yr)	P10-χ2R	P10-p-value	P10-included?	P26(at/g/yr)	P26-unc(at/g/yr)	P26-χ2R	P26-p-value	P26-included?	Publication
1	4.272	0.160	1.443	0.154	X	29.447	1.712	1.140	0.327	X	Balco et al. (2009), Borchers et al. (in press)
2	4.934	0.167	1.002	0.367	-	-	-	-	-	-	Balco et al. (2009)
3	3.868	0.286	0.735	0.621	X	-	-	-	-	-	Balco et al. (2009)
4	3.800	0.098	0.353	0.908	X	-	-	-	-	-	Putnam et al. (2010)
5	4.003	0.123	0.176	0.983	X	-	-	-	-	-	Putnam et al. (2010)
6	3.541	0.137	0.824	0.438	X	-	-	-	-	-	Fenton et al. (2011)
7	3.917	0.190	0.763	0.466	X	-	-	-	-	-	Fenton et al. (2011)
8	3.904	0.130	1.035	0.411	X	-	-	-	-	-	Kaplan et al. (2011)
9	4.011	0.128	1.098	0.361	X	-	-	-	-	-	Kaplan et al. (2011)
10	3.839	0.305	0.436	0.824	X	-	-	-	-	-	Briner et al. (2012)
11	4.090	0.116	1.437	0.196	X	-	-	-	-	-	Goehring et al. (2012)
12	4.050	0.138	1.400	0.231	X	-	-	-	-	-	Goehring et al. (2012)
13	3.904	0.177	0.571	0.754	X	-	-	-	-	-	Balco et al. (2009), Young et al. (2013)
14	3.854	0.107	0.128	0.972	X	-	-	-	-	-	Young et al. (2013)
15	4.116	0.245	0.767	0.615	X	-	-	-	-	-	Claude et al. (2014)
16	3.724	0.118	1.381	0.105	X	26.971	1.283	0.993	0.443	X	Kelly et al. (2015), Phillips et al. (2016b)
17	4.196	0.139	0.160	0.977	X	28.824	1.639	0.702	0.622	X	Lifton et al. (2015)
18	4.028	0.229	0.775	0.625	X	-	-	-	-	-	Stroeven et al. (2015)
19	4.166	0.215	0.031	0.993	X	-	-	-	-	-	Small and Fabel (2015)
20	3.998	0.226	0.735	0.705	X	-	-	-	-	-	Martin et al. (2015)
21	4.079	0.164	0.711	0.640	X	-	-	-	-	-	Borchers et al. (2016)
22	4.088	0.156	0.810	0.607	X	29.614	1.747	0.769	0.645	X	Borchers et al. (2016)
23	4.064	0.150	0.155	0.978	X	29.328	1.521	0.213	0.957	X	Borchers et al. (2016)
24	3.735	0.109	4.009	0.018	-	25.819	1.160	2.191	0.112	X	Borchers et al. (2016)
25	4.162	0.169	7.736	0.000	-	28.912	1.680	0.996	0.369	X	Borchers et al. (2016)
μ ± σ	3.98	0.22	1.43	0.09	-	28.42	1.87	1.27	0.27	-	-
