P-201810-calib
expage.github.io

Calib-site	Sample-type	Sample-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Alt-flag	Thickn(cm)	Density(g/cm3)	Shield	Erosion(mm/ka)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	P10(at/g/yr)	P10-unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26-unc(at/g/yr)	P26-included?	Publication
1	boulder	Balc2009-1	06-NE-010-LIT	44.2903	-71.7612	357	std	2	2.65	0.999	0.7	81800	2600	KNSTD	447000	29000	KNSTD	2006	13952	250	4.195	0.154	X	25.461	1.738	X	Balco et al. (2009)
1	boulder	Balc2009-2	06-NE-011-LIT	44.2904	-71.7608	357	std	2	2.65	0.999	0.7	80600	2700	KNSTD	514000	36000	KNSTD	2006	13952	250	4.133	0.158	X	29.351	2.153	X	Balco et al. (2009)
1	boulder	Balc2009-3	06-NE-012-LIT	44.3129	-71.5722	414	std	1	2.65	0.999	0.7	88300	2561	KNSTD	559000	27391	KNSTD	2006	13952	250	4.257	0.146	X	30.035	1.588	X	Balco et al. (2009)
1	boulder	Balc2009-4	06-NE-013-LIT	44.3146	-71.5730	412	std	10	2.65	0.999	0.7	80975	5979	KNSTD	498000	24402	KNSTD	2006	13952	250	4.218	0.324	X	28.884	1.528	X	Balco et al. (2009)
1	boulder	Borc2016-25	07-NE-001-BH	44.3143	-71.5740	417	std	3.6	2.57	0.9929	0.7	77447	2246	07KNSTD	565281	27699	KNSTD	2007	13953	250	4.230	0.145	X	31.131	1.646	X	Borchers et al. (2016)
1	boulder	Borc2016-26	07-NE-002-BH	44.3139	-71.5750	412	std	4.6	2.57	0.9929	0.7	83769	2429	07KNSTD	567028	27784	KNSTD	2007	13953	250	4.640	0.159	X	31.635	1.673	X	Borchers et al. (2016)
1	boulder	Borc2016-27	07-NE-003-BH	44.3110	-71.5766	411	std	2.2	2.57	0.9929	0.7	71963	3563	07KNSTD	488369	53333	KNSTD	2007	13953	250	3.904	0.208	X	26.668	2.995	X	Borchers et al. (2016)
1	boulder	Borc2016-28	07-NE-004-BH	44.3114	-71.5750	412	std	3.9	2.57	0.9929	0.7	80320	2329	07KNSTD	560270	27453	KNSTD	2007	13953	250	4.421	0.152	X	31.073	1.643	X	Borchers et al. (2016)
1	boulder	Borc2016-29	07-NE-005-BH	44.3108	-71.5761	409	std	3.7	2.58	0.9929	0.7	76931	2231	07KNSTD	531187	26028	KNSTD	2007	13953	250	4.238	0.146	X	29.472	1.558	X	Borchers et al. (2016)
1	boulder	Borc2016-30	07-NE-006-BH	44.3083	-71.5765	413	std	3.4	2.53	0.9929	0.7	79506	2306	07KNSTD	555682	46684	KNSTD	2007	13953	250	4.351	0.150	X	30.643	2.670	X	Borchers et al. (2016)
