P-201912-calib
expage.github.io

Calib-site	Sample-type	Sample-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Alt-flag	Thickn(cm)	Density(g/cm3)	Shield	Erosion(mm/ka)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	P10(at/g/yr)	P10-unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26-unc(at/g/yr)	P26-included?	P10iso(at/g/yr)	P10iso-unc(at/g/yr)	P10iso-included?	P26iso(at/g/yr)	P26iso-unc(at/g/yr)	P26iso-included?	Publication
1	boulder	Balc2009-1	06-NE-010-LIT	44.2903	-71.7612	357	std	2	2.65	0.999	0.7	81800	2600	KNSTD	447000	29000	KNSTD	2006	13952	250	4.195	0.154	X	25.461	1.738	X	4.286	0.158	X	26.004	1.775	X	Balco et al. (2009)
1	boulder	Balc2009-2	06-NE-011-LIT	44.2904	-71.7608	357	std	2	2.65	0.999	0.7	80600	2700	KNSTD	514000	36000	KNSTD	2006	13952	250	4.133	0.158	X	29.351	2.153	X	4.222	0.162	X	29.976	2.199	X	Balco et al. (2009)
1	boulder	Balc2009-3	06-NE-012-LIT	44.3129	-71.5722	414	std	1	2.65	0.999	0.7	88300	2561	KNSTD	559000	27391	KNSTD	2006	13952	250	4.257	0.146	X	30.035	1.588	X	4.346	0.149	X	30.651	1.621	X	Balco et al. (2009)
1	boulder	Balc2009-4	06-NE-013-LIT	44.3146	-71.5730	412	std	10	2.65	0.999	0.7	80515	6032	KNSTD	498000	24402	KNSTD	2006	13952	250	4.194	0.327	X	28.884	1.528	X	4.281	0.334	X	29.478	1.559	X	Balco et al. (2009)
1	boulder	Borc2016-25	07-NE-001-BH	44.3143	-71.5740	417	std	3.6	2.57	0.9929	0.7	77446	2246	07KNSTD	568395	27851	KNSTD	2007	13953	250	4.230	0.145	X	31.305	1.655	X	4.318	0.148	X	31.948	1.689	X	Borchers et al. (2016)
1	boulder	Borc2016-26	07-NE-002-BH	44.3139	-71.5750	412	std	4.6	2.57	0.9929	0.7	84011	2436	07KNSTD	570218	29042	KNSTD	2007	13953	250	4.653	0.160	X	31.815	1.741	X	4.750	0.163	X	32.470	1.777	X	Borchers et al. (2016)
1	boulder	Borc2016-27	07-NE-003-BH	44.3110	-71.5766	411	std	2.2	2.57	0.9929	0.7	72369	3633	07KNSTD	482485	54314	KNSTD	2007	13953	250	3.926	0.211	X	26.341	3.047	X	4.008	0.216	X	26.882	3.110	X	Borchers et al. (2016)
1	boulder	Borc2016-28	07-NE-004-BH	44.3114	-71.5750	412	std	3.9	2.57	0.9929	0.7	80553	2336	07KNSTD	559608	27421	KNSTD	2007	13953	250	4.434	0.152	X	31.035	1.641	X	4.526	0.156	X	31.672	1.675	X	Borchers et al. (2016)
1	boulder	Borc2016-29	07-NE-005-BH	44.3108	-71.5761	409	std	3.7	2.58	0.9929	0.7	77299	2242	07KNSTD	531447	26041	KNSTD	2007	13953	250	4.258	0.146	X	29.487	1.559	X	4.347	0.149	X	30.092	1.591	X	Borchers et al. (2016)
1	boulder	Borc2016-30	07-NE-006-BH	44.3083	-71.5765	413	std	3.4	2.53	0.9929	0.7	79139	2295	07KNSTD	549836	47786	KNSTD	2007	13953	250	4.331	0.149	X	30.316	2.729	X	4.421	0.152	X	30.937	2.785	X	Borchers et al. (2016)
1	boulder	Borc2016-31	07-NE-007-BH	44.3082	-71.5770	412	std	3.4	2.57	0.9929	0.7	74891	3982	07KNSTD	511639	25070	KNSTD	2007	13953	250	4.102	0.233	X	28.218	1.492	X	4.187	0.237	X	28.796	1.523	X	Borchers et al. (2016)
2	boulder	Balc2009-6	06-NE-002-LEV	42.5042	-72.5224	135	std	5	2.65	0.998	0.7	80083	4328	KNSTD	0	0	0	2006	16113	300	4.669	0.270	-	-	-	-	4.706	0.272	-	-	-	-	Balco et al. (2009)
2	boulder	Balc2009-7	06-NE-003-LEV	42.5059	-72.5212	160	std	3	2.65	0.999	0.7	87100	2526	KNSTD	0	0	0	2006	16113	300	4.874	0.170	-	-	-	-	4.913	0.171	-	-	-	-	Balco et al. (2009)
2	boulder	Balc2009-8	06-NE-004-LEV	42.5049	-72.5218	154	std	2	2.65	0.999	0.7	91100	2642	KNSTD	0	0	0	2006	16113	300	5.086	0.177	-	-	-	-	5.127	0.178	-	-	-	-	Balco et al. (2009)
3	boulder	Balc2009-13	CH-1	44.846	-73.579	237	std	2	2.65	1	0.7	64900	10600	KNSTD	0	0	0	2006	13212	151	3.882	0.643	X	-	-	-	4.011	0.664	X	-	-	-	Balco et al. (2009)
3	boulder	Balc2009-14	CH-2	44.846	-73.579	236	std	1	2.65	1	0.7	60700	6500	KNSTD	0	0	0	2006	13212	151	3.600	0.392	X	-	-	-	3.719	0.405	X	-	-	-	Balco et al. (2009)
