P-201912-sites
expage.github.io

Calib-site	P10(at/g/yr)	P10-unc(at/g/yr)	P10-χ2R	P10-p-value	P10-included?	P26(at/g/yr)	P26-unc(at/g/yr)	P26-χ2R	P26-p-value	P26-included?	P10iso(at/g/yr)	P10iso-unc(at/g/yr)	P10iso-χ2R	P10iso-p-value	P10iso-included?	P26iso(at/g/yr)	P26iso-unc(at/g/yr)	P26iso-χ2R	P26iso-p-value	P26iso-included?	Publication
1	4.228	0.143	1.610	0.097	X	29.637	1.639	1.258	0.248	X	4.317	0.145	1.602	0.099	X	30.248	1.672	1.251	0.252	X	Balco et al. (2009), Borchers et al. (2016)
2	4.887	0.184	1.255	0.285	-	-	-	-	-	-	4.926	0.186	1.255	0.285	-	-	-	-	-	-	Balco et al. (2009)
3	3.930	0.212	0.806	0.565	X	-	-	-	-	-	4.061	0.219	0.806	0.565	X	-	-	-	-	-	Balco et al. (2009)
4	3.798	0.056	0.296	0.939	X	-	-	-	-	-	3.805	0.056	0.296	0.939	X	-	-	-	-	-	Putnam et al. (2010)
5	4.003	0.064	0.183	0.981	X	-	-	-	-	-	3.925	0.063	0.183	0.982	X	-	-	-	-	-	Putnam et al. (2010)
6	3.565	0.117	0.863	0.422	X	-	-	-	-	-	3.645	0.120	0.865	0.421	X	-	-	-	-	-	Fenton et al. (2011)
7	3.948	0.152	0.763	0.466	X	-	-	-	-	-	4.029	0.156	0.763	0.466	X	-	-	-	-	-	Fenton et al. (2011)
8	3.924	0.108	1.708	0.065	X	-	-	-	-	-	3.960	0.109	1.707	0.065	X	-	-	-	-	-	Kaplan et al. (2011)
9	4.010	0.127	1.122	0.346	X	-	-	-	-	-	4.044	0.128	1.122	0.346	X	-	-	-	-	-	Kaplan et al. (2011)
10	3.849	0.294	0.466	0.802	X	-	-	-	-	-	3.924	0.300	0.478	0.793	X	-	-	-	-	-	Briner et al. (2012)
11	4.102	0.127	1.414	0.205	X	-	-	-	-	-	4.171	0.130	1.426	0.200	X	-	-	-	-	-	Goehring et al. (2012)
12	4.034	0.145	1.487	0.203	X	-	-	-	-	-	4.064	0.146	1.487	0.203	X	-	-	-	-	-	Goehring et al. (2012)
13	3.863	0.157	0.560	0.762	X	-	-	-	-	-	3.903	0.158	0.560	0.762	X	-	-	-	-	-	Balco et al. (2009), Young et al. (2013)
14	3.853	0.055	0.134	0.970	X	-	-	-	-	-	3.975	0.056	0.134	0.970	X	-	-	-	-	-	Young et al. (2013)
15	4.100	0.179	0.795	0.592	X	-	-	-	-	-	4.065	0.178	0.794	0.592	X	-	-	-	-	-	Claude et al. (2014)
16	3.693	0.113	1.247	0.191	X	26.847	1.153	0.891	0.532	X	3.691	0.113	1.247	0.191	X	26.835	1.153	0.891	0.532	X	Kelly et al. (2015), Phillips et al. (2016b)
17	4.198	0.093	0.323	0.900	X	29.041	1.202	0.388	0.857	X	4.067	0.090	0.323	0.900	X	28.145	1.165	0.388	0.857	X	Lifton et al. (2015)
18	3.905	0.231	1.806	0.062	X	-	-	-	-	-	4.143	0.248	1.835	0.057	X	-	-	-	-	-	Stroeven et al. (2015)
19	4.170	0.155	0.032	0.992	X	-	-	-	-	-	4.198	0.156	0.032	0.992	X	-	-	-	-	-	Small and Fabel (2015)
20	3.995	0.222	0.785	0.656	X	-	-	-	-	-	3.965	0.220	0.785	0.656	X	-	-	-	-	-	Martin et al. (2015)
21	4.108	0.229	0.830	0.546	X	-	-	-	-	-	4.132	0.231	0.829	0.547	X	-	-	-	-	-	Borchers et al. (2016)
22	4.090	0.196	0.800	0.616	X	29.580	1.761	0.768	0.646	X	4.115	0.197	0.800	0.616	X	29.761	1.772	0.768	0.646	X	Borchers et al. (2016)
23	4.062	0.180	0.158	0.978	X	29.334	1.384	0.216	0.956	X	4.086	0.181	0.158	0.978	X	29.509	1.392	0.216	0.956	X	Borchers et al. (2016)
24	4.035	0.181	1.723	0.098	X	26.176	1.508	2.310	0.099	X	4.001	0.180	1.722	0.099	X	25.959	1.496	2.310	0.099	X	Borchers et al. (2016), Marcott et al. (2019)
25	4.081	0.208	1.586	0.075	X	-	-	-	-	-	4.114	0.210	1.586	0.075	X	-	-	-	-	-	Putnamn et al. (2019), Small and Fabel (2016)
26	3.854	0.134	0.271	0.982	X	-	-	-	-	-	3.804	0.132	0.271	0.982	X	-	-	-	-	-	Fenton et al. (2019)
μ ± σ	3.98	0.22	-	-	-	28.44	1.90	-	-	-	4.01	0.23	-	-	-	28.41	2.05	-	-	-	-
