P-202306-input
expage.github.io

Input for 10Be/26Al production rate calibration
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N10	N10unc	std10	N26	N26unc	std26	samplingyr	calage	calageunc	isostsubm	isostsubmmod
Littleton	06-NE-010-LIT	44.2903	-71.7612	357	2	2.65	0.999	0.7	81800	2600	KNSTD	447000	29000	KNSTD	2006	13952	250	-	-
Littleton	06-NE-011-LIT	44.2904	-71.7608	357	2	2.65	0.999	0.7	80600	2700	KNSTD	514000	36000	KNSTD	2006	13952	250	-	-
Littleton	06-NE-012-LIT	44.3129	-71.5722	414	1	2.65	0.999	0.7	88300	2561	KNSTD	559000	27391	KNSTD	2006	13952	250	-	-
Littleton	06-NE-013-LIT	44.3146	-71.5730	412	10	2.65	0.999	0.7	80975	8556	KNSTD	498000	24402	KNSTD	2006	13952	250	-	-
Littleton	07-NE-001-BH	44.3143	-71.5740	417	3.6	2.57	0.9929	0.7	77447	2246	07KNSTD	565281	27699	KNSTD	2007	13953	250	-	-
Littleton	07-NE-002-BH	44.3139	-71.5750	412	4.6	2.57	0.9929	0.7	83769	3114	07KNSTD	567028	27784	KNSTD	2007	13953	250	-	-
Littleton	07-NE-003-BH	44.3110	-71.5766	411	2.2	2.57	0.9929	0.7	71963	5171	07KNSTD	488369	77283	KNSTD	2007	13953	250	-	-
Littleton	07-NE-004-BH	44.3114	-71.5750	412	3.9	2.57	0.9929	0.7	80320	2958	07KNSTD	560270	27453	KNSTD	2007	13953	250	-	-
Littleton	07-NE-005-BH	44.3108	-71.5761	409	3.7	2.58	0.9929	0.7	76931	3037	07KNSTD	531187	26028	KNSTD	2007	13953	250	-	-
Littleton	07-NE-006-BH	44.3083	-71.5765	413	3.4	2.53	0.9929	0.7	79506	2306	07KNSTD	555682	68107	KNSTD	2007	13953	250	-	-
Littleton	07-NE-007-BH	44.3082	-71.5770	412	3.4	2.57	0.9929	0.7	74032	5792	07KNSTD	512545	25115	KNSTD	2007	13953	250	-	-
Leverett	06-NE-002-LEV	42.5042	-72.5224	135	5	2.65	0.998	0.7	80529	6152	KNSTD	-	-	-	2006	16113	300	-	-
Leverett	06-NE-003-LEV	42.5059	-72.5212	160	3	2.65	0.999	0.7	87100	2526	KNSTD	-	-	-	2006	16113	300	-	-
Leverett	06-NE-004-LEV	42.5049	-72.5218	154	2	2.65	0.999	0.7	91100	2642	KNSTD	-	-	-	2006	16113	300	-	-
Cobblestone-Hill	CH-1	44.846	-73.579	237	2	2.65	1	0.7	64900	10600	KNSTD	-	-	-	2006	13212	151	-	-
Cobblestone-Hill	CH-2	44.846	-73.579	236	1	2.65	1	0.7	60700	6500	KNSTD	-	-	-	2006	13212	151	-	-
Cobblestone-Hill	CH-3	44.843	-73.577	226	2	2.65	1	0.7	58700	3500	KNSTD	-	-	-	2006	13212	151	-	-
Cobblestone-Hill	CH-4	44.843	-73.577	226	2.5	2.65	1	0.7	66400	4100	KNSTD	-	-	-	2006	13212	151	-	-
Cobblestone-Hill	CH-5	44.843	-73.575	226	3	2.65	1	0.7	65900	4100	KNSTD	-	-	-	2006	13212	151	-	-
Cobblestone-Hill	CH-6	44.843	-73.575	226	2.5	2.65	1	0.7	67700	4300	KNSTD	-	-	-	2006	13212	151	-	-
Cobblestone-Hill	CH-7	44.865	-73.662	259	1	2.65	1	0.7	70900	12100	KNSTD	-	-	-	2006	13212	151	-	-
Macaulay	MR-08-01	-43.57605	170.60835	1024.9	0.82	2.7	0.992	0	87500	2538	07KNSTD	-	-	-	2008	9709	54	-	-
Macaulay	MR-08-02	-43.57581	170.60857	1024.5	1.04	2.7	0.993	0	91700	2659	07KNSTD	-	-	-	2008	9709	54	-	-
Macaulay	MR-08-03	-43.57452	170.60805	1029.4	1.85	2.7	0.988	0	87800	2546	07KNSTD	-	-	-	2008	9709	54	-	-
