P-202306-output
expage.github.io

Output for 10Be/26Al production rate calibration
====================================================================================================
sample	P10(at/g/yr)	P10unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-included?
06-NE-010-LIT	4.272	0.157	X	25.990	1.772	X
06-NE-011-LIT	4.208	0.161	X	29.944	2.189	X
06-NE-012-LIT	4.335	0.148	X	30.638	1.613	X
06-NE-013-LIT	4.295	0.464	X	29.468	1.553	X
07-NE-001-BH	4.307	0.147	X	31.751	1.671	X
07-NE-002-BH	4.723	0.196	X	32.264	1.698	X
07-NE-003-BH	3.976	0.297	X	27.216	4.393	X
07-NE-004-BH	4.501	0.185	X	31.693	1.668	X
07-NE-005-BH	4.315	0.188	X	30.066	1.584	X
07-NE-006-BH	4.430	0.152	X	31.256	3.917	X
07-NE-007-BH	4.128	0.334	X	28.843	1.520	X
06-NE-002-LEV	4.769	0.378	X	-	-	-
06-NE-003-LEV	4.951	0.171	X	-	-	-
06-NE-004-LEV	5.166	0.178	X	-	-	-
CH-1	3.941	0.652	X	-	-	-
CH-2	3.655	0.398	X	-	-	-
CH-3	3.598	0.221	X	-	-	-
CH-4	4.093	0.259	X	-	-	-
CH-5	4.080	0.261	X	-	-	-
CH-6	4.174	0.272	X	-	-	-
CH-7	4.182	0.722	X	-	-	-
MR-08-01	3.935	0.117	X	-	-	-
MR-08-02	4.130	0.123	X	-	-	-
MR-08-03	3.985	0.119	X	-	-	-
MR-08-04	3.985	0.119	X	-	-	-
MR-08-05	4.040	0.120	X	-	-	-
MR-08-13	4.055	0.121	X	-	-	-
MR-08-14	3.988	0.119	X	-	-	-
BST-08-03	3.994	0.137	X	-	-	-
BST-08-04	4.092	0.128	X	-	-	-
BST-08-05	3.985	0.125	X	-	-	-
BST-08-06	4.073	0.156	X	-	-	-
BST-08-07	4.051	0.127	X	-	-	-
BST-08-08	4.127	0.129	X	-	-	-
BST-08-09	4.025	0.126	X	-	-	-
040906-02	3.392	0.164	X	-	-	-
040906-03	3.638	0.170	X	-	-	-
040906-04	3.652	0.175	X	-	-	-
060906-14	4.009	0.267	X	-	-	-
060906-15	3.733	0.219	X	-	-	-
060906-16	4.090	0.223	X	-	-	-
HE-06-02	4.202	0.133	X	-	-	-
HE-06-04	4.003	0.152	X	-	-	-
HE-07-11	4.241	0.134	X	-	-	-
HE-06-06	3.984	0.126	X	-	-	-
HE-06-07	4.016	0.127	X	-	-	-
HE-07-12	4.449	0.151	X	-	-	-
HE-07-13	3.999	0.271	X	-	-	-
HE-07-10	4.079	0.178	X	-	-	-
HE-06-05	4.060	0.128	X	-	-	-
HE-06-08	4.067	0.167	X	-	-	-
HE-06-01	3.779	0.119	X	-	-	-
HE-06-03	4.009	0.127	X	-	-	-
EQ-08-01	4.337	0.144	X	-	-	-
EQ-08-06	4.012	0.133	X	-	-	-
EQ-08-05	4.239	0.141	X	-	-	-
PBS-08-09	4.241	0.141	X	-	-	-
EQ-08-04	3.222	0.107	-	-	-	-
PBS-08-04	4.176	0.139	X	-	-	-
PBS-08-06	4.034	0.134	X	-	-	-
PBS-08-11	3.985	0.133	X	-	-	-
PBS-08-02	4.088	0.136	X	-	-	-
09GRO-08	3.862	0.310	X	-	-	-
09GRO-09	3.885	0.311	X	-	-	-
09GRO-11	3.815	0.306	X	-	-	-
09GRO-12	3.894	0.312	X	-	-	-
FTS08-01	3.934	0.315	X	-	-	-
FST08-02	3.724	0.299	X	-	-	-
YDC08-2	3.950	0.122	X	-	-	-
YDC08-3	4.095	0.126	X	-	-	-
YDC08-4	4.045	0.125	X	-	-	-
YDC08-5	4.301	0.132	X	-	-	-
YDC08-7	4.517	0.139	X	-	-	-
YDC08-8	4.171	0.128	X	-	-	-
YDC08-9	4.360	0.134	X	-	-	-
YDC08-10	4.228	0.130	X	-	-	-
OL08-1	4.321	0.149	X	-	-	-
OL08-3	3.973	0.137	X	-	-	-
OL08-5	3.646	0.126	X	-	-	-
OL08-7	4.195	0.170	X	-	-	-
OL08-9	3.960	0.155	X	-	-	-
OL08-11	5.087	0.175	-	-	-	-
OL08-13	4.065	0.147	X	-	-	-
CI2-01-01	3.995	0.426	X	-	-	-
CI2-01-02	3.937	0.247	X	-	-	-
