Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Abramowski et al. (2006)	boulder	Abra2006-1	Abra2006-A	AK11	39.68	70.05	2240	4	2.65	0.978	462000	36000	S555	0	0	0	2002	16300	2100	-	-	21830	2099	1710	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-2	Abra2006-A	AK12	39.68	70.05	2240	4	2.65	0.978	638000	35000	S555	0	0	0	2002	22100	2600	-	-	29190	2293	1613	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-3	Abra2006-A	AK13	39.68	70.05	2240	4	2.65	0.978	487000	42000	S555	0	0	0	2002	17100	2300	-	-	22895	2360	1986	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-4	Abra2006-B	AK21	39.64	70.06	2900	4	2.65	0.980	821000	56000	S555	0	0	0	2002	18800	2400	-	-	24355	2153	1671	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-5	Abra2006-B	AK22	39.64	70.06	2900	4	2.65	0.980	447000	33000	S555	0	0	0	2002	10300	1300	-	-	14276	1323	1058	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-6	Abra2006-B	AK23	39.64	70.06	2900	4	2.65	0.980	551000	47000	S555	0	0	0	2002	12800	1700	-	-	17216	1759	1475	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-7	Abra2006-B	AK24	39.64	70.06	2900	4	2.65	0.980	686000	45000	S555	0	0	0	2002	15800	2000	-	-	20776	1793	1370	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-8	Abra2006-B	AK25	39.64	70.06	2900	4	2.65	0.980	690000	42000	S555	0	0	0	2002	15900	1900	-	-	20877	1728	1277	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-9	Abra2006-C	AK31	39.65	70.06	2860	4	2.65	0.983	391000	24000	S555	0	0	0	2002	9200	1100	-	-	12888	1069	794	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-10	Abra2006-C	AK32	39.65	70.06	2860	4	2.65	0.983	1032000	55000	S555	0	0	0	2002	23800	2800	-	-	30503	2363	1638	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-11	Abra2006-C	AK33	39.65	70.06	2860	4	2.65	0.983	845000	45000	S555	0	0	0	2002	19700	2300	-	-	25494	1972	1366	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-12	Abra2006-C	AK34	39.65	70.06	2860	4	2.65	0.983	691000	52000	S555	0	0	0	2002	16300	2100	-	-	21313	2002	1612	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-13	Abra2006-C	AK35	39.65	70.06	2860	4	2.65	0.983	522000	36000	S555	0	0	0	2002	12400	1600	-	-	16738	1487	1159	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-14	Abra2006-D	AK41	39.64	70.05	2930	4	2.65	0.987	995000	51000	S555	0	0	0	2002	22000	2600	-	-	28207	2144	1456	-	-	-	-
Abramowski et al. (2006)	boulder	Abra2006-15	Abra2006-D	AK42	39.64	70.05	2930	6	2.65	0.987	815000	38000	S555	0	0	0	2002	18400	2100	-	-	23968	1746	1124	-	-	-	-
