Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Andersen et al. (2018b)	bedrock	Ande2018b-1	Ande2018b-A	HD01	60.9954	8.7263	1094	3.2	2.65	0.99	185407	5521	07KNSTD	1173583	41439	KNSTD	2016	16200	1500	15200	1400	16128	1019	482	14352	1078	510	-
Andersen et al. (2018b)	bedrock	Ande2018b-2	Ande2018b-A	HD02	60.9964	8.7246	1111	4	2.65	0.99	126073	4286	07KNSTD	809930	32453	KNSTD	2016	10900	1000	10400	1000	10832	706	369	9761	755	393	-
Andersen et al. (2018b)	bedrock	Ande2018b-3	Ande2018b-B	HD04	61.0020	8.7134	1382	3	2.65	1	285721	7173	07KNSTD	1860314	50752	KNSTD	2016	19500	1700	18800	1700	19267	1178	486	17705	1270	487	-
Andersen et al. (2018b)	bedrock	Ande2018b-4	Ande2018b-C	HD06	60.9839	8.6788	1636	4.1	2.65	1	538145	9599	07KNSTD	3505378	70214	KNSTD	2016	30300	2700	29400	2600	29848	1751	536	27573	1919	560	-
Andersen et al. (2018b)	bedrock	Ande2018b-5	Ande2018b-C	HD08	60.9836	8.6969	1659	3.8	2.65	1	737382	12607	07KNSTD	4350417	82169	KNSTD	2016	40900	3600	35900	3200	40175	2353	694	33628	2337	646	-
Andersen et al. (2018b)	bedrock	Ande2018b-6	Ande2018b-C	HD09	60.9845	8.6985	1658	3.9	2.65	1	770144	12328	07KNSTD	4680093	85728	KNSTD	2016	42800	3800	38700	3400	42054	2451	680	36290	2519	677	-
Andersen et al. (2018b)	bedrock	Ande2018b-7	Ande2018b-D	HD10	61.0016	8.7555	886	2.3	2.65	1	89794	3415	07KNSTD	570258	25736	KNSTD	2016	9200	900	8600	800	9137	615	348	8119	650	368	-
Andersen et al. (2018b)	bedrock	Ande2018b-8	Ande2018b-D	HD12	61.0044	8.7499	938	1	2.65	1	103049	3838	07KNSTD	686723	27792	KNSTD	2016	10000	900	9900	900	9911	663	370	9264	718	377	-
Andersen et al. (2018b)	bedrock	Ande2018b-9	Ande2018b-D	HD16	61.0100	8.7310	893	3.3	2.65	0.99	182224	5170	07KNSTD	1086794	33319	KNSTD	2016	18900	1700	16700	1500	18930	1184	540	15837	1157	489	-
Andersen et al. (2018b)	bedrock	Ande2018b-10	Ande2018b-E	HD17	61.0033	8.6357	1297	1.8	2.65	1	189168	4952	07KNSTD	1182473	38437	KNSTD	2016	13700	1200	12700	1200	13514	831	355	11891	877	389	-
Andersen et al. (2018b)	bedrock	Ande2018b-11	Ande2018b-F	HD28	61.0026	8.7024	1480	0.8	2.65	0.99	321063	7161	07KNSTD	2041108	52679	KNSTD	2016	20100	1800	18900	1700	19784	1188	443	17763	1265	462	-
Andersen et al. (2018b)	bedrock	Ande2018b-12	Ande2018b-G	JD04	61.5367	7.8215	1470	2	2.65	1	255384	6139	07KNSTD	1686823	56265	KNSTD	2016	16000	1400	15700	1400	15796	958	381	14729	1093	495	-
