Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Bakke et al. (2021)	boulder	Bakk2021-1	Bakk2021-A	HOD-1	-54.2840	-36.5247	190	3.77	2.7	0.9856	54374	1349	07KNSTD	0	0	0	2019	10193	253	-	-	10072	670	251	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-2	Bakk2021-B	HOD-2	-54.2828	-36.5226	210	3	2.7	0.9864	47380	1249	07KNSTD	0	0	0	2019	8664	229	-	-	8553	574	226	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-3	Bakk2021-B	HOD-3	-54.2832	-36.5187	215	2.7	2.7	0.9774	70153	1448	07KNSTD	0	0	0	2019	12730	264	-	-	12681	826	263	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-4	Bakk2021-B	HOD-4	-54.2832	-36.5209	210	0.95	2.7	0.9937	75528	4512	07KNSTD	0	0	0	2019	13565	813	-	-	13269	1142	795	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-5	Bakk2021-B	HOD-5	-54.2830	-36.5217	200	3.69	2.7	0.9916	57584	1354	07KNSTD	0	0	0	2019	10687	252	-	-	10487	693	247	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-6	Bakk2021-C	HOD-6	-54.2825	-36.5236	200	2.5	2.7	0.9805	38754	757	07KNSTD	0	0	0	2019	7136	140	-	-	7145	462	140	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-7	Bakk2021-C	HOD-16	-54.2830	-36.5270	210	2.19	2.7	0.9838	49194	1194	07KNSTD	0	0	0	2019	8933	217	-	-	8839	586	215	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-8	Bakk2021-D	HOD-7	-54.2794	-36.5271	225	1.87	2.7	0.9810	37583	718	07KNSTD	0	0	0	2019	6729	129	-	-	6763	437	129	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-9	Bakk2021-D	HOD-8	-54.2795	-36.5275	230	2.02	2.7	0.9780	36637	857	07KNSTD	0	0	0	2019	6540	153	-	-	6602	436	155	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-10	Bakk2021-D	HOD-9	-54.2794	-36.5276	225	2.44	2.7	0.9780	38086	892	07KNSTD	0	0	0	2019	6849	161	-	-	6898	455	162	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-11	Bakk2021-E	HOD-10	-54.2790	-36.5281	235	3.72	2.7	0.9788	30277	1019	07KNSTD	0	0	0	2019	5472	184	-	-	5552	390	187	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-12	Bakk2021-E	HOD-11	-54.2790	-36.5281	235	4.06	2.7	0.9788	31626	794	07KNSTD	0	0	0	2019	5726	144	-	-	5805	387	146	-	-	-	-
Bakke et al. (2021)	bedrock	Bakk2021-13	Bakk2021-F	HOD-12	-54.2756	-36.5276	345	1.57	2.7	0.9579	3416	160	07KNSTD	0	0	0	2019	562	26	-	-	579	45	27	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-14	Bakk2021-G	HOD-13	-54.2759	-36.5295	334	2.39	2.7	0.9745	9048	280	07KNSTD	0	0	0	2019	1476	46	-	-	1423	98	44	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-15	Bakk2021-H	HOD-14	-54.2809	-36.5291	230	3.88	2.7	0.9713	35537	798	07KNSTD	0	0	0	2019	6444	145	-	-	6556	430	147	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-16	Bakk2021-I	HOD-15	-54.2821	-36.5283	220	5.84	2.7	0.9832	45493	1058	07KNSTD	0	0	0	2019	8437	197	-	-	8371	552	195	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-17	Bakk2021-J	CA-1	-54.21779	-36.64030	193	1.85	2.7	0.9973	65640	1247	07KNSTD	0	0	0	2019	11967	228	-	-	11782	761	224	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-18	Bakk2021-J	CA-2	-54.21844	-36.64063	199	2.08	2.7	0.9978	53383	2135	07KNSTD	0	0	0	2019	9952	442	-	-	9552	703	383	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-19	Bakk2021-J	CA-3	-54.21849	-36.64086	197	2.87	2.7	0.9978	68271	1270	07KNSTD	0	0	0	2019	12512	234	-	-	12328	795	230	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-20	Bakk2021-J	CA-4	-54.21755	-36.64305	188	1.58	2.7	0.9979	68958	1283	07KNSTD	0	0	0	2019	12612	235	-	-	12421	801	232	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-21	Bakk2021-J	CA-5	-54.21754	-36.64284	189	2.07	2.7	0.9979	62421	1162	07KNSTD	0	0	0	2019	11444	214	-	-	11271	727	210	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-22	Bakk2021-J	CA-8	-54.21749	-36.64357	186	1.65	2.7	0.9980	59357	1106	07KNSTD	0	0	0	2019	10883	203	-	-	10721	692	200	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-23	Bakk2021-J	CA-12	-54.21700	-36.64846	145	3.34	2.7	0.9972	64277	1752	07KNSTD	0	0	0	2019	12438	340	-	-	12255	828	335	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-24	Bakk2021-J	CA-13	-54.21643	-36.64895	151	3.59	2.7	0.9970	61661	1157	07KNSTD	0	0	0	2019	11878	224	-	-	11701	755	220	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-25	Bakk2021-K	CA-6	-54.21622	-36.64286	189	3.58	2.7	0.9973	66449	1693	07KNSTD	0	0	0	2019	12344	315	-	-	12167	813	311	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-26	Bakk2021-L	CA-7	-54.21589	-36.64250	192	2.64	2.7	0.9972	66154	2294	07KNSTD	0	0	0	2019	12157	423	-	-	11974	849	416	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-27	Bakk2021-M	CA-9	-54.21177	-36.63564	270	5.52	2.7	0.9922	1350	133	07KNSTD	0	0	0	2019	247	24	-	-	269	31	27	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-28	Bakk2021-M	CA-10	-54.21185	-36.63366	304	5.29	2.7	0.9896	5892	505	07KNSTD	0	0	0	2019	1005	86	-	-	973	103	83	-	-	-	-
Bakke et al. (2021)	boulder	Bakk2021-29	Bakk2021-N	CA-11	-54.21242	-36.63129	308	2.85	2.7	0.9740	34385	791	07KNSTD	0	0	0	2019	5707	131	-	-	5865	386	135	-	-	-	-
Bakke et al. (2021)	bedrock	Bakk2021-30	Bakk2021-O	CA-14	-54.24140	-36.64780	99	4.87	2.7	0.9643	68507	1343	07KNSTD	0	0	0	2019	14030	276	-	-	14251	924	280	-	-	-	-
