Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Balco et al. (2016)	cobble	Balc2016-1	Balc2016-A	10-MPS-006-COU	-83.2852	-57.9768	923	4.5	2.6	0.995	3065000	41700	07KNSTD	0	0	0	2010	283500	15300	-	-	265830	17928	3868	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-2	Balc2016-B	10-MPS-008-NNS	-83.2712	-58.1143	713	6	2.2	1.000	7410000	86500	07KNSTD	0	0	0	2010	973000	62000	-	-	916416	72847	13568	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-3	Balc2016-B	10-MPS-011-NNS	-83.2703	-58.1095	726	4	2.6	1.000	10010000	113000	07KNSTD	0	0	0	2010	1425000	103000	-	-	1330795	118330	21338	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-4	Balc2016-B	10-MPS-012-NNS	-83.2703	-58.1095	726	5	2.2	1.000	8761000	109000	07KNSTD	0	0	0	2010	1184000	81000	-	-	1110712	93282	18474	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-5	Balc2016-C	10-MPS-037-NNS	-83.2778	-58.1438	551	6	2.5	0.999	1423000	24900	07KNSTD	0	0	0	2010	180900	9700	-	-	173856	11627	3178	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-6	Balc2016-C	10-MPS-038-NNS	-83.2778	-58.1438	551	5	2.6	0.999	4645000	59800	07KNSTD	0	0	0	2010	658000	39000	-	-	629519	46539	9524	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-7	Balc2016-D	10-MPS-040-NNS	-83.2793	-58.1558	513	4	2.5	0.999	1317000	22100	07KNSTD	0	0	0	2010	170300	9100	-	-	163994	10907	2868	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-8	Balc2016-D	10-MPS-046-NNS	-83.2783	-58.1623	499	10	2.6	0.996	2434000	32900	07KNSTD	0	0	0	2010	351200	19300	-	-	338625	23260	4987	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-9	Balc2016-E	10-MPS-043-NNS	-83.2823	-58.1630	417	4.5	2.6	0.994	1905000	25800	07KNSTD	0	0	0	2010	280200	15100	-	-	270793	18282	3927	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-10	Balc2016-F	10-MPS-015-CSP	-83.2952	-57.9755	945	4	2.6	1.000	12860000	144000	07KNSTD	0	0	0	2010	1548000	116000	-	-	1413827	128617	23011	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-11	Balc2016-G	10-MPS-019-CSP	-83.2969	-58.0148	767	7	2.5	0.998	7510000	88100	07KNSTD	0	0	0	2010	947000	60000	-	-	890627	70320	13160	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-12	Balc2016-H	10-MPS-024-CSP	-83.2911	-58.1003	354	5	2.6	0.994	1383000	18600	07KNSTD	0	0	0	2010	213800	11300	-	-	207078	13751	2934	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-13	Balc2016-I	10-MPS-027-CSP	-83.2938	-58.1093	296	4	2.5	0.993	898600	15100	07KNSTD	0	0	0	2010	143400	7600	-	-	139099	9194	2421	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-14	Balc2016-J	10-MPS-031-CSP	-83.2964	-58.1291	256	7	2.6	0.994	2207000	29600	07KNSTD	0	0	0	2010	399400	22200	-	-	387896	26975	5741	-	-	-	-
Balco et al. (2016)	boulder	Balc2016-15	Balc2016-J	10-MPS-035-CSP	-83.2964	-58.1291	256	5	2.5	0.994	1442000	19400	07KNSTD	0	0	0	2010	247200	13200	-	-	240043	16075	3431	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-16	Balc2016-K	10-MPS-073-CRK	-83.6541	-58.9107	740	3	2.5	1.000	82780	2320	07KNSTD	0	0	0	2010	8270	460	-	-	7844	532	220	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-17	Balc2016-L	10-MPS-075-CRK	-83.6487	-58.8992	684	3	2.5	1.000	65460	2190	07KNSTD	0	0	0	2010	6880	410	-	-	6598	463	221	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-18	Balc2016-M	10-MPS-077-CRK	-83.6368	-59.0117	488	2.5	2.5	1.000	39230	1160	07KNSTD	0	0	0	2010	4930	280	-	-	4777	327	141	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-19	Balc2016-N	10-MPS-090-CRK	-83.6413	-58.9431	594	5	2.5	0.999	58520	1770	07KNSTD	0	0	0	2010	6790	390	-	-	6552	450	198	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-20	Balc2016-N	10-MPS-095-CRK	-83.6420	-58.9552	576	3	2.6	0.999	50480	2460	07KNSTD	0	0	0	2010	5870	400	-	-	5670	446	277	-	-	-	-
Balco et al. (2016)	cobble	Balc2016-21	Balc2016-N	10-MPS-099-CRK	-83.6394	-58.9785	565	4	2.6	1.000	56120	1510	07KNSTD	0	0	0	2010	6640	370	-	-	6416	432	173	-	-	-	-
