Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Barth et al. (2018)	boulder	Bart2018-1	Bart2018-A	PC-02-11-10-04	53.9821	-10.1667	190	2	2.65	0.980	79600	3400	07KNSTD	0	0	0	2010	16500	700	-	-	16203	1219	695	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-2	Bart2018-A	PC-02-11-10-05	53.9821	-10.1667	192	2	2.65	0.980	81600	3300	07KNSTD	0	0	0	2010	16900	700	-	-	16571	1226	673	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-3	Bart2018-A	PC-02-11-10-07	53.9821	-10.1667	199	2	2.65	0.980	82100	3300	07KNSTD	0	0	0	2010	16900	700	-	-	16563	1223	669	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-4	Bart2018-A	PC-02-11-10-08	53.9821	-10.1667	199	2	2.65	0.980	84100	2500	07KNSTD	0	0	0	2010	17300	500	-	-	16961	1165	506	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-5	Bart2018-A	PC-02-11-10-10	53.9821	-10.1667	200	2	2.65	0.980	88700	3200	07KNSTD	0	0	0	2010	18200	700	-	-	17854	1280	647	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-6	Bart2018-B	PC-02-11-10-01	53.9821	-10.1667	201	2	2.65	0.980	132000	49500	07KNSTD	0	0	0	2010	30000	9800	-	-	26351	10080	9947	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-7	Bart2018-B	PC-02-11-10-09	53.9821	-10.1667	215	2	2.65	0.980	89200	3700	07KNSTD	0	0	0	2010	18100	800	-	-	17706	1320	738	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-8	Bart2018-B	PC-02-11-10-11	53.9821	-10.1667	192	2	2.65	0.980	92100	3900	07KNSTD	0	0	0	2010	19100	800	-	-	18665	1401	794	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-9	Bart2018-B	PC-02-11-10-12	53.9821	-10.1667	191	2	2.65	0.980	84900	4900	07KNSTD	0	0	0	2010	17600	1000	-	-	17246	1462	1000	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-10	Bart2018-C	LC-13-1	53.9977	-10.1806	293	2	2.65	0.995	124400	3600	07KNSTD	0	0	0	2013	23000	700	-	-	22489	1539	654	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-11	Bart2018-C	LC-13-2	53.9976	-10.1802	338	2	2.65	0.995	102000	2800	07KNSTD	0	0	0	2013	18300	500	-	-	17773	1204	490	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-12	Bart2018-C	LC-13-3	53.9976	-10.1799	339	2	2.65	0.995	112000	4500	07KNSTD	0	0	0	2013	19900	800	-	-	19465	1438	786	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-13	Bart2018-C	LC-13-5	53.9974	-10.1787	339	2	2.65	0.993	107300	3800	07KNSTD	0	0	0	2013	19100	700	-	-	18701	1335	665	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-14	Bart2018-C	LC-13-6	53.9971	-10.1786	340	2	2.65	0.988	104100	4100	07KNSTD	0	0	0	2013	18600	700	-	-	18227	1338	721	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-15	Bart2018-D	LC-13-7	53.9983	-10.1791	319	2	2.65	0.988	113000	5100	07KNSTD	0	0	0	2013	20600	900	-	-	20135	1545	913	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-16	Bart2018-D	LC-13-9	53.9974	-10.1789	342	2	2.65	0.988	113900	3200	07KNSTD	0	0	0	2013	20300	600	-	-	19872	1352	561	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-17	Bart2018-D	LC-13-10	53.9982	-10.1803	328	2	2.65	0.988	115500	3900	07KNSTD	0	0	0	2013	20800	700	-	-	20404	1440	692	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-18	Bart2018-E	CRS-14-1	52.9602	-6.4267	491	2	2.65	0.996	72800	3000	07KNSTD	0	0	0	2014	11500	500	-	-	11377	845	470	-	-	-	-
Barth et al. (2018)	boulder	Bart2018-19	Bart2018-E	CRS-14-2	52.9609	-6.4274	588	2	2.65	0.997	65300	3200	07KNSTD	0	0	0	2014	9400	400	-	-	9389	741	461	-	-	-	-
