Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Batbaatar et al. (2018)	boulder	Batb2018-1	Batb2018-A	GN-AG-10B	45.40375	97.07039	3289	1	2.65	0.99	311900	10300	07KNSTD	0	0	0	2016	6880	443	-	-	6590	425	218	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-2	Batb2018-A	GN-AG-11	45.40375	97.07039	3289	2	2.65	0.99	366200	7600	07KNSTD	0	0	0	2016	8147	481	-	-	7713	456	160	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-3	Batb2018-A	GN-JB-004	45.40225	97.07024	3327	2	2.65	0.99	243200	15400	NIST_27900	0	0	0	2016	5288	445	-	-	5121	431	325	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-4	Batb2018-A	GN-JB-005	45.40389	97.07028	3283	2	2.65	0.99	334700	12700	NIST_27900	0	0	0	2016	7472	501	-	-	7142	480	271	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-5	Batb2018-B	GN-AG-07	45.40139	97.07011	3340	2	2.65	0.99	72500	4200	07KNSTD	0	0	0	2016	1563	125	-	-	1563	125	91	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-6	Batb2018-B	GN-AG-08	45.40139	97.07011	3340	2	2.65	0.99	148400	3500	07KNSTD	0	0	0	2016	3201	192	-	-	3121	188	74	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-7	Batb2018-B	GN-AG-04	45.40153	97.06972	3361	2	2.65	0.99	37400	1200	07KNSTD	0	0	0	2016	796	51	-	-	897	57	29	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-8	Batb2018-B	GN-AG-05	45.40153	97.06972	3361	5	2.65	0.99	128900	3600	07KNSTD	0	0	0	2016	2814	174	-	-	2783	172	78	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-9	Batb2018-B	GN-AG-06	45.40153	97.06972	3361	1	2.65	0.99	120900	3200	07KNSTD	0	0	0	2016	2554	156	-	-	2551	156	68	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-10	Batb2018-C	GN-JB-001	45.40222	97.06861	3330	2	2.65	0.99	41500	4500	NIST_27900	0	0	0	2016	900	109	-	-	990	120	107	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-11	Batb2018-C	GN-JB-002	45.40236	97.06864	3330	2	2.65	0.99	47900	4700	NIST_27900	0	0	0	2016	1039	117	-	-	1108	125	109	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-12	Batb2018-C	GN-JB-003	45.40250	97.06889	3336	2	2.65	0.99	68200	12400	NIST_27900	0	0	0	2016	1474	280	-	-	1484	282	270	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-13	Batb2018-C	GN-AG-01	45.40128	97.06972	3338	1	2.65	0.99	85400	2400	07KNSTD	0	0	0	2016	1828	113	-	-	1808	112	51	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-14	Batb2018-C	GN-AG-02	45.40128	97.06972	3338	2	2.65	0.99	86400	2600	07KNSTD	0	0	0	2016	1865	117	-	-	1844	116	56	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-15	Batb2018-C	GN-AG-03	45.40128	97.06972	3338	2	2.65	0.99	73000	2200	07KNSTD	0	0	0	2016	1576	99	-	-	1575	99	47	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-16	Batb2018-D	DHC-98-12	46.64183	93.57100	3160	2	2.65	0.96	304900	11400	07KNSTD	0	0	0	1998	7346	490	-	-	7082	473	265	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-17	Batb2018-E	DHC-98-13	46.64183	93.56592	3240	2	2.65	0.98	1160400	36200	07KNSTD	0	0	0	1998	26227	1672	-	-	23909	1527	750	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-18	Batb2018-E	DHC-98-10	46.64032	93.56478	3270	2	2.65	0.96	1012900	30600	07KNSTD	0	0	0	1998	22932	1450	-	-	21018	1331	638	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-19	Batb2018-E	DHC-98-11	46.64010	93.56627	3250	5	2.65	0.97	1072200	49300	07KNSTD	0	0	0	1998	24931	1801	-	-	22776	1647	1053	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-20	Batb2018-E	DHC-98-15	46.63993	93.56518	3265	2	2.65	0.96	298400	10500	07KNSTD	0	0	0	1998	6749	442	-	-	6474	425	228	-	-	-	-
Batbaatar et al. (2018)	boulder	Batb2018-21	Batb2018-F	MOT98-CS-11a	46.63228	93.56883	3620	1	2.65	0.98	2491100	63400	07KNSTD	0	0	0	1998	44983	2763	-	-	38956	2394	1001	-	-	-	-
