Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Bentley et al. (2017)	boulder/cobble	Bent2017-1	Bent2017-A	WIL-1	-83.65392	-58.63597	689	3	2.7	0.999	65360	3219	NIST_27900	0	0	0	2015	6600	830	-	-	6695	535	330	-	-	-	-
Bentley et al. (2017)	boulder/cobble	Bent2017-2	Bent2017-B	WIL-3	-83.65240	-58.63180	722	3.5	2.7	0.997	60070	2679	NIST_27900	0	0	0	2015	5910	700	-	-	6001	463	268	-	-	-	-
Bentley et al. (2017)	boulder/cobble	Bent2017-3	Bent2017-B	WIL-4	-83.65185	-58.63303	743	4	2.7	0.998	51800	4176	NIST_27900	0	0	0	2015	5000	730	-	-	5095	521	411	-	-	-	-
Bentley et al. (2017)	boulder/cobble	Bent2017-4	Bent2017-B	WIL-5	-83.65182	-58.63197	746	4	2.7	0.998	82260	2785	NIST_27900	522800	36200	Z92-0222	2015	7870	900	6980	1000	7990	571	271	7197	690	500	-
Bentley et al. (2017)	boulder/cobble	Bent2017-5	Bent2017-C	WIL-6	-83.65067	-58.62528	780	4	2.7	1	75120	5347	NIST_27900	0	0	0	2015	7000	890	-	-	7096	675	506	-	-	-	-
Bentley et al. (2017)	boulder/cobble	Bent2017-6	Balc2016-N	WIL-8	-83.64213	-58.95122	572	4.5	2.7	0.999	54400	2792	NIST_27900	0	0	0	2015	6210	750	-	-	6329	514	325	-	-	-	-
Bentley et al. (2017)	boulder/cobble	Bent2017-7	Balc2016-M	WIL-13	-83.63807	-58.99585	529	3.5	2.7	1	47620	2038	NIST_27900	317800	23890	Z92-0222	2015	5600	660	5170	830	5728	436	245	5376	538	405	-
Bentley et al. (2017)	boulder/cobble	Bent2017-8	Balc2016-M	WIL-15	-83.63615	-59.00812	500	3.5	2.7	1	57940	3458	NIST_27900	0	0	0	2015	7020	870	-	-	7157	621	428	-	-	-	-
Bentley et al. (2017)	boulder/cobble	Bent2017-9	Bent2017-D	WIL-16	-83.62843	-59.10403	459	4.5	2.7	1	2604000	78540	NIST_27900	0	0	0	2015	362000	46000	-	-	372126	28497	12335	-	-	-	-
Bentley et al. (2017)	boulder/cobble	Bent2017-10	Bent2017-D	WIL-17	-83.62835	-59.10415	442	3	2.7	1	40850	2701	NIST_27900	0	0	0	2015	5220	660	-	-	5340	488	354	-	-	-	-
