Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Borchers et al. (2016)	bedrock	Borc2016-1	Borc2016-A	06-SKY-01	57.24081	-5.97272	442	7	2.52	0.924	70900	2400	07KNSTD	0	0	0	2006	-	-	-	-	12293	773	417	-	-	-	-
Borchers et al. (2016)	bedrock	Borc2016-1	Borc2016-A	06-SKY-01	57.24081	-5.97272	442	7	2.52	0.924	73200	6800	07KNSTD	0	0	0	2006	-	-	-	-	12694	1361	1183	-	-	-	-
Borchers et al. (2016)	bedrock	Borc2016-2	Borc2016-A	06-SKY-03	57.24091	-5.96811	323	8	2.52	0.958	62700	2000	07KNSTD	471000	36000	KNSTD	2006	-	-	-	-	11798	730	377	12446	1269	957	-
Borchers et al. (2016)	bedrock	Borc2016-2	Borc2016-A	06-SKY-03	57.24091	-5.96811	323	8	2.52	0.958	61900	4700	07KNSTD	0	0	0	2006	-	-	-	-	11647	1080	887	-	-	-	-
Borchers et al. (2016)	boulder	Borc2016-3	Borc2016-A	06-SKY-04	57.24223	-5.96876	339	7.5	2.46	0.976	67900	1900	07KNSTD	0	0	0	2006	-	-	-	-	12291	736	345	-	-	-	-
Borchers et al. (2016)	boulder	Borc2016-3	Borc2016-A	06-SKY-04	57.24223	-5.96876	339	7.5	2.46	0.976	74800	7500	07KNSTD	0	0	0	2006	-	-	-	-	13547	1540	1363	-	-	-	-
Borchers et al. (2016)	boulder	Borc2016-4	Borc2016-A	06-SKY-05	57.2424	-5.9663	322	3.5	2.44	0.987	70100	9000	07KNSTD	0	0	0	2006	-	-	-	-	12349	1719	1590	-	-	-	-
Borchers et al. (2016)	boulder	Borc2016-5	Borc2016-A	06-SKY-06	57.24249	-5.96588	310	7.5	2.49	0.99	65900	2100	07KNSTD	0	0	0	2006	-	-	-	-	12089	747	386	-	-	-	-
Borchers et al. (2016)	boulder	Borc2016-5	Borc2016-A	06-SKY-06	57.24249	-5.96588	310	7.5	2.49	0.99	70300	7100	07KNSTD	0	0	0	2006	-	-	-	-	12900	1475	1307	-	-	-	-
Borchers et al. (2016)	boulder	Borc2016-6	Borc2016-A	06-SKY-07	57.24269	-5.96485	300	6	2.56	0.992	64200	2100	07KNSTD	593000	56000	KNSTD	2006	-	-	-	-	11737	731	385	15242	1774	1450	-
Borchers et al. (2016)	boulder	Borc2016-6	Borc2016-A	06-SKY-07	57.24269	-5.96485	300	6	2.56	0.992	64600	5000	07KNSTD	0	0	0	2006	-	-	-	-	11811	1110	917	-	-	-	-
Borchers et al. (2016)	boulder	Borc2016-7	Borc2016-A	06-SKY-08	57.2425	-5.9653	314	2	2.41	0.988	64100	4200	07KNSTD	0	0	0	2006	-	-	-	-	11216	946	737	-	-	-	-
Borchers et al. (2016)	boulder	Borc2016-8	Borc2016-B	06-HKY-01	57.41525	-5.64641	133	2.5	2.52	0.988	57400	1200	07KNSTD	424000	22000	KNSTD	2006	-	-	-	-	11959	681	251	12382	1051	646	-
Borchers et al. (2016)	boulder	Borc2016-9	Borc2016-B	06-HKY-03A	57.4155	-5.64662	131	5.85	2.47	0.985	62100	1200	07KNSTD	396000	20000	KNSTD	2006	-	-	-	-	13355	753	259	11925	1002	606	-
