Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Briner et al. (2005b)	boulder	Brin2005b-1	Brin2005b-A	SIV1-00-3	70.31690	-68.85693	138	3	2.65	0.999	49000	5000	LLNL3000	287000	50000	KNSTD	2000	8600	900	8300	1500	8371	1000	856	8127	1559	1421	Briner et al. (2007)
Briner et al. (2005b)	boulder	Brin2005b-2	Brin2005b-A	SIV1-00-4	70.31575	-68.86170	126	3	2.65	0.999	57000	3000	LLNL3000	0	0	0	2000	10200	500	-	-	9890	803	522	-	-	-	Briner et al. (2007)
Briner et al. (2005b)	boulder	Brin2005b-3	Brin2005b-A	SIV1-00-5	70.31555	-68.80443	42	3	2.65	0.995	59000	2000	LLNL3000	0	0	0	2000	11400	500	-	-	11227	791	382	-	-	-	Briner et al. (2007)
Briner et al. (2005b)	cobble	Brin2005b-4	Brin2005b-B	CF02-178	70.43898	-68.51863	231	3	2.65	1	71000	5000	KNSTD	0	0	0	2002	11200	800	-	-	11605	1089	820	-	-	-	-
Briner et al. (2005b)	cobble	Brin2005b-5	Brin2005b-B	CF02-177	70.44383	-68.51277	252	3	2.65	1	70000	4000	KNSTD	0	0	0	2002	11400	600	-	-	11195	943	641	-	-	-	-
Briner et al. (2005b)	boulder	Brin2005b-6	Brin2005b-C	PB1-00-4	70.46402	-68.68807	145	3	2.65	1	59000	9000	KNSTD	485000	66000	KNSTD	2000	10300	1300	14000	1700	10497	1731	1606	13736	2172	1882	-
Briner et al. (2005b)	boulder	Brin2005b-7	Brin2005b-C	PB1-00-3	70.46512	-68.68165	130	3	2.65	1	0	0	0	441000	48000	KNSTD	2000	-	-	12900	800	-	-	-	12672	1711	1388	-
Briner et al. (2005b)	boulder	Brin2005b-8	Brin2003-D	PB3-00-4	70.44343	-68.75572	188	3	2.65	1	76000	9000	KNSTD	477000	65000	KNSTD	2000	12800	1000	13200	1400	12983	1739	1543	12933	2046	1774	-
Briner et al. (2005b)	boulder	Brin2005b-9	Brin2005b-D	AL12-01-2	70.70531	-69.08719	36	3	2.65	1	55000	3000	KNSTD	0	0	0	2001	10500	600	-	-	10961	904	599	-	-	-	-
Briner et al. (2005b)	boulder	Brin2005b-10	Brin2005b-D	AL12-01-1	70.70644	-69.08819	52	3	2.65	1	81000	3000	KNSTD	0	0	0	2001	15300	500	-	-	15914	1148	592	-	-	-	-
