Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Chevalier et al. (2011)	boulder	Chev2011-1	Chev2011-A	T5C-58	30.811	91.556	5003	4	2.7	0.991	1227000	24000	NIST_27900	0	0	0	2009	15486	1346	-	-	17707	1043	348	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-2	Chev2011-A	T5C-59	30.811	91.556	5003	4	2.7	0.991	1252000	24000	NIST_27900	0	0	0	2009	15768	1371	-	-	18028	1060	347	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-3	Chev2011-A	T5C-60	30.811	91.556	4995	4	2.7	0.995	1297000	23000	NIST_27900	0	0	0	2009	16292	1410	-	-	18576	1083	331	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-4	Chev2011-A	T5C-61	30.810	91.557	4988	4	2.7	0.995	1210000	25000	NIST_27900	0	0	0	2009	15328	1335	-	-	17534	1039	364	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-5	Chev2011-A	T5C-62	30.810	91.557	4991	4	2.7	0.995	1298000	37000	NIST_27900	0	0	0	2009	16333	1462	-	-	18617	1163	533	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-6	Chev2011-A	T5C-63	30.810	91.557	4991	4	2.7	0.995	1358000	34000	NIST_27900	0	0	0	2009	17026	1504	-	-	19284	1176	485	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-7	Chev2011-A	T5C-64	30.810	91.557	4987	4	2.7	0.994	1393000	35000	NIST_27900	0	0	0	2009	17464	1546	-	-	19683	1201	497	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-8	Chev2011-B	T5C-66	30.807	91.564	4874	4	2.7	0.997	1584000	40000	NIST_27900	0	0	0	2009	20590	1822	-	-	22538	1377	572	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-9	Chev2011-B	T5C-67	30.807	91.564	4874	4	2.7	0.997	1364000	34000	NIST_27900	0	0	0	2009	17910	1584	-	-	20093	1225	503	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-10	Chev2011-B	T5C-68	30.807	91.565	4858	4	2.7	0.997	1320000	35000	NIST_27900	0	0	0	2009	17499	1556	-	-	19743	1216	526	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-11	Chev2011-B	T5C-69	30.807	91.565	4840	4	2.7	0.997	1294000	32000	NIST_27900	0	0	0	2009	17308	1530	-	-	19585	1192	487	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-12	Chev2011-B	T5C-70	30.807	91.565	4860	4	2.7	0.997	1300000	40000	NIST_27900	0	0	0	2009	17233	1556	-	-	19516	1241	603	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-13	Chev2011-B	T5C-71	30.808	91.564	4876	4	2.7	0.996	1512000	47000	NIST_27900	0	0	0	2009	19717	1782	-	-	21663	1381	677	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-14	Chev2011-B	T5C-72	30.808	91.563	4869	4	2.7	0.996	1219000	30000	NIST_27900	0	0	0	2009	16203	1432	-	-	18521	1126	458	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-15	Chev2011-B	T5C-73	30.807	91.564	4855	4	2.7	0.996	1273000	31000	NIST_27900	0	0	0	2009	16960	1495	-	-	19266	1169	471	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-16	Chev2011-C	T5C-19	30.023	90.241	5305	4	2.7	0.999	947000	26000	NIST_27900	0	0	0	2009	10874	967	-	-	12475	772	344	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-17	Chev2011-C	T5C-20	30.023	90.241	5302	4	2.7	0.999	1135000	23000	NIST_27900	0	0	0	2009	13044	1137	-	-	14825	876	302	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-18	Chev2011-C	T5C-21	30.023	90.241	5302	4	2.7	0.999	904000	18000	NIST_27900	0	0	0	2009	10401	905	-	-	11951	704	239	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-19	Chev2011-C	T5C-22	30.023	90.241	5295	4	2.7	0.999	1821000	32000	NIST_27900	0	0	0	2009	20316	1759	-	-	21904	1277	387	-	-	-	-
Chevalier et al. (2011)	boulder	Chev2011-20	Chev2011-C	T5C-23	30.022	90.241	5287	4	2.7	0.999	1248000	25000	NIST_27900	0	0	0	2009	14384	1252	-	-	16246	959	327	-	-	-	-
