Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Corbett et al. (2016a)	bedrock	Corb2016-1	Corb2016-A	KM95-001	63.74340	-68.46762	50	8	2.7	1	75400	9876	LLNL10000	450523	22379	KNSTD	1995	10300	1300	10000	500	15740	2247	2070	14470	1200	724	Marsella (1998)
Corbett et al. (2016a)	bedrock	Corb2016-2	Corb2016-A	PTD94-17	63.74340	-68.46762	125	3	2.7	1	58138	5493	LLNL3000	0	0	0	1994	10600	1000	-	-	10241	1125	970	-	-	-	-
Corbett et al. (2016a)	cobble	Corb2016-3	Corb2016-A	PTD94-18a	63.74340	-68.46762	125	3	2.7	1	39226	6177	LLNL3000	247243	21453	KNSTD	1994	7300	1100	7800	700	6941	1161	1095	7039	769	613	-
Corbett et al. (2016a)	cobble	Corb2016-4	Corb2016-A	PTD94-18b	63.74340	-68.46762	125	4	2.7	1	57873	5319	LLNL3000	392385	26709	KNSTD	1994	10700	1000	12300	800	10285	1107	948	11257	1071	770	-
Corbett et al. (2016a)	cobble	Corb2016-5	Corb2016-A	PTD94-18c	63.74340	-68.46762	125	3	2.7	1	40962	5228	LLNL3000	273582	13934	KNSTD	1994	7500	900	8500	400	7234	1008	925	7743	646	396	-
Corbett et al. (2016a)	boulder	Corb2016-6	Mars2000-F	KM95-008	66.18372	-65.56358	661	6	2.7	0.986	332748	8495	LLNL10000	2080975	101164	KNSTD	1995	38500	900	39400	1900	38312	2360	988	37333	3107	1849	Marsella (1998)
Corbett et al. (2016a)	boulder	Corb2016-7	Mars2000-F	PTD92-04	66.18367	-65.56217	660	4	2.7	0.995	100341	5745	LLNL1000	689900	50991	KNSTD	1992	11700	700	12700	900	11454	915	658	11850	1179	881	-
Corbett et al. (2016a)	boulder	Corb2016-8	Corb2016-B	KM95-022	66.26606	-65.79989	393	3	2.7	0.988	83996	8482	LLNL10000	446201	32176	KNSTD	1995	12200	1200	10600	800	12044	1391	1220	9840	965	713	Marsella (1998)
Corbett et al. (2016a)	bedrock	Corb2016-9	Corb2016-C	KM95-023	66.18717	-65.70953	444	3	2.7	0.986	118924	19952	LLNL10000	553564	46416	KNSTD	1995	16800	2800	12600	1000	16302	2892	2746	11688	1252	986	Marsella (1998)
Corbett et al. (2016a)	boulder	Corb2016-10	Corb2016-D	KM95-026	66.14547	-65.85556	345	2	2.7	1	79609	6745	LLNL10000	0	0	0	1995	12100	1000	-	-	11716	1190	996	-	-	-	Marsella (1998)
Corbett et al. (2016a)	bedrock	Corb2016-11	Corb2016-D	KM95-027	66.14547	-65.85556	345	1.5	2.7	1	191075	7987	LLNL10000	1214113	47799	KNSTD	1995	28900	1200	30100	1200	28241	1974	1189	27807	2159	1110	Marsella (1998)
Corbett et al. (2016a)	boulder	Corb2016-12	Mar1998-A	KM95-031	66.18411	-65.76011	158	4	2.7	0.994	70376	5508	LLNL10000	488005	23628	KNSTD	1995	13200	1000	14900	700	12786	1230	1004	13676	1123	667	Marsella (1998)
Corbett et al. (2016a)	boulder	Mar1998-1	Mar1998-A	KM95-032	66.17797	-65.75211	36	2	2.7	0.993	73685	10561	LLNL10000	168325	27330	KNSTD	1995	15700	2200	5900	900	14920	2301	2146	5241	920	853	Marsella (1998)
Corbett et al. (2016a)	bedrock	Corb2016-13	Mars2000-O	KM95-037	66.11756	-65.64536	385	4	2.7	0.999	0	0	0	1133587	52553	KNSTD	1995	-	-	27500	1300	-	-	-	25509	2077	1198	Marsella (1998)
Corbett et al. (2016a)	boulder	Corb2016-14	Mars2000-O	KM95-038	66.11756	-65.64536	385	4	2.7	0.999	89818	13822	LLNL10000	432430	53612	KNSTD	1995	13400	2000	10500	1300	12956	2126	2000	9574	1350	1193	Marsella (1998)
Corbett et al. (2016a)	bedrock	Corb2016-15	Corb2016-E	KM95-041	66.13972	-65.71583	119	4	2.7	0.987	58049	7676	LLNL10000	437570	27280	KNSTD	1995	11400	1500	14000	900	11030	1586	1463	12827	1169	805	Marsella (1998)
Corbett et al. (2016a)	bedrock	Corb2016-16	Corb2016-E	KM95-042	66.13992	-65.71539	109	2	2.7	0.978	80373	8718	LLNL10000	368156	32085	KNSTD	1995	15700	1700	11700	1000	15349	1877	1671	10776	1182	944	Marsella (1998)
Corbett et al. (2016a)	bedrock	Corb2016-17	Corb2016-E	KM95-043	66.13764	-65.71767	109	2	2.7	0.975	49678	6690	LLNL10000	377116	26357	KNSTD	1995	9700	1300	12000	800	9448	1379	1275	11085	1069	779	Marsella (1998)
