Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Corbett et al. (2021)	cobble	Corb2021-1	Corb2021-A	GK003	67.15478	-50.03253	494	5	2.65	1	229	138	07KNSTD	0	0	0	2018	-	-	-	-	36	22	22	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-2	Corb2021-A	GK004	67.15478	-50.03253	494	5	2.65	1	675	127	07KNSTD	0	0	0	2018	-	-	-	-	104	20	20	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-3	Corb2021-A	GK008	67.15478	-50.03253	494	5	2.65	1	562	135	07KNSTD	0	0	0	2018	-	-	-	-	87	22	21	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-4	Corb2021-A	GK009	67.15478	-50.03253	494	5	2.65	1	142	111	07KNSTD	0	0	0	2018	-	-	-	-	22	18	17	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-5	Corb2021-A	GK011	67.15552	-50.02705	498	5	2.65	1	1820	187	07KNSTD	0	0	0	2018	-	-	-	-	262	31	27	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-6	Corb2021-A	GK012	67.15552	-50.02705	498	5	2.65	1	376	129	07KNSTD	0	0	0	2018	-	-	-	-	60	21	20	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-7	Corb2021-A	GK015	67.15552	-50.02705	498	5	2.65	1	32560	567	07KNSTD	216100	12990	KNSTD	2018	-	-	-	-	4645	270	81	4308	388	260	-
Corbett et al. (2021)	cobble	Corb2021-8	Corb2021-A	GK017	67.15552	-50.02705	498	5	2.65	1	1014	137	07KNSTD	0	0	0	2018	-	-	-	-	153	22	21	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-9	Corb2021-A	GK020	67.15552	-50.02705	498	5	2.65	1	668	145	07KNSTD	0	0	0	2018	-	-	-	-	102	23	22	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-10	Corb2021-A	GK080	67.15755	-50.03142	493	5	2.65	1	1815	190	07KNSTD	0	0	0	2018	-	-	-	-	262	31	27	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-11	Corb2021-A	GK083	67.15755	-50.03142	493	5	2.65	1	763	132	07KNSTD	0	0	0	2018	-	-	-	-	117	21	20	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-12	Corb2021-B	GK022	67.15679	-50.06401	421	5	2.65	1	10960	309	07KNSTD	72760	4439	KNSTD	2018	-	-	-	-	1611	100	45	1492	135	91	-
Corbett et al. (2021)	cobble	Corb2021-13	Corb2021-B	GK027	67.15679	-50.06401	421	5	2.65	1	2934	291	07KNSTD	0	0	0	2018	-	-	-	-	437	50	43	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-14	Corb2021-B	GK032	67.15679	-50.06401	421	5	2.65	1	805	266	07KNSTD	0	0	0	2018	-	-	-	-	131	44	43	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-15	Corb2021-B	GK037	67.15679	-50.06401	421	5	2.65	1	587	247	07KNSTD	0	0	0	2018	-	-	-	-	97	41	41	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-16	Corb2021-B	GK040	67.15679	-50.06401	421	5	2.65	1	4845	425	07KNSTD	24110	4947	KNSTD	2018	-	-	-	-	703	73	62	498	108	102	-
Corbett et al. (2021)	cobble	Corb2021-17	Corb2021-B	GK041	67.15679	-50.06401	421	5	2.65	1	624	154	07KNSTD	0	0	0	2018	-	-	-	-	103	26	25	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-18	Corb2021-B	GK047	67.15679	-50.06401	421	5	2.65	1	702	136	07KNSTD	0	0	0	2018	-	-	-	-	115	23	22	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-19	Corb2021-B	GK051	67.15679	-50.06401	421	5	2.65	1	8323	276	07KNSTD	0	0	0	2018	-	-	-	-	1216	78	40	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-20	Corb2021-B	GK056	67.15679	-50.06401	421	5	2.65	1	823	143	07KNSTD	0	0	0	2018	-	-	-	-	134	24	23	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-21	Corb2021-B	GK058	67.15679	-50.06401	421	5	2.65	1	686	141	07KNSTD	0	0	0	2018	-	-	-	-	113	24	23	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-22	Corb2021-B	GK060	67.15679	-50.06401	421	5	2.65	1	1326	208	07KNSTD	0	0	0	2018	-	-	-	-	209	35	33	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-23	Corb2021-B	GK063	67.15679	-50.06401	421	5	2.65	1	197	98	07KNSTD	0	0	0	2018	-	-	-	-	34	17	17	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-24	Corb2021-B	GK064	67.15679	-50.06401	421	5	2.65	1	886	127	07KNSTD	0	0	0	2018	-	-	-	-	144	22	21	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-25	Corb2021-B	GK066	67.15679	-50.06401	421	5	2.65	1	500	137	07KNSTD	0	0	0	2018	-	-	-	-	84	23	23	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-26	Corb2021-B	GK067	67.15679	-50.06401	421	5	2.65	1	2211	159	07KNSTD	0	0	0	2018	-	-	-	-	335	30	24	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-27	Corb2021-B	GK070	67.15679	-50.06401	421	5	2.65	1	4286	304	07KNSTD	34390	3060	KNSTD	2018	-	-	-	-	624	56	44	698	78	62	-
Corbett et al. (2021)	cobble	Corb2021-28	Corb2021-B	GK071	67.15679	-50.06401	421	5	2.65	1	4061	225	07KNSTD	30840	4310	KNSTD	2018	-	-	-	-	593	46	33	629	97	88	-
Corbett et al. (2021)	cobble	Corb2021-29	Corb2021-B	GK072	67.15679	-50.06401	421	5	2.65	1	3534	169	07KNSTD	23360	2958	KNSTD	2018	-	-	-	-	520	38	25	484	69	61	-
Corbett et al. (2021)	cobble	Corb2021-30	Corb2021-B	GK074	67.15679	-50.06401	421	5	2.65	1	1356	202	07KNSTD	0	0	0	2018	-	-	-	-	213	34	32	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-31	Corb2021-C	GK086	67.13600	-50.06215	425	5	2.65	1	863	169	07KNSTD	0	0	0	2018	-	-	-	-	140	28	27	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-32	Corb2021-D	GK097	67.13976	-50.04586	494	5	2.65	1	18160	412	07KNSTD	136500	11840	KNSTD	2018	-	-	-	-	2542	152	58	2682	294	233	-
Corbett et al. (2021)	cobble	Corb2021-33	Corb2021-D	GK099	67.13976	-50.04586	494	5	2.65	1	11750	309	07KNSTD	86660	6849	KNSTD	2018	-	-	-	-	1611	99	42	1666	173	132	-
Corbett et al. (2021)	cobble	Corb2021-34	Corb2021-E	GK102	67.14751	-50.05706	573	5	2.65	1	38750	1010	07KNSTD	0	0	0	2018	5880	150	-	-	5166	316	135	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-35	Corb2021-E	GK103	67.14751	-50.05706	573	5	2.65	1	44880	850	07KNSTD	0	0	0	2018	6820	130	-	-	5971	349	113	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-36	Corb2021-E	GK104	67.14751	-50.05706	573	5	2.65	1	49820	1293	07KNSTD	0	0	0	2018	7570	200	-	-	6625	405	172	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-37	Corb2021-F	GL005	69.43071	-50.26318	343	5	2.65	1	204	107	07KNSTD	0	0	0	2018	-	-	-	-	38	20	20	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-38	Corb2021-F	GL007	69.43071	-50.26318	343	5	2.65	1	213	97	07KNSTD	0	0	0	2018	-	-	-	-	39	18	18	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-39	Corb2021-F	GL013	69.43071	-50.26318	343	5	2.65	1	21	102	07KNSTD	0	0	0	2018	-	-	-	-	4	18	18	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-40	Corb2021-F	GL015	69.43071	-50.26318	343	5	2.65	1	23	87	07KNSTD	0	0	0	2018	-	-	-	-	4	16	16	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-41	Corb2021-F	GL019	69.43071	-50.26318	343	5	2.65	1	399	115	07KNSTD	0	0	0	2018	-	-	-	-	73	21	21	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-42	Corb2021-F	GL020	69.43071	-50.26318	343	5	2.65	1	25	86	07KNSTD	0	0	0	2018	-	-	-	-	4	15	15	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-43	Corb2021-G	GL025	69.44000	-50.26300	276	5	2.65	1	464	115	07KNSTD	0	0	0	2018	-	-	-	-	89	23	22	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-44	Corb2021-G	GL027	69.44000	-50.26300	276	5	2.65	1	244	127	07KNSTD	0	0	0	2018	-	-	-	-	48	25	25	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-45	Corb2021-H	GL028	69.42740	-50.35197	92	5	2.65	1	5002	208	07KNSTD	29670	2607	KNSTD	2018	-	-	-	-	1011	70	42	834	92	73	-
Corbett et al. (2021)	cobble	Corb2021-46	Corb2021-H	GL033	69.42740	-50.35197	92	5	2.65	1	1137	161	07KNSTD	0	0	0	2018	-	-	-	-	245	37	35	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-47	Corb2021-H	GL036	69.42740	-50.35197	92	5	2.65	1	3988	215	07KNSTD	33430	4403	KNSTD	2018	-	-	-	-	803	62	43	941	139	124	-
Corbett et al. (2021)	cobble	Corb2021-48	Corb2021-H	GL046	69.42740	-50.35197	92	5	2.65	1	757	138	07KNSTD	0	0	0	2018	-	-	-	-	169	32	31	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-49	Corb2021-H	GL047	69.42740	-50.35197	92	5	2.65	1	704	162	07KNSTD	0	0	0	2018	-	-	-	-	157	37	36	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-50	Corb2021-H	GL049	69.42740	-50.35197	92	5	2.65	1	80	98	07KNSTD	0	0	0	2018	-	-	-	-	18	23	23	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-51	Corb2021-H	GL058	69.42734	-50.35448	79	5	2.65	1	0	122	07KNSTD	0	0	0	2018	-	-	-	-	0	31	29	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-52	Corb2021-H	GL064	69.42560	-50.35987	68	5	2.65	1	440	127	07KNSTD	0	0	0	2018	-	-	-	-	103	30	30	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-53	Corb2021-H	GL068	69.42560	-50.35987	68	5	2.65	1	352	120	07KNSTD	0	0	0	2018	-	-	-	-	83	29	28	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-54	Corb2021-H	GL073	69.42683	-50.35942	65	5	2.65	1	185	120	07KNSTD	0	0	0	2018	-	-	-	-	45	29	29	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-55	Corb2021-H	GL075	69.42683	-50.35942	65	5	2.65	1	240	112	07KNSTD	0	0	0	2018	-	-	-	-	58	27	27	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-56	Corb2021-H	GL078	69.42683	-50.35942	65	5	2.65	1	161	115	07KNSTD	0	0	0	2018	-	-	-	-	39	28	28	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-57	Corb2011-B	GL082	69.39530	-50.41563	620	5	2.65	1	50560	957	07KNSTD	0	0	0	2018	7600	140	-	-	6469	379	123	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-58	Corb2011-B	GL083	69.39530	-50.41563	620	5	2.65	1	59230	1357	07KNSTD	0	0	0	2018	8900	200	-	-	7538	452	173	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-59	Corb2011-B	GL085	69.39530	-50.41563	620	5	2.65	1	52230	984	07KNSTD	0	0	0	2018	7850	150	-	-	6683	391	126	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-60	Corb2013-M	GU003	72.53587	-53.73338	605	5	2.65	1	69350	1378	07KNSTD	0	0	0	2018	9680	190	-	-	8956	527	178	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-61	Corb2013-M	GU004	72.53587	-53.73338	605	5	2.65	1	51800	1186	07KNSTD	0	0	0	2018	7230	170	-	-	6726	403	154	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-62	Corb2013-M	GU005	72.53587	-53.73338	605	5	2.65	1	47100	881	07KNSTD	0	0	0	2018	6570	120	-	-	6121	358	115	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-63	Corb2021-I	GU007	72.54145	-53.71806	460	5	2.65	1	1995	244	07KNSTD	0	0	0	2018	-	-	-	-	297	40	36	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-64	Corb2021-I	GU010	72.54145	-53.71806	460	5	2.65	1	112100	2229	07KNSTD	770700	25120	KNSTD	2018	-	-	-	-	16742	988	334	16157	1211	531	-
Corbett et al. (2021)	cobble	Corb2021-65	Corb2021-I	GU016	72.54145	-53.71806	460	5	2.65	1	2193	239	07KNSTD	0	0	0	2018	-	-	-	-	324	40	35	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-66	Corb2021-J	GU018	72.53394	-53.67879	590	5	2.65	1	1272	147	07KNSTD	0	0	0	2018	-	-	-	-	175	22	20	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-67	Corb2021-J	GU019	72.53398	-53.67855	588	5	2.65	1	2630	165	07KNSTD	0	0	0	2018	-	-	-	-	343	29	21	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-68	Corb2021-J	GU020	72.53403	-53.67843	586	5	2.65	1	997	142	07KNSTD	0	0	0	2018	-	-	-	-	140	21	20	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-69	Corb2021-J	GU022	72.53409	-53.67819	584	5	2.65	1	2364	201	07KNSTD	0	0	0	2018	-	-	-	-	311	32	26	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-70	Corb2021-J	GU027	72.53423	-53.67761	584	5	2.65	1	294	111	07KNSTD	0	0	0	2018	-	-	-	-	43	16	16	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-71	Corb2021-J	GU028	72.53426	-53.67750	584	5	2.65	1	1552	152	07KNSTD	0	0	0	2018	-	-	-	-	211	24	21	-	-	-	-
Corbett et al. (2021)	cobble	Corb2021-72	Corb2021-J	GU034	72.53440	-53.67628	590	5	2.65	1	7384	394	07KNSTD	39180	3213	KNSTD	2018	-	-	-	-	920	71	49	684	72	56	-
Corbett et al. (2021)	cobble	Corb2021-73	Corb2021-J	GU036	72.53426	-53.67554	591	5	2.65	1	737	181	07KNSTD	0	0	0	2018	-	-	-	-	104	26	26	-	-	-	-
