Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Corbett et al. (in press)	bedrock	CorbInpress-1	CorbInpress-A	KM95-001	63.7434	-68.46762	50	8	2.7	1	75400	9876	LLNL10000	450523	22379	KNSTD	1995	10300	1300	10000	500	15696	2225	2064	14507	1213	726	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-2	CorbInpress-A	PTD94-17	63.7434	-68.46762	125	3	2.7	1	58138	5493	LLNL3000	0	0	0	1994	10600	1000	-	-	10214	1108	968	-	-	-	-
Corbett et al. (in press)	cobble	CorbInpress-3	CorbInpress-A	PTD94-18a	63.7434	-68.46762	125	3	2.7	1	39226	6177	LLNL3000	247243	21453	KNSTD	1994	7300	1100	7800	700	6922	1152	1092	7056	774	614	-
Corbett et al. (in press)	cobble	CorbInpress-4	CorbInpress-A	PTD94-18b	63.7434	-68.46762	125	4	2.7	1	57873	5319	LLNL3000	392385	26709	KNSTD	1994	10700	1000	12300	800	10256	1090	945	11287	1080	773	-
Corbett et al. (in press)	cobble	CorbInpress-5	CorbInpress-A	PTD94-18c	63.7434	-68.46762	125	3	2.7	1	40962	5228	LLNL3000	273582	13934	KNSTD	1994	7500	900	8500	400	7216	998	923	7762	653	397	-
Corbett et al. (in press)	boulder	CorbInpress-6	Mars2000-F	KM95-008	66.18372	-65.56358	661	6	2.7	0.986	332748	8495	LLNL10000	2080975	101164	KNSTD	1995	38500	900	39400	1900	38207	2261	985	37428	3142	1853	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-7	Mars2000-F	PTD92-04	66.18367	-65.56217	660	4	2.7	0.995	100341	5745	LLNL1000	689900	50991	KNSTD	1992	11700	700	12700	900	11422	892	656	11880	1188	883	-
Corbett et al. (in press)	boulder	CorbInpress-8	CorbInpress-B	KM95-022	66.26606	-65.79989	393	3	2.7	0.988	83996	8482	LLNL10000	446201	32176	KNSTD	1995	12200	1200	10600	800	12011	1373	1216	9866	973	715	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-9	CorbInpress-C	KM95-023	66.18717	-65.70953	444	3	2.7	0.986	118924	19952	LLNL10000	553564	46416	KNSTD	1995	16800	2800	12600	1000	16258	2871	2739	11718	1262	988	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-10	CorbInpress-D	KM95-026	66.14547	-65.85556	345	2	2.7	1	79609	6745	LLNL10000	0	0	0	1995	12100	1000	-	-	11684	1170	993	-	-	-	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-11	CorbInpress-D	KM95-027	66.14547	-65.85556	345	1.5	2.7	1	191075	7987	LLNL10000	1214113	47799	KNSTD	1995	28900	1200	30100	1200	28165	1909	1186	27881	2186	1113	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-12	Mar1998-A	KM95-031	66.18411	-65.76011	158	4	2.7	0.994	70376	5508	LLNL10000	488005	23628	KNSTD	1995	13200	1000	14900	700	12750	1207	1001	13711	1136	668	Marsella (1998)
Corbett et al. (in press)	boulder	Mar1998-1	Mar1998-A	KM95-032	66.17797	-65.75211	36	2	2.7	0.993	73685	10561	LLNL10000	168325	27330	KNSTD	1995	15700	2200	5900	900	14879	2281	2141	5254	924	855	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-13	Mars2000-O	KM95-037	66.11756	-65.64536	385	4	2.7	0.999	0	0	0	1133587	52553	KNSTD	1995	-	-	27500	1300	-	-	-	25574	2100	1201	Marsella (1998)
Corbett et al. (in press)	boulder	CorbInpress-14	Mars2000-O	KM95-038	66.11756	-65.64536	385	4	2.7	0.999	89818	13822	LLNL10000	432430	53612	KNSTD	1995	13400	2000	10500	1300	12921	2109	1995	9598	1357	1196	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-15	CorbInpress-E	KM95-041	66.13972	-65.71583	119	4	2.7	0.987	58049	7676	LLNL10000	437570	27280	KNSTD	1995	11400	1500	14000	900	10999	1570	1458	12859	1180	807	Marsella (1998)
Corbett et al. (in press)	bedrock	CorbInpress-16	CorbInpress-E	KM95-042	66.13992	-65.71539	109	2	2.7	0.978	80373	8718	LLNL10000	368156	32085	KNSTD	1995	15700	1700	11700	1000	15306	1853	1667	10806	1191	947	Marsella (1998)
