Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Dortch et al. (2013)	boulder	Dort2013-1	Dort2013-A	Pang-16	33.906	78.449	4426	5	2.7	0.978	2480000	610000	KNSTD	0	0	0	2011	35300	9300	-	-	34451	8675	8547	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-2	Dort2013-A	Pang-17	33.906	78.449	4434	4	2.7	0.978	4850000	110000	07KNSTD	0	0	0	2011	76300	7000	-	-	70306	3461	1623	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-3	Dort2013-A	Pang-18	33.906	78.449	4436	4	2.7	0.978	3840000	190000	KNSTD	0	0	0	2011	54200	5500	-	-	49820	3297	2496	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-4	Dort2013-A	Pang-19	33.906	78.450	4430	5	2.7	0.978	3990000	90000	KNSTD	0	0	0	2011	57000	5200	-	-	52784	2584	1206	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-5	Dort2013-A	Pang-20	33.906	78.450	4427	5	2.7	0.978	2100000	110000	KNSTD	0	0	0	2011	29900	3000	-	-	29948	2039	1581	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-6	Dort2013-A	Pang-21	33.906	78.450	4422	5	2.7	0.978	3910000	90000	KNSTD	0	0	0	2011	56000	5100	-	-	51811	2547	1208	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-7	Dort2013-B	Pang-22	33.906	78.451	4425	5	2.7	0.99	5620000	120000	07KNSTD	0	0	0	2011	88700	8100	-	-	82738	4034	1804	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-8	Dort2013-B	Pang-23	33.906	78.451	4425	5	2.7	0.99	4580000	100000	KNSTD	0	0	0	2011	64900	5900	-	-	60443	2944	1340	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-9	Dort2013-C	LDK-34	34.285	77.769	4323	3	2.7	1	5350000	120000	07KNSTD	0	0	0	2011	85400	7800	-	-	79652	3920	1823	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-10	Dort2013-C	LDK-35	34.285	77.768	4425	3	2.7	1	4720000	160000	07KNSTD	0	0	0	2011	71400	6800	-	-	65794	3647	2267	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-11	Dort2013-C	LDK-205A	34.277	77.763	4475	3	2.7	1	5670000	90000	07KNSTD	0	0	0	2011	84000	7600	-	-	77575	3604	1256	-	-	-	-
Dortch et al. (2013)	boulder	Dort2013-12	Dort2013-C	LDK-208A	34.278	77.762	4483	5	2.7	1	4610000	160000	07KNSTD	0	0	0	2011	68900	6500	-	-	63518	3552	2240	-	-	-	-
