Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Fu et al. (2019)	bedrock	Fu2019-1	Fu2019-A	TB-09-95	29.36888	100.23720	4692	3	2.7	1	1484567	56343	07KNSTD	11184183	685313	KNSTD	2009	23500	1600	26100	2400	23502	1585	897	26075	2394	1618	-
Fu et al. (2019)	bedrock	Fu2019-2	Fu2019-A	TB-09-97	29.37080	100.23843	4676	4	2.7	1	1226343	41300	07KNSTD	9560849	564865	KNSTD	2009	20400	1300	22000	1900	20356	1324	689	23125	2086	1382	-
Fu et al. (2019)	boulder	Fu2019-3	Fu2019-A	TB-09-96	29.36877	100.23717	4696	3	2.7	1	1306988	24057	07KNSTD	9208488	506673	KNSTD	2009	21000	1200	23100	2100	21046	1233	389	22021	1927	1225	-
Fu et al. (2019)	boulder	Fu2019-4	Fu2019-A	TB-09-98	29.37080	100.23843	4676	3	2.7	1	787410	36682	07KNSTD	0	0	0	2009	13800	1000	-	-	13754	998	643	-	-	-	-
Fu et al. (2019)	bedrock	Fu2019-5	Fu2013-H	TB-09-103	29.40332	99.98970	4513	3.5	2.7	1	8605774	145572	07KNSTD	58106136	4652360	KNSTD	2009	131100	7800	136400	15100	131060	7830	2291	136317	15211	11679	-
Fu et al. (2019)	bedrock	Fu2019-6	Fu2019-B	TB-09-105	29.40835	100.04247	4486	5	2.7	1	8918399	189870	07KNSTD	60173019	3348440	KNSTD	2009	140500	8600	147400	13700	140517	8623	3099	147226	13774	8815	-
Fu et al. (2019)	bedrock	Fu2019-7	Fu2019-C	TB-09-115	29.41868	100.09108	4451	3	2.7	1	854821	50032	07KNSTD	6094306	397647	KNSTD	2009	16400	1300	17500	1600	16421	1327	965	17452	1644	1149	-
Fu et al. (2019)	bedrock	Fu2019-8	Fu2019-D	TB-11-23	29.45046	100.18385	4712	3	2.7	1	1578238	33485	07KNSTD	0	0	0	2011	24500	1500	-	-	24510	1460	523	-	-	-	-
Fu et al. (2019)	bedrock	Fu2019-9	Fu2019-D	TB-11-28	29.42608	100.17905	4664	3	2.7	1	6189190	144847	07KNSTD	43428480	1178751	KNSTD	2011	90600	5600	96300	7200	90574	5562	2168	96229	7278	2739	-
Fu et al. (2019)	boulder	Fu2019-10	Fu2019-D	TB-11-11	29.45900	100.20301	4665	3	2.7	1	852073	16808	07KNSTD	0	0	0	2011	14800	900	-	-	14831	874	294	-	-	-	-
Fu et al. (2019)	boulder	Fu2019-11	Fu2019-D	TB-11-13	29.45900	100.20301	4665	3	2.7	1	832566	13699	07KNSTD	0	0	0	2011	14500	800	-	-	14526	841	240	-	-	-	-
Fu et al. (2019)	boulder	Fu2019-12	Fu2019-D	TB-11-20	29.46493	100.19632	4682	3	2.7	1	917037	23922	07KNSTD	0	0	0	2011	15700	1000	-	-	15723	965	412	-	-	-	-
Fu et al. (2019)	boulder	Fu2019-13	Fu2019-D	TB-11-21	29.46473	100.19634	4670	3	2.7	1	880293	18390	07KNSTD	0	0	0	2011	15200	900	-	-	15227	903	319	-	-	-	-

expage.github.io - data from expage-202002
