Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
García et al. (2018)	boulder	Garc2018-1	Garc2018-A	RVI-08-01	-51.1057	-71.8733	330	0.7	2.65	1	284900	7200	07KNSTD	0	0	0	2008	48600	2100	-	-	47656	2931	1219	-	-	-	-
García et al. (2018)	boulder	Garc2018-2	Garc2018-A	RVI-08-02	-51.0993	-71.8686	312	0.9	2.65	1	272900	3500	07KNSTD	0	0	0	2008	47400	1900	-	-	46480	2668	603	-	-	-	-
García et al. (2018)	boulder	Garc2018-3	Garc2018-B	RVISC-13-07	-50.9131	-72.4447	652	2.1	2.65	0.999	365400	13800	07KNSTD	0	0	0	2013	47500	2400	-	-	46281	3134	1768	-	-	-	-
García et al. (2018)	boulder	Garc2018-4	Garc2018-B	RVISC-12-10	-50.9090	-72.5224	711	0.9	2.65	1	356000	14700	07KNSTD	0	0	0	2012	43400	2300	-	-	42294	2949	1765	-	-	-	-
García et al. (2018)	boulder	Garc2018-5	Garc2018-B	RVISC-12-05	-50.9067	-72.5482	731	0.8	2.65	1	364500	15700	07KNSTD	0	0	0	2012	43700	2400	-	-	42503	3010	1850	-	-	-	-
García et al. (2018)	boulder	Garc2018-6	Garc2018-B	RVISC-13-06	-50.9139	-72.4358	656	1.4	2.65	0.997	325900	12300	07KNSTD	0	0	0	2013	42000	2100	-	-	40982	2771	1563	-	-	-	-
García et al. (2018)	boulder	Garc2018-7	Garc2018-B	RVISC-12-01	-50.9064	-72.5498	731	4.4	2.65	0.999	328500	13000	07KNSTD	0	0	0	2012	40500	2100	-	-	39579	2717	1582	-	-	-	-
García et al. (2018)	boulder	Garc2018-8	Garc2018-B	RVISC-12-06	-50.9067	-72.5482	731	0.9	2.65	0.999	327000	14600	07KNSTD	0	0	0	2012	39200	2200	-	-	38254	2744	1724	-	-	-	-
García et al. (2018)	boulder	Garc2018-9	Garc2018-B	RVISC-12-02	-50.9063	-72.5500	732	3.1	2.65	0.999	302200	13600	07KNSTD	0	0	0	2012	36900	2100	-	-	36014	2590	1635	-	-	-	-
García et al. (2018)	boulder	Garc2018-10	Garc2018-B	RVISC-12-04	-50.9065	-72.5492	736	1.3	2.65	1	318800	13300	07KNSTD	0	0	0	2012	38200	2100	-	-	37229	2602	1568	-	-	-	-
García et al. (2018)	boulder	Garc2018-11	Garc2018-B	RVISC-13-01	-50.9084	-72.5335	720	1.7	2.65	1	308400	11800	07KNSTD	0	0	0	2013	37600	1900	-	-	36662	2487	1416	-	-	-	-
García et al. (2018)	boulder	Garc2018-12	Garc2018-B	RVISC-12-08	-50.9092	-72.5243	701	1.3	2.65	1	291500	12000	07KNSTD	0	0	0	2012	36000	1900	-	-	35142	2443	1459	-	-	-	-
García et al. (2018)	boulder	Garc2018-13	Garc2018-B	RVISC-13-03	-50.9087	-72.5292	710	1.5	2.65	0.999	297100	11200	07KNSTD	0	0	0	2013	36500	1900	-	-	35621	2405	1355	-	-	-	-
García et al. (2018)	boulder	Garc2018-14	Garc2018-B	RVISC-13-05	-50.9095	-72.5200	707	1.7	2.65	1	266100	12200	07KNSTD	0	0	0	2013	32800	1900	-	-	32045	2320	1481	-	-	-	-
García et al. (2018)	boulder	Garc2018-15	Garc2018-B	RVISC-13-04	-50.9092	-72.5240	706	1.8	2.65	1	252500	10000	07KNSTD	0	0	0	2013	31200	1600	-	-	30472	2088	1216	-	-	-	-
García et al. (2018)	boulder	Garc2018-16	Garc2018-B	RVISC-12-07	-50.9099	-72.5164	700	0.8	2.65	1	239000	9300	07KNSTD	0	0	0	2012	29400	1500	-	-	28762	1958	1127	-	-	-	-
García et al. (2018)	boulder	Garc2018-17	Garc2018-B	RVISC-13-02	-50.9088	-72.5313	711	1.6	2.65	1	213600	8900	07KNSTD	0	0	0	2013	26200	1400	-	-	25658	1788	1076	-	-	-	-
García et al. (2018)	boulder	Garc2018-18	Garc2018-C	RVILS-12-01	-51.1591	-72.2347	450	1.1	2.65	0.999	261700	10600	07KNSTD	0	0	0	2012	40200	2100	-	-	39363	2724	1610	-	-	-	-
García et al. (2018)	boulder	Garc2018-19	Garc2018-C	RVILS-12-02	-51.1567	-72.1999	456	1.5	2.65	0.998	171500	7600	07KNSTD	0	0	0	2012	26300	1500	-	-	25862	1844	1154	-	-	-	-
García et al. (2018)	boulder	Garc2018-20	Garc2018-D	RVIISC-12-06	-50.8954	-72.3644	340	0.6	2.65	1	321300	12600	07KNSTD	0	0	0	2012	54700	2900	-	-	53581	3680	2130	-	-	-	-
García et al. (2018)	boulder	Garc2018-21	Garc2018-D	RVIISC-12-03	-50.8980	-72.3548	326	1.1	2.65	0.996	260900	11400	07KNSTD	0	0	0	2012	45100	2500	-	-	44287	3155	1957	-	-	-	-
García et al. (2018)	boulder	Garc2018-22	Garc2018-D	RVIISC-12-02	-50.8995	-72.3593	354	0.9	2.65	1	212800	9200	07KNSTD	0	0	0	2012	35700	2000	-	-	35083	2484	1530	-	-	-	-
García et al. (2018)	boulder	Garc2018-23	Garc2018-E	RVIISC-12-08	-50.9285	-72.5823	382	1.7	2.65	0.999	226800	8600	07KNSTD	0	0	0	2012	37400	1900	-	-	36703	2483	1405	-	-	-	-
García et al. (2018)	boulder	Garc2018-24	Garc2018-E	RVIISC-12-10	-50.9277	-72.5670	386	0.7	2.65	1	210700	8100	07KNSTD	0	0	0	2012	34300	1800	-	-	33680	2287	1306	-	-	-	-
García et al. (2018)	boulder	Garc2018-25	Garc2018-F	RVIILS-12-01	-51.1153	-72.2248	328	2.7	2.65	0.998	192800	9400	07KNSTD	0	0	0	2012	33600	2000	-	-	33028	2455	1624	-	-	-	-
García et al. (2018)	boulder	Garc2018-26	Garc2018-G	RVIISC-12-05	-50.9202	-72.3825	333	0.9	2.65	0.999	173500	7100	07KNSTD	0	0	0	2012	29700	1600	-	-	29232	2025	1205	-	-	-	-
