Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Goehring et al. (2008)	boulder	Goeh2008-1	Goeh2008-A	SK05-12	61.8770	6.9237	761	2.5	2.6	0.98	87000	9000	NIST_Certified	0	0	0	2005	9750	970	-	-	10380	1253	1077	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-2	Goeh2008-A	SK05-11	61.8736	6.9252	885	4	2.6	0.99	13000	3000	NIST_Certified	0	0	0	2005	1320	300	-	-	1329	317	307	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-3	Broo1996-A	SK05-10	61.8701	6.9259	947	2.5	2.6	0.98	15000	4000	NIST_Certified	0	0	0	2005	1390	390	-	-	1450	397	387	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-4	Broo1996-A	SK05-8	61.8687	6.9294	1028	2.5	2.6	0.98	105000	9000	NIST_Certified	0	0	0	2005	9440	800	-	-	9901	1048	851	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-5	Broo1996-A	SK05-9	61.8687	6.9294	1028	1	2.6	0.98	162000	11000	NIST_Certified	0	0	0	2005	14440	1020	-	-	15091	1389	1029	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-6	Broo1996-A	SK05-7	61.8670	6.9330	1118	5	2.6	0.99	127000	11000	NIST_Certified	0	0	0	2005	10730	930	-	-	11213	1195	974	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-7	Broo1996-A	SK05-4	61.8619	6.9357	1220	2.5	2.6	0.99	133000	12000	NIST_Certified	0	0	0	2005	10110	870	-	-	10526	1153	952	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-8	Broo1996-A	SK05-3	61.8619	6.9357	1223	2.5	2.6	0.99	130000	11000	NIST_Certified	0	0	0	2005	9850	860	-	-	10258	1076	870	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-9	Broo1996-A	SK05-5	61.8677	6.9389	1244	1	2.6	0.98	160000	11000	NIST_Certified	0	0	0	2005	11940	810	-	-	12390	1147	854	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-10	Broo1996-A	SK05-6	61.8677	6.9389	1244	1	2.6	0.98	79000	9000	NIST_Certified	0	0	0	2005	5900	650	-	-	6128	795	699	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-11	Broo1996-A	SK111	61.8693	6.9342	1000	1	2.6	0.98	99000	16000	NIST_Certified	0	0	0	1994	9200	1520	-	-	9436	1636	1529	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-12	Broo1996-A	SK94-2a	61.8678	6.9329	1120	1	2.6	0.99	142000	13000	NIST_Certified	0	0	0	1994	11950	1220	-	-	12102	1339	1111	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-13	Broo1996-A	SK94-3	61.8670	6.9302	1160	1	2.6	0.99	143000	13000	NIST_Certified	0	0	0	1994	11670	1220	-	-	11777	1297	1074	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-14	Broo1996-A	SK94-12a	61.8648	6.9338	1200	3.5	2.6	0.99	147000	13000	NIST_Certified	0	0	0	1994	11700	1230	-	-	11949	1292	1060	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-15	Broo1996-B	SK05-1	61.8618	6.9500	1384	2.5	2.6	0.99	185000	13000	NIST_Certified	0	0	0	2005	12360	890	-	-	12766	1197	900	-	-	-	-
Goehring et al. (2008)	boulder	Goeh2008-16	Broo1996-B	SK05-2	61.8618	6.9500	1384	2.5	2.6	0.99	186000	11000	NIST_Certified	0	0	0	2005	12420	750	-	-	12835	1099	761	-	-	-	-
Goehring et al. (2008)	bedrock	Goeh2008-17	Broo1996-B	SK94-4	61.8652	6.9501	1420	7.5	2.6	0.98	318000	25000	NIST_Certified	0	0	0	1994	22320	2090	-	-	22412	2251	1772	-	-	-	-
