Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Hall et al. (2009)	boulder	Hall2009-1	Hall2009-A	JAH-09	-10.237	-76.966	4095	2	2.7	0.8965638	374000	12000	LLNL3000	0	0	0	2007	10080	910	-	-	11344	703	365	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-2	Hall2009-A	JAH-10	-10.237	-76.966	4097	2	2.7	0.8731467	332000	10800	LLNL3000	0	0	0	2007	9130	830	-	-	10207	634	333	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-3	Hall2009-A	JAH-11	-10.237	-76.966	4102	2	2.7	0.9693779	293000	10000	LLNL3000	0	0	0	2007	7170	650	-	-	7786	490	266	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-4	Hall2009-A	JAH-01	-10.239	-76.964	4107	2	2.7	0.9536385	373000	13600	LLNL3000	0	0	0	2007	9380	860	-	-	10481	674	383	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-5	Hall2009-A	JAH-05	-10.239	-76.964	4099	2	2.7	0.9643957	529000	17700	LLNL3000	0	0	0	2007	13300	1210	-	-	14880	933	500	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-6	Hall2009-B	JAH-12	-10.233	-76.977	4094	2	2.7	0.9696893	462000	14400	LLNL3000	0	0	0	2007	11550	1040	-	-	13012	800	407	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-7	Hall2009-B	JAH-13	-10.233	-76.977	4092	2	2.7	0.9696893	465000	15400	LLNL3000	0	0	0	2007	11640	1060	-	-	13116	820	436	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-8	Hall2009-B	JAH-14	-10.233	-76.977	4090	2	2.7	0.9696893	483000	15400	LLNL3000	0	0	0	2007	12120	1100	-	-	13652	844	437	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-9	Hall2009-B	JAH-15	-10.233	-76.977	4092	2	2.7	0.9696893	427000	13400	LLNL3000	0	0	0	2007	10670	960	-	-	12019	740	378	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-10	Hall2009-B	JAH-22	-10.235	-76.976	4099	2	2.7	0.9255810	60900	5670	KNSTD	0	0	0	2007	1880	240	-	-	2159	231	201	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-11	Hall2009-B	JAH-23	-10.235	-76.976	4072	2	2.7	0.9646262	518000	17900	KNSTD	0	0	0	2007	13780	1260	-	-	15380	974	534	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-12	Hall2009-C	JAH-18	-10.233	-76.987	4058	2	2.7	0.9267455	375000	12000	KNSTD	0	0	0	2007	10410	940	-	-	11751	727	377	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-13	Hall2009-C	JAH-19	-10.233	-76.987	4091	2	2.7	0.8870729	412000	13900	KNSTD	0	0	0	2007	11790	1070	-	-	13302	836	450	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-14	Hall2009-C	JAH-21	-10.233	-76.987	4149	2	2.7	0.9729498	452000	15400	KNSTD	0	0	0	2007	11480	1050	-	-	12904	813	441	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-15	Hall2009-D	JAH05-01	-10.234	-77.006	3980	2.5	2.7	0.9246758	1400000	38500	KNSTD	0	0	0	2007	35690	0	-	-	38261	2298	1062	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-16	Hall2009-D	JAH05-02	-10.234	-77.006	3980	3	2.7	0.9246758	1600000	62200	KNSTD	0	0	0	2007	39460	3700	-	-	42254	2799	1660	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-17	Hall2009-E	GAS-1	-10.271	-76.998	4569	2.5	2.7	0.9781392	552000	15800	KNSTD	0	0	0	2007	11590	1040	-	-	12813	772	368	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-18	Hall2009-E	GAS-2	-10.271	-76.998	4557	2	2.7	0.9713173	576000	16900	KNSTD	0	0	0	2007	12220	1090	-	-	13523	819	398	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-19	Hall2009-E	GAS-3	-10.271	-76.998	4556	2	2.7	0.9903609	558000	18600	07KNSTD	0	0	0	2007	12850	1170	-	-	14200	889	475	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-20	Hall2009-F	MIL-01	-10.339	-76.997	4297	3	2.7	0.9866628	961000	26700	KNSTD	0	0	0	2007	21730	1940	-	-	23226	1393	649	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-21	Hall2009-G	HUA-7	-10.375	-76.900	4541	1	2.7	0.4979898	201000	6050	07KNSTD	0	0	0	2007	9140	820	-	-	9960	607	301	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-22	Hall2009-G	HUA-8	-10.375	-76.900	4541	1	2.7	0.9904421	387000	10400	07KNSTD	0	0	0	2007	8770	780	-	-	9578	569	258	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-23	Hall2009-G	HUA-9	-10.375	-76.900	4541	2	2.7	0.9904421	390000	12500	07KNSTD	0	0	0	2007	8920	810	-	-	9754	604	313	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-24	Hall2009-G	HUA-10	-10.375	-76.900	4541	1	2.7	0.9904421	377000	12100	07KNSTD	0	0	0	2007	8510	770	-	-	9280	574	299	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-25	Hall2009-H	MIT-03	-10.215	-76.901	4384	2	2.7	0.9917938	10100	2250	KNSTD	0	0	0	2007	260	60	-	-	270	62	60	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-26	Hall2009-H	MIT-04	-10.215	-76.901	4390	2	2.7	0.9917938	10400	1450	KNSTD	0	0	0	2007	260	60	-	-	278	41	39	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-27	Hall2009-I	MIT-09	-10.180	-76.887	4247	1	2.7	0.9826719	431000	11500	07KNSTD	0	0	0	2007	11620	1030	-	-	12750	756	341	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-28	Hall2009-J	MIT-12	-10.166	-76.866	4132	2	2.7	0.9943181	482000	17100	KNSTD	0	0	0	2007	12110	1110	-	-	13628	869	485	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-29	Hall2009-J	MIT-13	-10.166	-76.866	4103	2	2.7	0.9943181	443000	14600	KNSTD	0	0	0	2007	11250	1020	-	-	12676	791	419	-	-	-	-
Hall et al. (2009)	bedrock	Hall2009-30	Hall2009-J	MIT-14	-10.166	-76.866	4103	2	2.7	0.9943181	460000	15300	KNSTD	0	0	0	2007	11690	1060	-	-	13187	825	440	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-31	Hall2009-K	QUER-09	-10.175	-76.799	3829	2.5	2.7	0.9808626	399000	11400	KNSTD	0	0	0	2007	11760	1050	-	-	13406	807	384	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-32	Hall2009-L	CAR-24	-10.239	-76.859	4194	2	2.7	0.9360950	298000	9210	KNSTD	0	0	0	2007	7540	680	-	-	8238	505	255	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-33	Hall2009-L	CAR-25	-10.239	-76.859	4189	2	2.7	0.9360950	365000	11000	KNSTD	0	0	0	2007	9420	850	-	-	10498	640	317	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-34	Hall2009-M	CAR-28	-10.241	-76.860	4183	2	2.7	0.9750239	376000	13200	KNSTD	0	0	0	2007	9350	860	-	-	10401	661	366	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-35	Hall2009-M	CAR-29	-10.241	-76.860	4196	2	2.7	0.9716599	353000	11400	KNSTD	0	0	0	2007	8690	790	-	-	9626	597	312	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-36	Hall2009-M	CAR-30	-10.241	-76.860	4194	2	2.7	0.9834727	356000	12200	KNSTD	0	0	0	2007	8660	790	-	-	9595	605	330	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-37	Hall2009-N	CAR-09	-10.211	-76.827	4098	2	2.7	0.9328292	495000	17000	KNSTD	0	0	0	2007	13500	1230	-	-	15058	952	519	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-38	Hall2009-N	CAR-10	-10.211	-76.827	4090	2	2.7	0.9417116	500000	16800	KNSTD	0	0	0	2007	13460	1230	-	-	15119	949	510	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-39	Hall2009-N	CAR-12	-10.211	-76.827	4082	2	2.7	0.9490550	540000	18300	KNSTD	0	0	0	2007	14500	1320	-	-	16195	1020	551	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-40	Hall2009-N	CAR-13	-10.211	-76.827	4088	2	2.7	0.9676026	534000	16200	KNSTD	0	0	0	2007	14060	1260	-	-	15674	958	477	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-41	Hall2009-O	CAR-06	-10.203	-76.827	4095	2	2.7	0.9410253	477000	17300	KNSTD	0	0	0	2007	12880	1190	-	-	14476	930	527	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-42	Hall2009-O	CAR-07	-10.203	-76.827	4091	2	2.7	0.8742859	491000	14900	KNSTD	0	0	0	2007	14250	1280	-	-	15918	973	485	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-43	Hall2009-O	CAR-08	-10.203	-76.827	4090	2	2.7	0.9431991	748000	21800	KNSTD	0	0	0	2007	19530	1750	-	-	21215	1286	622	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-44	Hall2009-P	CAR-14	-10.201	-76.823	4061	2	2.7	0.9561940	521000	21300	KNSTD	0	0	0	2007	14050	1320	-	-	15690	1051	644	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-45	Hall2009-P	CAR-15	-10.201	-76.823	4075	3	2.7	0.9554563	484000	12100	KNSTD	0	0	0	2007	13100	1160	-	-	14698	861	369	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-46	Hall2009-Q	CAR-36	-10.204	-76.851	4512	2	2.7	0.9920518	445000	13800	KNSTD	0	0	0	2007	9370	840	-	-	10296	632	320	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-47	Hall2009-Q	CAR-37	-10.204	-76.851	4510	2	2.7	0.9907810	500000	16700	KNSTD	0	0	0	2007	10580	960	-	-	11749	736	394	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-48	Hall2009-Q	CAR-38	-10.204	-76.851	4513	2	2.7	0.9920518	409000	14000	KNSTD	0	0	0	2007	8530	780	-	-	9309	587	319	-	-	-	-
Hall et al. (2009)	boulder	Hall2009-49	Hall2009-R	CAR-01	-10.216	-76.835	4130	5	2.7	0.9823927	442000	20900	KNSTD	0	0	0	2007	-	-	-	-	12911	918	612	-	-	-	-
