Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Hedrick et al. (2011)	boulder	Hedr2011-1	Hedr2011-A	India-45	33.226	78.166	5266	3	2.75	1	44500	3000	07KNSTD	0	0	0	2009	460	50	-	-	722	62	49	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-2	Hedr2011-A	India-46	33.226	78.167	5263	3	2.75	1	18200	2100	07KNSTD	0	0	0	2009	190	30	-	-	300	38	35	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-3	Hedr2011-A	India-47	33.226	78.167	5257	3	2.75	1	117400	4700	07KNSTD	0	0	0	2009	1220	120	-	-	1600	106	64	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-4	Hedr2011-A	India-48	33.226	78.167	5267	2	2.75	1	102200	4800	07KNSTD	0	0	0	2009	1050	100	-	-	1397	99	66	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-5	Hedr2011-A	India-49	33.226	78.167	5260	4	2.75	1	24000	3100	07KNSTD	0	0	0	2009	250	40	-	-	400	56	52	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-6	Hedr2011-A	India-50	33.226	78.167	5265	3	2.75	1	25500	3400	07KNSTD	0	0	0	2009	260	40	-	-	421	60	56	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-7	Hedr2011-B	India-10	33.245	78.200	4910	3	2.75	1	625400	32100	07KNSTD	0	0	0	2009	7590	770	-	-	9062	669	466	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-8	Hedr2011-B	India-11	33.245	78.201	4905	3	2.75	1	429400	29600	07KNSTD	0	0	0	2009	5220	580	-	-	6231	542	430	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-9	Hedr2011-B	India-12	33.245	78.201	4904	2	2.75	1	208400	19700	07KNSTD	0	0	0	2009	2510	320	-	-	3098	336	293	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-10	Hedr2011-B	India-13	33.245	78.201	4899	2	2.75	1	3075000	75500	07KNSTD	0	0	0	2009	37460	3410	-	-	35946	2111	891	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-11	Hedr2011-B	India-14	33.244	78.202	4886	2	2.75	1	54500	12200	07KNSTD	0	0	0	2009	660	160	-	-	985	227	220	-	-	-	-
Hedrick et al. (2011)	boulder	Hedr2011-12	Hedr2011-B	India-56	33.244	78.198	4924	3	2.75	1	290400	7500	07KNSTD	0	0	0	2009	3500	320	-	-	4362	257	113	-	-	-	-
