Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Hein et al. (2011b)	cobble	Hein2011b-1	Hein2011b-A	CF_118_08	-80.32545	-28.83897	825	4	2.65	0.9992	8374000	189000	NIST_27900	44250000	1490000	Z92-0222	2008	876400	131000	798100	156000	951383	72885	27492	815123	92235	42077	Hein et al. (2014)
Hein et al. (2011b)	bedrock	Hein2011b-2	Hein2011b-A	CF_119_08	-80.32545	-28.83897	825	5	2.65	0.9992	12500000	273000	NIST_27900	55050000	2810000	Z92-0222	2008	1526000	273000	1165000	279000	1687427	157804	57861	1196979	189848	116495	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-3	Hein2011b-A	CF_120_08	-80.32436	-28.85522	808	4	2.65	0.9992	6014000	134000	NIST_27900	27610000	1400000	Z92-0222	2008	598900	83400	429500	68400	646580	45588	17007	437275	45331	27701	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-4	Hein2011b-A	CF_117_08	-80.32098	-28.89879	748	3	2.65	0.9992	5418000	121000	NIST_27900	25110000	1400000	Z92-0222	2008	559900	77200	404400	64500	605244	42226	15784	412253	43794	28341	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-5	Hein2011b-A	CF_115_08	-80.31669	-28.92190	711	4	2.65	0.9992	4000000	88200	NIST_27900	20690000	700000	Z92-0222	2008	416400	55300	336800	51300	449761	30078	11120	343664	30207	13832	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-6	Hein2011b-B	CF_70_08	-80.29640	-28.91589	605	5	2.65	0.9954	1488000	43200	NIST_27900	8068000	423000	Z92-0222	2008	162600	20500	133100	18300	175327	11463	5320	135932	12222	7625	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-7	Hein2011b-B	CF_72_08	-80.29640	-28.91589	605	4.5	2.65	0.9954	1896000	44800	NIST_27900	11540000	443000	Z92-0222	2008	208600	26300	195300	28000	225222	14361	5633	199634	16781	8467	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-8	Hein2011b-B	CF_66_08	-80.29664	-28.91595	604	5	2.65	0.9919	1376000	33300	NIST_27900	7761000	279000	Z92-0222	2008	150500	18700	128300	17700	162332	10225	4092	131034	10471	5027	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-9	Hein2011b-B	CF_64_08	-80.29652	-28.91656	598	5	2.65	0.9919	1976000	44000	NIST_27900	12030000	476000	Z92-0222	2008	221200	27900	207700	30000	238975	15159	5652	212437	18115	9348	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-10	Hein2011b-B	CF_78_08	-80.29568	-28.90825	568	4	2.65	0.9954	4984000	110000	NIST_27900	26520000	888000	Z92-0222	2008	625400	87700	543400	92300	682152	48485	17940	558648	54884	24927	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-11	Hein2011b-B	CF_77_08	-80.29567	-28.90827	564	5	2.65	0.9954	1340000	34000	NIST_27900	7657000	40000	Z92-0222	2008	151700	18900	131100	18000	163808	10404	4331	134046	9441	748	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-12	Hein2011b-C	CF_90_08	-80.29042	-28.84511	495	3.5	2.65	0.9990	2825000	59800	NIST_27900	14300000	730000	Z92-0222	2008	352800	46000	275100	40500	383494	25075	8948	282518	27090	16624	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-13	Hein2011b-C	CF_91_08	-80.29042	-28.84511	495	5	2.65	0.9990	2677000	83000	NIST_27900	12900000	676000	Z92-0222	2008	337100	44600	248100	36100	366585	25547	12474	254793	24329	15173	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-14	Hein2011b-C	CF_95_08	-80.28870	-28.82594	448	3.5	2.65	0.9989	2594000	58200	NIST_27900	13750000	720000	Z92-0222	2008	337500	43900	277000	40900	367338	24106	9047	284627	27589	17198	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-15	Hein2011b-D	CF_36_08	-80.29020	-28.67029	576	3	2.65	0.9919	5669000	121000	NIST_27900	34080000	1740000	Z92-0222	2008	718300	103000	758300	144000	784962	57080	20516	781865	97892	60078	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-16	Hein2011b-D	CF_37_08	-80.29020	-28.67029	576	4	2.65	0.9919	7461000	216000	NIST_27900	35530000	1850000	Z92-0222	2008	1023000	161000	817500	161000	1127450	94670	43836	844382	110283	68509	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-17	Hein2011b-D	CF_39_08	-80.28596	-28.68580	508	3.5	2.65	0.9919	9820000	217000	NIST_27900	37910000	1950000	Z92-0222	2008	1637000	303000	997900	217000	1849077	181398	67190	1038266	150636	92876	Hein et al. (2014)
