Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Hillebrand et al. (2021)	cobble/boulder	Hill2021-1	Joy2014-A	13-HAT-059-DV	-79.99374	155.53179	1285.3	7	2.5	0.99262	91393	2339	07KNSTD	0	0	0	2013	5689	473	-	-	5475	366	140	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-2	Joy2014-A	13-HAT-060-DV	-79.99383	155.53026	1309	3.5	2.5	0.98944	89151	4380	07KNSTD	0	0	0	2013	5316	495	-	-	5104	403	251	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-3	Joy2014-A	13-HAT-061-DV	-79.99464	155.52677	1298.7	5	2.5	0.99166	94083	2105	07KNSTD	0	0	0	2013	5710	470	-	-	5485	360	123	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-4	Joy2014-A	13-HAT-063-DV	-79.99105	155.53415	1310.9	4.5	2.5	0.99044	95583	2274	07KNSTD	0	0	0	2013	5729	473	-	-	5496	363	131	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-5	Joy2014-A	13-HAT-067-DV	-79.99795	155.51309	1418.4	6.25	2.5	0.99674	143977	3527	07KNSTD	1125976	41312	KNSTD	2013	7972	661	8924	989	7522	499	185	8541	743	315	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-6	Joy2014-A	13-HAT-068-DV	-79.99867	155.51435	1405.2	3	2.5	0.99709	159074	5090	07KNSTD	1219813	45194	KNSTD	2013	8681	742	9530	1057	8168	568	262	9138	796	340	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-7	Joy2014-A	13-HAT-069-DV	-79.99942	155.51624	1388.5	6	2.5	0.99668	146775	3146	07KNSTD	1051118	42479	KNSTD	2013	8309	682	8516	954	7844	512	168	8164	723	331	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-8	Joy2014-A	13-HAT-081-BV	-79.97580	155.45995	1358.2	5	2.5	0.99900	115517	2473	07KNSTD	0	0	0	2013	6633	544	-	-	6332	413	136	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-9	Joy2014-A	13-HAT-082-BV	-79.97585	155.45925	1359.1	7	2.5	0.99900	113214	2845	07KNSTD	0	0	0	2013	6595	548	-	-	6301	420	159	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-10	Joy2014-A	13-HAT-083-BV	-79.97585	155.45963	1359.1	4	2.5	0.99654	117196	2513	07KNSTD	0	0	0	2013	6689	548	-	-	6383	417	137	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-11	Joy2014-A	13-HAT-099-BV	-79.97617	155.44690	1364.4	4	2.5	0.99550	123789	2448	07KNSTD	0	0	0	2013	7043	575	-	-	6715	435	133	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-12	Joy2014-A	13-HAT-100-BV	-79.97563	155.48090	1321.4	3	2.5	0.99719	100125	2184	07KNSTD	0	0	0	2013	5842	480	-	-	5596	366	122	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-13	Joy2014-A	13-HAT-102-BV	-79.97355	155.48655	1317.5	3.9	2.5	0.99823	95580	2242	07KNSTD	0	0	0	2013	5628	464	-	-	5398	356	127	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-14	Joy2014-A	13-HAT-106-BV	-79.97134	155.50521	1236.7	3.5	2.5	0.99830	63194	2113	07KNSTD	0	0	0	2013	3962	340	-	-	3780	265	127	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-15	Joy2014-A	13-HAT-111-BV	-79.96812	155.51457	1212.8	2	2.5	0.99883	53318	1544	07KNSTD	0	0	0	2013	3368	284	-	-	3191	217	92	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-16	Joy2014-A	13-HAT-118-DAN	-79.98709	155.52618	1487.7	5	2.5	0.99877	165599	4635	07KNSTD	1282494	58699	KNSTD	2013	8579	721	9512	1086	8019	544	225	9068	827	417	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-17	Joy2014-A	13-HAT-119-DAN	-79.98717	155.52629	1485.1	5	2.5	0.99764	164268	3435	07KNSTD	1162130	40205	KNSTD	2013	8537	699	8643	951	7983	520	167	8218	707	285	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-18	Joy2014-A	13-HAT-120-DAN	-79.98652	155.52658	1497.2	5	2.5	0.99938	169256	4990	07KNSTD	1090830	41316	KNSTD	2013	8698	735	8020	891	8122	556	240	7631	667	290	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-19	Joy2014-A	13-HAT-121-DAN	-79.98600	155.52882	1487.1	2.5	2.5	0.99947	141888	3971	07KNSTD	0	0	0	2013	7207	605	-	-	6789	460	190	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-20	Joy2014-A	13-HAT-125-DAN	-79.98512	155.53307	1433.5	2.75	2.5	0.98994	121088	2568	07KNSTD	0	0	0	2013	6490	532	-	-	6150	401	131	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-21	Joy2014-A	13-HAT-127-DAN	-79.98400	155.53654	1402.3	4	2.5	0.99886	113951	3038	07KNSTD	0	0	0	2013	6266	523	-	-	5958	400	159	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-22	Joy2014-A	13-HAT-128-DAN	-79.98273	155.53733	1366.3	5	2.5	0.99722	98545	2249	07KNSTD	0	0	0	2013	5630	464	-	-	5380	354	123	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-23	Joy2014-A	13-HAT-129-DAN	-79.98178	155.54128	1347.2	6.5	2.5	0.99827	104214	3335	07KNSTD	0	0	0	2013	6111	522	-	-	5844	406	187	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-24	Joy2014-A	13-HAT-130-DAN	-79.97989	155.54394	1324.8	6.5	2.5	0.99813	91788	5320	07KNSTD	0	0	0	2013	5481	538	-	-	5263	446	305	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-25	Joy2014-A	13-HAT-132-DAN	-79.97692	155.52992	1311.6	5	2.5	0.99778	90684	2427	07KNSTD	0	0	0	2013	5413	452	-	-	5200	350	139	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-26	Joy2014-A	13-HAT-133-BV	-79.96676	155.53136	1187.6	7	2.5	0.99856	1157405	17306	07KNSTD	0	0	0	2013	79085	6486	-	-	76496	4941	1166	-	-	-	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-27	Hill2021-A	13-HAT-071-DV	-80.00268	155.50844	1468.2	3	2.5	0.99831	2539270	38586	07KNSTD	17213276	346436	KNSTD	2013	135847	11308	135835	15394	127956	8381	2008	129987	11226	2791	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-28	Hill2021-A	13-HAT-073-DV	-80.00271	155.50991	1469.3	3	2.5	0.99770	2442148	35820	07KNSTD	16858694	325262	KNSTD	2013	130442	10830	132808	15006	122861	8021	1859	127086	10932	2612	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-29	Hill2021-A	13-HAT-074-DV	-80.00293	155.51120	1465.6	7	2.5	0.99749	2608541	44037	07KNSTD	17270285	319593	KNSTD	2013	144613	12115	141277	16010	136455	9016	2384	135458	11674	2681	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-30	Hill2021-A	13-HAT-077-DV	-80.00269	155.51267	1466.2	4	2.5	0.99887	3023699	45143	07KNSTD	16647085	310528	KNSTD	2013	164323	13769	132282	14926	154817	10199	2403	126681	10874	2516	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-31	Hill2021-A	13-HAT-079-DV	-80.00256	155.51465	1463.3	4	2.5	0.99774	2391098	39205	07KNSTD	17687278	345894	KNSTD	2013	129267	10774	141667	16086	121878	8008	2060	135677	11730	2838	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-32	Hill2021-A	13-HAT-080-BV	-80.00230	155.51686	1460.5	3	2.5	0.99802	2261593	36688	07KNSTD	16926227	321640	KNSTD	2013	121328	10088	134323	15181	114384	7496	1910	128631	11064	2606	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-33	Hill2021-B	13-HAT-086-BV	-79.97885	155.40348	1421	3.5	2.5	0.98988	2248154	33357	07KNSTD	16529119	319076	KNSTD	2013	126119	10464	137184	15535	119399	7793	1825	131892	11373	2718	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-34	Hill2021-B	13-HAT-087-BV	-79.97885	155.40348	1419	3.5	2.5	0.98794	2304259	33309	07KNSTD	16523269	315183	KNSTD	2013	129841	10773	137647	15585	122945	8020	1833	132367	11409	2697	-
Hillebrand et al. (2021)	cobble/boulder	Hill2021-35	Hill2021-B	13-HAT-088-BV	-79.97908	155.40314	1419.2	5	2.5	0.99071	3161338	51326	07KNSTD	16467317	311265	KNSTD	2013	181993	15366	138407	15672	172318	11460	2922	133182	11478	2690	-
