Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Jomelli et al. (2011)	boulder	Jome2011-1	Jome2011-A	36-2	-16.2601	-68.1132	4529	4	2.5	0.9862	487198	42271	NIST_27900	0	0	0	2009	10879	944	-	-	12135	1304	1056	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-2	Jome2011-A	43-1	-16.2610	-68.1123	4609	3.8	2.5	0.9800	501891	43006	NIST_27900	0	0	0	2009	10844	929	-	-	12093	1289	1039	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-3	Jome2011-A	46-b	-16.2580	-68.1136	4434	3	2.5	0.9610	348747	19957	NIST_27900	0	0	0	2009	8283	474	-	-	8889	757	510	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-4	Jome2011-B	M1E3	-16.2611	-68.1123	4698	3	2.5	0.9941	336480	33650	NIST_27900	0	0	0	2009	6847	685	-	-	7109	841	712	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-5	Jome2011-C	M2E1	-16.2606	-68.1121	4581	3.6	2.5	0.9724	332107	18473	NIST_27900	0	0	0	2009	7190	400	-	-	7660	644	427	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-6	Jome2011-C	43-2	-16.2586	-68.1136	4475	4.2	2.5	0.9800	474372	19144	NIST_27900	0	0	0	2009	10911	440	-	-	12220	915	495	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-7	Jome2011-D	40(a)	-16.2597	-68.1118	4536	3.3	2.5	0.9768	446125	27230	NIST_27900	0	0	0	2009	9948	607	-	-	11067	972	677	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-8	Jome2011-D	42(a)	-16.2605	-68.1119	4580	3.7	2.5	0.9765	423171	14248	NIST_27900	0	0	0	2009	9284	313	-	-	10188	728	344	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-9	Jome2011-E	36-4	-16.2574	-68.1098	4605	4.1	2.5	0.9821	393905	42772	NIST_27900	0	0	0	2009	8522	925	-	-	9166	1153	998	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-10	Jome2011-E	20B	-16.2605	-68.1118	4575	4.2	2.5	0.9867	384505	48330	NIST_27900	0	0	0	2009	8395	1055	-	-	9011	1269	1135	-	-	-	-
