Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Kaplan et al. (2016)	boulder	Kapl2016-1	Stre2014-D	PE-07-10	-50.0271	-73.1975	216	1.834	2.65	0.996	6769	352	07KNSTD	0	0	0	2007	1390	70	-	-	1326	101	69	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-2	Stre2014-D	PE-07-11	-50.0271	-73.1977	219	1.418	2.65	1	7688	355	07KNSTD	0	0	0	2007	1560	70	-	-	1483	107	68	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-3	Stre2014-D	PE-07-12	-50.0285	-73.1903	185	4.12	2.65	0.999	6403	175	07KNSTD	0	0	0	2007	1370	40	-	-	1313	81	36	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-4	Stre2014-D	PE-07-14	-50.0292	-73.2026	226	0.832	2.65	1	7540	509	07KNSTD	0	0	0	2007	1510	100	-	-	1439	126	97	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-5	Stre2014-C	PE-10-38	-50.0307	-73.2130	228	1.4	2.65	0.990	10513	332	07KNSTD	0	0	0	2010	2130	70	-	-	2041	130	64	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-6	Stre2014-B	PE-06-05	-50.0312	-73.2072	219.99	2.82	2.65	0.990	23297	554	07KNSTD	0	0	0	2006	4760	110	-	-	4667	281	111	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-7	Stre2014-B	PE-10-37	-50.0318	-73.2168	241	0.76	2.65	0.990	22827	780	07KNSTD	0	0	0	2010	4510	150	-	-	4407	287	151	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-8	Stre2014-E	PE-07-16	-50.0061	-73.1962	199	7.29	2.65	0.999	1924	107	07KNSTD	0	0	0	2007	440	20	-	-	454	36	25	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-9	Stre2014-E	PE-07-17	-50.0146	-73.2054	197	1.36	2.65	0.999	2363	202	07KNSTD	0	0	0	2007	510	40	-	-	517	53	44	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-10	Stre2014-E	PE-07-18	-50.0134	-73.2022	193	2.581	2.65	0.999	1631	133	07KNSTD	0	0	0	2007	360	30	-	-	386	38	31	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-11	Stre2014-E	PE-09-58	-50.0063	-73.1968	208	2.8	2.65	0.996	2924	190	07KNSTD	0	0	0	2009	630	40	-	-	625	53	41	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-12	Stre2014-E	PE-09-61	-50.0143	-73.2097	223	1.18	2.65	1	1510	101	07KNSTD	0	0	0	2009	330	20	-	-	352	31	24	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-13	Stre2014-F	PE-07-23	-50.0155	-73.2252	280	1.505	2.65	1	1860	101	07KNSTD	0	0	0	2007	380	20	-	-	399	31	22	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-14	Stre2014-F	PE-09-53	-50.0157	-73.2227	260	1.37	2.65	0.999	3997	162	07KNSTD	0	0	0	2009	800	30	-	-	783	54	32	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-15	Stre2014-F	PE-09-57	-50.0161	-73.2240	264	1.74	2.65	0.999	1582	81	07KNSTD	0	0	0	2009	330	20	-	-	356	27	18	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-16	Stre2014-F	PE-09-62	-50.0134	-73.2132	208	1.28	2.65	0.996	1829	118	07KNSTD	0	0	0	2009	400	30	-	-	416	35	27	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-17	Kapl2016-A	PE-07-01	-50.0451	-73.2855	276	0.67	2.65	0.983	1269	132	07KNSTD	0	0	0	2007	270	30	-	-	294	35	31	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-18	Kapl2016-A	PE-07-02	-50.0480	-73.2826	253	1.56	2.65	0.978	958	80	07KNSTD	0	0	0	2007	210	20	-	-	239	24	20	-	-	-	-
