Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Kelley et al. (2014)	boulder	Kelle2014-1	Kelle2014-A	Kiwi-9106	-43.9712	170.2505	794	2	2.7	0.99999	134900	4210	07KNSTD	0	0	0	2006	17500	500	-	-	17248	1062	541	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-2	Kelle2014-A	Kiwi-984	-43.9736	170.2557	825	3.2	2.7	0.99998	142600	9740	07KNSTD	0	0	0	2006	18100	1200	-	-	17924	1554	1230	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-3	Kelle2014-A	Kiwi-9107	-43.9714	170.2508	796	2.1	2.7	0.99998	145900	4240	07KNSTD	0	0	0	2006	18900	600	-	-	18620	1127	544	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-4	Kelle2014-A	Kiwi-9103	-43.9767	170.2547	812	2.8	2.7	0.99999	158300	4510	07KNSTD	0	0	0	2006	20300	600	-	-	19980	1204	572	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-5	Kelle2014-A	Pl-07-04	-43.9696	170.2452	795	3.1	2.7	0.99998	160400	6440	07KNSTD	0	0	0	2007	20800	800	-	-	20572	1371	830	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-6	Kelle2014-B	Pl-08-19	-43.9993	170.2608	794	2.7	2.7	1	151500	3480	07KNSTD	0	0	0	2008	19700	500	-	-	19426	1123	448	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-7	Kelle2014-B	Pl-08-37	-43.9096	170.2264	950	3.8	2.7	0.99992	171100	3920	07KNSTD	0	0	0	2008	19700	500	-	-	19389	1121	446	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-8	Kelle2014-B	Pl-08-15	-43.9974	170.2678	790	1.6	2.7	1	155400	3670	07KNSTD	0	0	0	2008	20100	500	-	-	19790	1150	470	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-9	Kelle2014-B	Pl-08-36	-43.9096	170.2265	951	2.6	2.7	0.99999	177800	4410	07KNSTD	0	0	0	2008	20300	500	-	-	19896	1166	496	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-10	Kelle2014-B	Pl-08-21	-44.0286	170.259	777	3.2	2.7	1	154900	3550	07KNSTD	0	0	0	2008	20400	500	-	-	20194	1168	465	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-11	Kelle2014-B	Pl-08-18	-44.0077	170.2664	776	2.4	2.7	1	157400	2950	07KNSTD	0	0	0	2008	20700	400	-	-	20394	1148	384	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-12	Kelle2014-B	Pl-08-14	-43.995	170.2676	801	1.9	2.7	1	161400	3070	07KNSTD	0	0	0	2008	20700	400	-	-	20378	1149	390	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-13	Kelle2014-B	Pl-08-20	-44.0123	170.2614	769	1.8	2.7	1	158600	4330	07KNSTD	0	0	0	2008	20900	600	-	-	20559	1228	564	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-14	Kelle2014-B	Kiwi-992	-43.9559	170.253	857	4.6	2.7	1	184900	6310	KNSTD	0	0	0	2006	20900	700	-	-	20583	1300	706	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-15	Kelle2014-B	Pl-08-16	-44.0014	170.2657	781	2.1	2.7	1	160100	3930	07KNSTD	0	0	0	2008	20900	500	-	-	20592	1205	508	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-16	Kelle2014-B	Pl-08-13	-43.9949	170.2677	801	1.2	2.7	1	164800	3250	07KNSTD	0	0	0	2008	21000	400	-	-	20667	1170	410	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-17	Kelle2014-B	Kiwi-990x	-43.9665	170.2588	847	1.7	2.7	0.92991	165100	3100	07KNSTD	0	0	0	2006	21800	400	-	-	21459	1208	405	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-17	Kelle2014-B	Kiwi-990	-43.9665	170.2588	847	1.7	2.7	0.92991	166800	4430	07KNSTD	0	0	0	2006	22000	600	-	-	21673	1287	579	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-18	Kelle2014-B	Kiwi-981	-43.9867	170.2635	819	1.6	2.7	1	175100	5050	07KNSTD	0	0	0	2006	22000	600	-	-	21652	1309	628	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-19	Kelle2014-B	Pl-08-17	-44.0028	170.2666	785	1	2.7	1	186100	3880	07KNSTD	0	0	0	2008	23900	500	-	-	23543	1344	494	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-20	Kelle2014-C	Pl-08-05	-43.963	170.2641	838	2.5	2.7	0.99999	194800	3650	07KNSTD	0	0	0	2008	24300	500	-	-	23849	1343	450	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-21	Kelle2014-C	Kiwi-986	-43.9572	170.2571	861	3	2.7	0.99997	203800	5060	07KNSTD	0	0	0	2006	25000	600	-	-	24548	1440	613	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-22	Kelle2014-C	Pl-08-02	-43.9721	170.2671	809	2.2	2.7	0.99998	198700	4550	07KNSTD	0	0	0	2008	25200	600	-	-	24854	1438	573	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-23	Kelle2014-C	Pl-08-01	-43.9744	170.268	806	1.6	2.7	0.99999	201400	7740	07KNSTD	0	0	0	2008	25500	1000	-	-	25117	1650	971	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-24	Kelle2014-C	Kiwi-985	-43.9573	170.2568	864	1.4	2.7	0.99997	217500	6820	07KNSTD	0	0	0	2006	26200	800	-	-	25736	1590	812	-	-	-	-
