Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Li et al. (2014)	boulder	Li2014-1	Li2014-A	AR-10-001	43.002	86.91	3660	2	2.7	0.9767	10050000	245000	07KNSTD	0	0	0	2010	191800	10900	-	-	171633	10416	4369	-	-	-	-
Li et al. (2014)	boulder	Li2014-2	Li2014-A	AR-10-002	43.002	86.909	3662	4	2.7	0.9769	1473000	77000	07KNSTD	0	0	0	2010	28600	2100	-	-	26029	1946	1370	-	-	-	-
Li et al. (2014)	boulder	Li2014-3	Li2014-A	AR-10-003	43.002	86.91	3659	3	2.7	0.9799	216000	10000	07KNSTD	0	0	0	2010	4400	300	-	-	4154	292	193	-	-	-	-
Li et al. (2014)	boulder	Li2014-4	Li2014-A	AR-10-004	43.002	86.91	3651	5	2.7	0.9784	860000	14000	07KNSTD	0	0	0	2010	17300	900	-	-	16113	893	263	-	-	-	-
Li et al. (2014)	boulder	Li2014-5	Li2014-A	AR-10-005	43.002	86.91	3658	4	2.7	0.9799	1750000	37000	07KNSTD	0	0	0	2010	33600	1800	-	-	30521	1748	650	-	-	-	-
Li et al. (2014)	pebbles	Li2014-6	Li2014-B	AR-10-021	43.028	86.923	3618	1.5	2.7	0.9477	1323000	38000	07KNSTD	0	0	0	2010	26700	1500	-	-	24374	1473	704	-	-	-	-
Li et al. (2014)	boulder	Li2014-7	Li2014-B	AR-10-022	43.028	86.923	3617	3	2.7	0.9477	1532000	38000	07KNSTD	0	0	0	2010	31000	1700	-	-	28235	1658	705	-	-	-	-
Li et al. (2014)	boulder	Li2014-8	Li2014-B	AR-10-023	43.027	86.923	3616	3	2.7	0.9477	1037000	50000	07KNSTD	0	0	0	2010	21400	1500	-	-	19778	1421	958	-	-	-	-
Li et al. (2014)	boulder	Li2014-9	Li2014-B	AR-10-024	43.027	86.923	3613	3	2.7	0.9485	675000	21000	07KNSTD	0	0	0	2010	14200	800	-	-	13309	818	415	-	-	-	-
Li et al. (2014)	boulder	Li2014-10	Li2014-C	AR-10-007	42.999	86.917	3522	5	2.7	0.9735	1168000	51000	07KNSTD	0	0	0	2010	25000	1600	-	-	23008	1585	1010	-	-	-	-
