Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Marcott et al. (2019)	boulder	Marc2019-1	Marc2019-A	LL-MB-01	41.3398	-106.3236	3251	2	2.7	0.97834	684059	14527	07KNSTD	0	0	0	2008	15551	675	-	-	16374	976	349	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-2	Marc2019-A	LL-MB-03	41.3400	-106.32336	3253	2	2.7	0.97825	647727	16630	07KNSTD	0	0	0	2008	14803	677	-	-	15514	951	400	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-3	Marc2019-A	LL-MB-04	41.3400	-106.32336	3253	2	2.7	0.97863	637539	17496	07KNSTD	0	0	0	2008	14580	682	-	-	15277	948	421	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-4	Marc2019-A	LL-MB-06	41.3411	-106.32203	3260	2	2.7	0.98884	623991	26440	07KNSTD	0	0	0	2008	14088	802	-	-	14767	1034	628	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-5	Marc2019-A	LL-MB-07a	41.3412	-106.32188	3260	2	2.7	0.98849	658334	27803	07KNSTD	0	0	0	2008	14821	842	-	-	15534	1087	659	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-5	Marc2019-A	LL-MB-07b	41.3412	-106.32188	3260	2	2.7	0.98849	622505	14207	07KNSTD	0	0	0	2008	14070	637	-	-	14738	887	338	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-5	Marc2019-A	LL-MB-07c	41.3412	-106.32188	3260	2	2.7	0.98849	643603	17369	07KNSTD	0	0	0	2008	14509	675	-	-	15205	941	412	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-6	Marc2019-A	LL-MB-08	41.34195	-106.3217	3253	2	2.7	0.98573	651439	20755	07KNSTD	0	0	0	2008	14779	732	-	-	15485	994	495	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-7	Marc2019-B	DPI-MB-01a	41.3406	-106.32575	3267	2	2.7	0.96714	498360	17280	07KNSTD	0	0	0	2008	11030	566	-	-	12064	791	420	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-7	Marc2019-B	DPI-MB-01b	41.3406	-106.32575	3267	2	2.7	0.96714	447676	10016	07KNSTD	0	0	0	2008	9960	438	-	-	10819	648	243	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-7	Marc2019-B	DPI-MB-01c	41.3406	-106.32575	3267	2	2.7	0.96714	462433	12328	07KNSTD	0	0	0	2008	10294	476	-	-	11192	690	299	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-7	Marc2019-B	DPI-MB-01d	41.3406	-106.32575	3267	2	2.7	0.96714	429668	16750	07KNSTD	0	0	0	2008	9510	517	-	-	10356	703	405	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-7	Marc2019-B	DPI-MB-01e	41.3406	-106.32575	3267	2	2.7	0.96714	416145	16285	07KNSTD	0	0	0	2008	9197	501	-	-	10015	681	393	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-7	Marc2019-B	DPI-MB-01f	41.3406	-106.32575	3267	2	2.7	0.96714	513933	13030	07KNSTD	0	0	0	2008	11351	543	-	-	12432	760	316	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-7	Marc2019-B	DPI-MB-01g	41.3406	-106.32575	3267	2	2.7	0.96714	452853	12527	07KNSTD	0	0	0	2008	10071	472	-	-	10957	680	304	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-8	Marc2019-B	DPI-MB-03	41.3400	-106.3258	3276	2	2.7	0.95802	485343	14812	07KNSTD	0	0	0	2008	10801	525	-	-	11800	749	361	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-9	Marc2019-B	DPI-MB-04	41.3400	-106.3258	3276	2	2.7	0.95620	483319	20577	07KNSTD	0	0	0	2008	10778	614	-	-	11774	825	503	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-10	Marc2019-B	DPI-MB-05	41.3400	-106.3258	3276	2	2.7	0.95531	455460	19964	07KNSTD	0	0	0	2008	10200	591	-	-	11097	786	488	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-11	Marc2019-B	DPI-MB-08	41.33935	-106.32565	3265	2	2.7	0.96740	695393	28355	07KNSTD	0	0	0	2008	15830	882	-	-	16674	1152	683	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-12	Marc2019-C	DP0-MB-01	41.3406	-106.32448	3261	2	2.7	0.97900	485543	21167	07KNSTD	0	0	0	2008	10683	617	-	-	11664	825	510	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-13	Marc2019-C	DP0-MB-02	41.3403	-106.32442	3272	2	2.7	0.97991	508718	16718	07KNSTD	0	0	0	2008	11068	555	-	-	12115	783	399	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-14	Marc2019-C	DP0-MB-03	41.3403	-106.32442	3272	2	2.7	0.97984	539801	16566	07KNSTD	0	0	0	2008	11825	576	-	-	12844	816	395	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-15	Marc2019-C	DP0-MB-04	41.3402	-106.3246	3270	2	2.7	0.97842	547225	17615	07KNSTD	0	0	0	2008	12112	602	-	-	13057	840	422	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-16	Marc2019-C	DP0-MB-05	41.3402	-106.3246	3270	2	2.7	0.97991	530260	20302	07KNSTD	0	0	0	2008	11574	623	-	-	12633	854	485	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-17	Marc2019-C	DP0-MB-06	41.34005	-106.32466	3277	2	2.7	0.98332	532940	18347	07KNSTD	0	0	0	2008	11534	590	-	-	12598	824	435	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-18	Marc2019-D	SBO-SFF-01	35.8329	-105.7513	3590	2	2.65	0.97419	680610	28480	07KNSTD	0	0	0	2008	15491	876	-	-	16575	1156	696	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-19	Marc2019-D	SBO-SFF-02	35.8329	-105.7513	3590	2	2.65	0.97419	639434	21203	07KNSTD	0	0	0	2008	14694	740	-	-	15601	1011	519	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-20	Marc2019-D	SBO-SFF-03	35.8329	-105.7513	3590	2	2.65	0.97419	667257	27017	07KNSTD	0	0	0	2008	15210	844	-	-	16260	1121	661	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-21	Marc2019-D	SBO-SFF-04	35.8335	-105.7511	3590	2	2.65	0.97419	666380	19419	07KNSTD	0	0	0	2008	15191	726	-	-	16239	1021	475	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-22	Marc2019-D	SBO-SFF-05	35.8335	-105.7511	3590	2	2.65	0.97419	661178	19812	07KNSTD	0	0	0	2008	15094	729	-	-	16114	1019	485	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-23	Marc2019-D	SBO-SFF-06	35.8340	-105.7505	3590	2	2.65	0.97419	656195	12230	07KNSTD	0	0	0	2008	15004	633	-	-	15994	939	299	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-24	Marc2019-D	SBO-SFF-07	35.8340	-105.7505	3590	2	2.65	0.97419	637853	11635	07KNSTD	0	0	0	2008	14656	616	-	-	15564	912	285	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-25	Marc2019-E	BLI-WP-01	39.0013	-114.3037	3190	2	2.7	0.98304	442568	17916	07KNSTD	0	0	0	2008	11098	615	-	-	12277	845	499	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-26	Marc2019-E	BLI-WP-02	39.0013	-114.3037	3190	2	2.7	0.98400	529114	17981	07KNSTD	0	0	0	2008	13769	701	-	-	14600	953	498	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-27	Marc2019-E	BLI-WP-04	39.0013	-114.3037	3190	2	2.7	0.98428	515519	10698	07KNSTD	0	0	0	2008	13388	578	-	-	14246	846	297	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-28	Marc2019-E	BLI-WP-05	39.0014	-114.3036	3180	2	2.7	0.98466	492192	13136	07KNSTD	0	0	0	2008	12824	594	-	-	13706	846	367	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-29	Marc2019-E	BLI-WP-08	39.0014	-114.3036	3180	2	2.7	0.98429	440222	12714	07KNSTD	0	0	0	2008	11095	528	-	-	12273	769	356	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-30	Marc2019-E	BLI-WP-09	39.0014	-114.3036	3180	2	2.7	0.98482	480797	12709	07KNSTD	0	0	0	2008	12388	572	-	-	13393	825	355	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-31	Marc2019-F	SBI-01	35.8356	-105.7515	3605	2	2.65	0.96278	664704	9073	07KNSTD	0	0	0	2008	15196	611	-	-	16245	931	223	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-32	Marc2019-F	SBI-02	35.8356	-105.7515	3605	2	2.65	0.96278	693344	9113	07KNSTD	0	0	0	2008	15812	633	-	-	16915	967	223	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-33	Marc2019-F	SBI-03	35.8356	-105.7515	3605	2	2.65	0.96278	623066	12138	07KNSTD	0	0	0	2008	14368	612	-	-	15269	900	299	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-34	Marc2019-F	SBI-04	35.8356	-105.7515	3605	2	2.65	0.96278	170470	4038	07KNSTD	0	0	0	2008	4546	203	-	-	4643	280	110	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-35	Marc2019-F	SBI-06	35.8353	-105.7512	3598	2	2.65	0.96249	792584	11884	07KNSTD	0	0	0	2008	18005	733	-	-	19164	1105	289	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-36	Marc2019-F	SBI-07	35.8352	-105.7508	3598	2	2.65	0.96278	724144	15335	07KNSTD	0	0	0	2008	16535	718	-	-	17683	1054	376	-	-	-	-
Marcott et al. (2019)	boulder	Marc2019-37	Marc2019-G	BL-01	40.7057	-110.8111	3351	2	2.7	0.99435	651401	9642	07KNSTD	0	0	0	2008	14258	579	-	-	14966	862	222	-	-	-	-
