Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Menounos et al. (2017)	boulder	Meno2017-1	Meno2017-A	GL11-01	58.36448	-128.29568	1750	1.73	2.7	0.9910	223746	7094	07KNSTD	0	0	0	2011	11701	347	-	-	11354	726	361	-	-	-	-
Menounos et al. (2017)	boulder	Meno2017-2	Meno2017-A	GL11-02	58.36454	-128.29669	1750	3.79	2.7	0.9139	238673	8994	07KNSTD	0	0	0	2011	13766	485	-	-	13389	899	506	-	-	-	-
Menounos et al. (2017)	boulder	Meno2017-3	Meno2017-A	GL11-03	58.36519	-128.29807	1765	2.19	2.7	0.9875	292499	10491	07KNSTD	0	0	0	2011	15251	512	-	-	14799	979	533	-	-	-	-
Menounos et al. (2017)	boulder	Meno2017-4	Meno2017-A	GL11-04	58.36444	-128.29671	1749	2.98	2.7	0.9803	331099	14764	07KNSTD	0	0	0	2011	17702	741	-	-	17218	1228	771	-	-	-	-
Menounos et al. (2017)	boulder	Meno2017-5	Meno2017-B	GL11-05	58.35232	-128.32231	1632	3.23	2.7	0.9900	210369	8939	07KNSTD	0	0	0	2011	12231	487	-	-	11923	834	508	-	-	-	-
Menounos et al. (2017)	boulder	Meno2017-6	Meno2017-B	GL11-06	58.35279	-128.32173	1636	3.53	2.7	0.9842	213002	9016	07KNSTD	0	0	0	2011	12470	494	-	-	12136	848	515	-	-	-	-
Menounos et al. (2017)	boulder	Meno2017-7	Meno2017-B	GL11-07	58.35353	-128.32248	1653	1.91	2.7	0.9900	716847	23519	07KNSTD	0	0	0	2011	40839	1266	-	-	39665	2575	1314	-	-	-	-
Menounos et al. (2017)	boulder	Meno2017-8	Meno2017-B	GL11-08	58.34996	-128.30994	1598	2.30	2.7	0.9716	178486	7647	07KNSTD	0	0	0	2011	10816	433	-	-	10486	735	450	-	-	-	-
Menounos et al. (2017)	boulder	Meno2017-9	Meno2017-B	GL11-09	58.35163	-128.30684	1638	3.79	2.7	0.9927	203100	10225	07KNSTD	0	0	0	2011	11788	556	-	-	11478	861	579	-	-	-	-
Menounos et al. (2017)	boulder	Meno2017-10	Meno2017-B	GL11-10	58.35163	-128.30684	1638	1.25	2.7	0.9977	252326	13609	07KNSTD	0	0	0	2011	14271	722	-	-	13889	1076	752	-	-	-	-
