Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Owen et al. (2009)	boulder	Owen2009-1	Owen2009-A	Ron-51	28.1298	86.8531	5216	3.5	2.7	0.97	11000	8000	KNSTD	0	0	0	2007	100	100	-	-	205	150	149	-	-	-	-
Owen et al. (2009)	sediment	Owen2009-2	Owen2009-A	Ron-52	28.1296	86.8535	5223	5	2.7	1	12000	2000	KNSTD	0	0	0	2007	100	0	-	-	219	39	36	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-3	Owen2009-A	Ron-53	28.1294	86.8542	5213	2.3	2.7	0.97	20000	2000	KNSTD	0	0	0	2007	200	0	-	-	370	44	37	-	-	-	-
Owen et al. (2009)	sediment	Owen2009-4	Owen2009-A	Ron-54	28.1294	86.8542	5187	4	2.7	1	24000	2000	KNSTD	0	0	0	2007	300	0	-	-	441	46	37	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-5	Owen2009-A	Ron-55	28.1296	86.8560	5225	2	2.7	0.97	39000	3000	KNSTD	0	0	0	2007	400	100	-	-	714	71	55	-	-	-	-
Owen et al. (2009)	sediment	Owen2009-6	Owen2009-A	Ron-56	28.1296	86.8560	5228	5	2.7	1	50000	2000	KNSTD	0	0	0	2007	600	100	-	-	879	65	35	-	-	-	-
Owen et al. (2009)	sediment	Owen2009-7	Owen2009-A	Ron-57	28.1293	86.8582	5238	4	2.7	1	27000	2000	KNSTD	0	0	0	2007	300	0	-	-	486	47	36	-	-	-	-
Owen et al. (2009)	sediment	Owen2009-8	Owen2009-A	Ron-58	28.1298	86.8574	5220	4	2.7	1	29000	3000	KNSTD	0	0	0	2007	300	0	-	-	525	64	54	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-9	Owen2009-B	Ron-61	28.1363	86.8515	5175	1.5	2.7	0.98	143000	5000	KNSTD	0	0	0	2007	1600	200	-	-	2105	151	74	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-10	Owen2009-B	Ron-62	28.1364	86.8515	5178	5	2.7	0.98	129000	4000	KNSTD	0	0	0	2007	1500	100	-	-	1934	136	60	-	-	-	-
Owen et al. (2009)	boulder	Owen2009-11	Owen2009-B	Ron-63	28.1364	86.8515	5174	2.5	2.7	0.98	139000	7000	KNSTD	0	0	0	2007	1600	200	-	-	2058	166	104	-	-	-	-
