Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Owen et al. (2012)	boulder	Owen2012-1	Owen2012-A	XJ69	37.6537	75.2370	3561	2	2.75	0.970	1123000	26000	07KNSTD	0	0	0	2010	23500	2100	-	-	25450	1476	593	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-2	Owen2012-A	XJ70	37.6539	75.2384	3562	2	2.75	0.974	779000	24000	07KNSTD	0	0	0	2010	16600	1500	-	-	18691	1147	579	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-3	Owen2012-A	XJ71	37.6542	75.2389	3557	2	2.75	0.974	711000	34000	07KNSTD	0	0	0	2010	15300	1500	-	-	17314	1238	832	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-4	Owen2012-A	XJ72	37.6543	75.2390	3551	2	2.75	0.975	905000	23000	07KNSTD	0	0	0	2010	19200	1700	-	-	21151	1245	540	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-5	Owen2012-B	Pamir9	37.6579	75.2531	3484	2	2.75	1	1066000	24000	07KNSTD	0	0	0	2010	22800	2000	-	-	24684	1425	559	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-6	Owen2012-B	Pamir10	37.6544	75.2497	3521	2.5	2.75	1	1211000	182000	07KNSTD	0	0	0	2010	25100	4400	-	-	27116	4349	4103	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-7	Owen2012-B	Pamir13	37.6493	75.2400	3636	2	2.75	0.983	1118000	32000	07KNSTD	0	0	0	2010	22300	2000	-	-	24130	1457	695	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-8	Owen2012-B	Pamir14	37.6491	75.2376	3660	2.5	2.75	0.980	1270000	47000	07KNSTD	0	0	0	2010	24900	2300	-	-	26751	1736	997	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-9	Owen2012-C	Pamir11	37.6515	75.2481	3560	2	2.75	1	3396000	55000	07KNSTD	0	0	0	2010	66000	5800	-	-	68900	3869	1135	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-10	Owen2012-C	Pamir12	37.6509	75.2465	3574	2	2.75	1	3865000	47000	07KNSTD	0	0	0	2010	74400	6500	-	-	78135	4314	969	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-11	Owen2012-C	XJ61	37.6631	75.2769	3327	4	2.75	1	3324000	70000	07KNSTD	0	0	0	2010	74800	6600	-	-	79773	4624	1714	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-12	Owen2012-C	XJ62	37.6648	75.2781	3321	4	2.75	1	2860000	102000	07KNSTD	0	0	0	2010	64700	6000	-	-	68422	4433	2482	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-13	Owen2012-C	XJ63	37.6668	75.2780	3321	4	2.75	1	3840000	80000	07KNSTD	0	0	0	2010	87200	7800	-	-	92955	5398	1982	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-14	Owen2012-C	XJ64	37.6718	75.2715	3358	4	2.75	1	3148000	80000	07KNSTD	0	0	0	2010	69600	6200	-	-	73710	4397	1908	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-15	Owen2012-C	XJ65	37.6717	75.2722	3349	2.5	2.75	1	3279000	63000	07KNSTD	0	0	0	2010	72000	6300	-	-	76371	4371	1496	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-16	Owen2012-C	XJ66	37.6656	75.2702	3371	2.5	2.75	1	1122000	283000	07KNSTD	0	0	0	2010	25300	6800	-	-	27476	7129	6978	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-17	Owen2012-C	XJ67	37.6656	75.2709	3365	3	2.75	1	3298000	94000	07KNSTD	0	0	0	2010	72100	6500	-	-	76381	4669	2219	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-18	Owen2012-D	Pamir16	37.5531	75.2739	4016	2	2.75	1	1154000	42000	07KNSTD	0	0	0	2010	18600	1700	-	-	20346	1311	744	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-19	Owen2012-D	Pamir17	37.5532	75.2751	4010	2.5	2.75	1	1440000	55000	07KNSTD	0	0	0	2010	23200	2200	-	-	24667	1617	948	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-20	Owen2012-D	Pamir18	37.5534	75.2755	4001	2	2.75	1	1130000	30000	07KNSTD	0	0	0	2010	18500	1600	-	-	20150	1196	538	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-21	Owen2012-D	XJ79	37.5533	75.2714	4035	1	2.75	1	376000	121000	07KNSTD	0	0	0	2010	6100	2000	-	-	7183	2347	2316	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-22	Owen2012-D	XJ80	37.5534	75.2717	4071	3	2.75	1	191000	113000	07KNSTD	0	0	0	2010	3200	1900	-	-	3621	2153	2144	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-23	Owen2012-D	XJ81	37.5531	75.2735	4058	3	2.75	1	1427000	31000	07KNSTD	0	0	0	2010	22600	2000	-	-	24001	1378	525	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-24	Owen2012-D	XJ82	37.5531	75.2741	4049	2.5	2.75	1	832000	81000	07KNSTD	0	0	0	2010	13500	1700	-	-	15228	1693	1488	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-25	Owen2012-E	XJ52	37.5545	75.2669	4152	5	2.75	1	1712000	67000	07KNSTD	0	0	0	2010	25900	2400	-	-	27167	1797	1070	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-26	Owen2012-E	XJ53	37.5545	75.2669	4152	4	2.75	1	1595000	48000	07KNSTD	0	0	0	2010	24000	2200	-	-	25390	1552	769	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-27	Owen2012-E	XJ54	37.5554	75.2707	4102	2	2.75	1	1545000	59000	07KNSTD	0	0	0	2010	23500	2200	-	-	24964	1636	959	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-28	Owen2012-E	XJ55	37.5553	75.2730	4067	5	2.75	1	1931000	83000	07KNSTD	0	0	0	2010	30100	2900	-	-	31433	2156	1362	-	-	-	-
