Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Regnéll et al. (in press)	boulder	RegnInpress-1	RegnInpress-A	14NOR-55	59.747873	5.29469	467	1	2.65	1	41645	1039	07KNSTD	0	0	0	2014	6100	200	-	-	6127	408	153	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-2	RegnInpress-A	14NOR-56	59.748824	5.29546	462	2	2.65	0.9903	96783	1887	07KNSTD	0	0	0	2014	14700	300	-	-	14523	941	284	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-3	RegnInpress-A	14NOR-57	59.749069	5.29640	470	1	2.65	1	97294	1824	07KNSTD	0	0	0	2014	14400	300	-	-	14231	919	268	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-4	RegnInpress-A	Siggjo-1	59.74931	5.29802	420	2	2.65	1	94114	1791	07KNSTD	0	0	0	2014	14800	300	-	-	14539	940	278	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-5	RegnInpress-A	78-Siggjo-2	59.74842	5.29733	459	3.5	2.65	1	93335	1793	07KNSTD	0	0	0	2014	14300	300	-	-	14093	912	272	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-6	RegnInpress-B	81-UN53	59.86258	5.85370	997	1	2.65	1	159285	3013	07KNSTD	0	0	0	2014	14900	300	-	-	14527	939	276	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-7	RegnInpress-C	82-UN55A	59.86477	5.87675	1001	2	2.65	1	126441	2568	07KNSTD	0	0	0	2014	11800	200	-	-	11616	755	237	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-8	RegnInpress-C	82-UN56	59.86191	5.87849	1003	1.3	2.65	1	129514	2030	07KNSTD	0	0	0	2014	12000	200	-	-	11804	752	186	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-9	RegnInpress-D	65-14NOR-40	59.89564	5.87827	1171	2	2.65	1	494043	6579	07KNSTD	0	0	0	2014	41900	600	-	-	39081	2486	526	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-10	RegnInpress-D	65-14NOR-42	59.89471	5.88078	1153	2	2.65	1	602720	6658	07KNSTD	0	0	0	2014	52800	600	-	-	48529	3073	543	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-11	RegnInpress-E	65-14NOR-31	59.87263	5.94073	1187	2	2.65	1	268481	4986	07KNSTD	0	0	0	2014	21800	400	-	-	20927	1353	391	-	-	-	-
Regnéll et al. (in press)	bedrock	RegnInpress-12	RegnInpress-E	68-14NOR-32	59.87268	5.94072	1187	2	2.65	1	873000	12700	07KNSTD	0	0	0	2014	77300	1300	-	-	68617	4417	1016	-	-	-	-
Regnéll et al. (in press)	bedrock	RegnInpress-13	RegnInpress-E	68-14NOR-38	59.87549	5.93476	1231	2	2.65	1	1600000	23300	07KNSTD	0	0	0	2014	153900	2900	-	-	122531	7995	1840	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-14	RegnInpress-F	65-14NOR-33	59.86684	5.94333	1150	2	2.65	1	412405	11969	07KNSTD	0	0	0	2014	35200	1100	-	-	33198	2279	972	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-15	RegnInpress-F	65-14NOR-36	59.86738	5.93912	1109	2	2.65	0.99	294113	5483	07KNSTD	0	0	0	2014	25900	500	-	-	24750	1602	464	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-16	RegnInpress-F	81-UN32	59.86393	5.94030	1113	1.5	2.65	1	254527	3749	07KNSTD	0	0	0	2014	21900	300	-	-	21047	1340	312	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-17	RegnInpress-F	81-UN33	59.86435	5.94005	1111	1.4	2.65	1	211543	3977	07KNSTD	0	0	0	2014	18100	400	-	-	17521	1133	331	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-18	RegnInpress-G	SF1	59.93310	5.94193	827	2	2.65	1	134089	2513	07KNSTD	0	0	0	2014	14600	300	-	-	14322	925	269	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-19	RegnInpress-G	SF2	59.93360	5.94168	825	2	2.65	1	129607	2755	07KNSTD	0	0	0	2014	14100	300	-	-	13872	907	296	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-20	RegnInpress-G	SF3	59.93360	5.94168	825	2	2.65	1	101686	1915	07KNSTD	0	0	0	2014	11000	200	-	-	10902	704	206	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-21	RegnInpress-G	SF4	59.931877	5.94264	812	2	2.65	1	139411	2619	07KNSTD	0	0	0	2014	15400	300	-	-	15085	975	284	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-22	RegnInpress-G	SF5	59.931734	5.94273	810	2	2.65	1	128833	2430	07KNSTD	0	0	0	2014	14200	300	-	-	13973	903	264	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-23	RegnInpress-G	SF6	59.931406	5.94273	807	2	2.65	1	129254	2108	07KNSTD	0	0	0	2014	14300	200	-	-	14056	899	230	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-24	RegnInpress-H	86-M57	60.00284	6.06856	1332	2.4	2.65	1	1652382	18595	07KNSTD	0	0	0	2014	144800	2100	-	-	116412	7503	1349	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-25	RegnInpress-H	86-M58	60.00299	6.06933	1326	2.2	2.65	1	1295300	17243	07KNSTD	0	0	0	2014	107500	1700	-	-	91053	5869	1240	-	-	-	-
Regnéll et al. (in press)	boulder	RegnInpress-26	RegnInpress-H	86-M59	60.00309	6.06945	1330	1.7	2.65	1	251375	7001	07KNSTD	0	0	0	2014	18000	500	-	-	17319	1176	484	-	-	-	-
