Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Rhee et al. (2020)	boulder/cobble	Rhee2020-1	Rhee2020-A	IEI039	-74.86866	163.63877	289.6	6.8	2.7	0.999961	70250	5300	07KNSTD	480730	55140	KNSTD	2018	10050	970	-	-	10764	1009	814	10315	1376	1189	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-2	Rhee2020-A	IEI040	-74.86873	163.64007	291.1	9.4	3	0.999961	193730	7610	07KNSTD	0	0	0	2018	28840	2060	-	-	30943	2115	1225	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-3	Rhee2020-A	IEI041	-74.86891	163.63935	291.6	9.5	2.7	0.999961	52760	4480	07KNSTD	363110	34260	KNSTD	2018	7680	800	-	-	8223	835	700	7933	921	751	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-4	Rhee2020-A	IEI042	-74.86896	163.63848	290.7	7.2	2.7	0.999961	1453620	26070	07KNSTD	6678400	197400	KNSTD	2018	221460	14440	-	-	238397	14713	4541	155689	12290	4973	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-5	Rhee2020-A	IEI043	-74.86922	163.63926	291.2	8.5	2.7	0.999961	893650	19880	07KNSTD	4785400	166100	KNSTD	2018	134660	8780	-	-	144724	8943	3339	110291	8770	4043	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-6	Rhee2020-A	IEI044	-74.86840	163.63969	290.4	7.4	2.7	0.999961	64020	4940	07KNSTD	493740	51020	KNSTD	2018	9200	900	-	-	9837	936	761	10650	1317	1106	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-7	Rhee2020-B	IEI045	-74.87168	163.64663	257	6.5	2.7	0.999689	569290	14750	07KNSTD	3391800	226100	KNSTD	2018	86230	5680	-	-	92569	5784	2455	78262	7678	5423	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-8	Rhee2020-B	IEI046	-74.87193	163.64752	255.1	6.2	2.7	0.999689	59680	8770	07KNSTD	303970	214940	KNSTD	2018	8790	1390	-	-	9401	1479	1385	6741	4803	4782	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-9	Rhee2020-B	IEI047	-74.87182	163.64780	255.8	9.2	2.7	0.999689	42990	3740	07KNSTD	323300	31550	KNSTD	2018	6520	690	-	-	6979	721	608	7330	870	718	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-10	Rhee2020-B	IEI048	-74.87139	163.64691	260.3	6.3	2.7	0.999689	52830	3860	07KNSTD	373280	26940	KNSTD	2018	7740	730	-	-	8269	759	605	8185	808	593	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-11	Rhee2020-B	IEI049	-74.87194	163.64622	254.5	7	2.7	0.999689	58650	4880	07KNSTD	459120	56800	KNSTD	2018	8700	890	-	-	9311	932	777	10221	1444	1271	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-12	Rhee2020-B	IEI050	-74.87164	163.64580	256.6	7	2.7	0.999689	51590	4260	07KNSTD	396560	31520	KNSTD	2018	7630	780	-	-	8154	812	675	8795	917	702	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-13	Rhee2020-C	IEI051	-74.87392	163.65641	242.6	10.2	2.7	0.999871	573590	15870	07KNSTD	3610800	134200	KNSTD	2018	90870	6060	-	-	97790	6195	2773	87621	6996	3401	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-14	Rhee2020-C	IEI052	-74.87381	163.65716	242.5	8.5	2.7	0.999871	56290	3760	07KNSTD	441380	35150	KNSTD	2018	8540	760	-	-	9160	796	613	10075	1053	806	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-15	Rhee2020-C	IEI053	-74.87422	163.65782	234.7	7.6	2.7	0.999871	2320260	35400	07KNSTD	0	0	0	2018	390610	26290	-	-	422465	26973	7176	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-16	Rhee2020-C	IEI054	-74.87381	163.65807	239.3	7.6	2.7	0.999871	192820	9250	07KNSTD	0	0	0	2018	29530	2260	-	-	31669	2336	1531	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-17	Rhee2020-C	IEI055	-74.87345	163.65781	242.7	8.6	2.7	0.999871	571600	15800	07KNSTD	3541700	97900	KNSTD	2018	89360	5950	-	-	96074	6082	2720	84647	6382	2440	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-18	Rhee2020-C	IEI056	-74.87365	163.65665	243.8	8.7	2.7	0.999871	82940	5740	07KNSTD	0	0	0	2018	12660	1160	-	-	13576	1207	943	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-19	Rhee2020-D	IEI030	-74.87375	163.66423	194.5	8	2.7	0.998666	596450	16960	07KNSTD	2950800	89800	KNSTD	2018	97630	6550	-	-	105068	6706	3067	73286	5579	2313	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-20	Rhee2020-D	IEI031	-74.87346	163.66490	193.5	7.5	3	0.998666	379810	10200	07KNSTD	2975900	136000	KNSTD	2018	61890	4070	-	-	66492	4155	1816	74229	6233	3519	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-21	Rhee2020-D	IEI032	-74.87366	163.66502	190.8	8	2.7	0.998666	341950	11070	07KNSTD	1711800	211500	KNSTD	2018	55580	3790	-	-	59746	3885	1963	41988	6021	5296	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-22	Rhee2020-D	IEI033	-74.87367	163.66593	186.8	9	2.7	0.998666	47580	3830	07KNSTD	333070	72110	KNSTD	2018	7670	770	-	-	8217	804	663	8051	1831	1750	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-23	Rhee2020-D	IEI034	-74.87328	163.66543	191.3	5.4	3	0.998666	654360	17750	07KNSTD	4134000	109000	KNSTD	2018	106020	7070	-	-	113923	7218	3180	102737	7764	2850	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-24	Rhee2020-D	IEI035	-74.87341	163.66626	187	8	2.7	0.998666	359780	12850	07KNSTD	2151800	82100	KNSTD	2018	58760	4110	-	-	63162	4223	2292	53298	4210	2088	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-25	Rhee2020-D	IEI036	-74.87369	163.66664	183	6	2.7	0.998666	1061510	55730	07KNSTD	2380200	348400	KNSTD	2018	176450	14570	-	-	189953	15191	10461	58336	9661	8788	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-26	Rhee2020-D	IEI037	-74.87392	163.66546	185.3	7.5	2.7	0.998666	747730	16990	07KNSTD	4546800	128600	KNSTD	2018	123930	8080	-	-	133330	8240	3133	115896	8906	3472	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-27	Rhee2020-E	IEI023	-74.87524	163.66954	157.3	7	3	0.999308	592310	18120	07KNSTD	2828000	84700	KNSTD	2018	100520	6850	-	-	108151	7021	3400	72693	5517	2257	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-28	Rhee2020-E	IEI024	-74.87569	163.66850	158.7	7.8	2.7	0.999308	274810	10730	07KNSTD	0	0	0	2018	45890	3280	-	-	49341	3381	1950	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-29	Rhee2020-E	IEI025	-74.87568	163.66976	156.9	8	3	0.999308	175830	7050	07KNSTD	0	0	0	2018	29540	2120	-	-	31752	2186	1283	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-30	Rhee2020-E	IEI026	-74.87560	163.67063	155.8	11.7	2.7	0.999308	39380	4010	07KNSTD	265020	26770	KNSTD	2018	6730	790	-	-	7217	838	736	6803	827	689	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-31	Rhee2020-E	IEI027	-74.87673	163.67047	152.3	6.5	3	0.999308	189800	13240	07KNSTD	0	0	0	2018	31640	2910	-	-	33972	3049	2390	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-32	Rhee2020-E	IEI028	-74.87654	163.66953	158.1	6	2.7	0.999308	147180	6330	07KNSTD	0	0	0	2018	24080	1770	-	-	25840	1821	1119	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-33	Rhee2020-E	IEI029	-74.87639	163.67029	156.1	8	2.7	0.999308	46690	5640	07KNSTD	308400	41580	KNSTD	2018	7690	1040	-	-	8242	1097	998	7626	1152	1032	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-34	Rhee2020-F	IEI016	-74.88324	163.69538	39.9	7.5	2.7	0.999459	151440	7560	07KNSTD	0	0	0	2018	28280	2200	-	-	30432	2284	1531	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-35	Rhee2020-F	IEI017	-74.88259	163.69450	42.7	8.5	2.7	0.999459	67940	5150	07KNSTD	0	0	0	2018	12670	1220	-	-	13625	1283	1036	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-36	Rhee2020-F	IEI018	-74.88254	163.69364	43.6	7.5	2.7	0.999459	36410	3570	07KNSTD	242710	25260	KNSTD	2018	6730	770	-	-	7218	814	709	6732	835	703	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-37	Rhee2020-F	IEI019	-74.88290	163.69298	44.5	7	2.7	0.999459	150670	7090	07KNSTD	0	0	0	2018	27910	2120	-	-	30001	2194	1422	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-38	Rhee2020-F	IEI020	-74.88323	163.69179	47.2	8.5	2.7	0.999459	1508430	25640	07KNSTD	0	0	0	2018	302330	20040	-	-	327322	20565	6045	-	-	-	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-39	Rhee2020-F	IEI021	-74.88256	163.69218	45.4	8.3	2.7	0.999459	33600	3440	07KNSTD	310430	30010	KNSTD	2018	6250	740	-	-	6706	782	688	8598	1015	835	-
Rhee et al. (2020)	boulder/cobble	Rhee2020-40	Rhee2020-F	IEI022	-74.88286	163.69116	47.9	7.5	2.7	0.999459	99440	5260	07KNSTD	0	0	0	2018	18350	1460	-	-	19736	1517	1049	-	-	-	-
