Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Rinterknecht et al. (2006)	boulder	Rint2006-1	Rint2006-A	LIT-1	54.289	25.096	150	2	2.8	1	88000	7400	NIST_Certified	0	0	0	2004	17130	1450	-	-	19474	2054	1646	-	-	-	Rinterknecht et al. (2008)
Rinterknecht et al. (2006)	boulder	Rint2006-2	Rint2006-A	LIT-6	54.288	25.322	162	1.5	2.8	1	151100	9300	NIST_Certified	0	0	0	2004	29030	1800	-	-	32826	2911	2037	-	-	-	Rinterknecht et al. (2008)
Rinterknecht et al. (2006)	boulder	Rint2006-3	Rint2006-A	LIT-7	54.263	25.258	193	1.5	2.8	1	98700	7000	NIST_Certified	0	0	0	2004	18350	1300	-	-	20859	1987	1487	-	-	-	Rinterknecht et al. (2008)
Rinterknecht et al. (2006)	boulder	Rint2006-4	Rint2006-B	LIT-4	54.250	25.609	200	2	2.8	1	23400	3600	NIST_Certified	0	0	0	2004	4330	670	-	-	4968	827	765	-	-	-	Rinterknecht et al. (2008)
Rinterknecht et al. (2006)	boulder	Rint2006-5	Rint2006-B	LIT-5	54.178	25.588	207	2.7	2.8	1	102900	6700	NIST_Certified	0	0	0	2004	19080	1240	-	-	21708	1975	1421	-	-	-	Rinterknecht et al. (2008)
Rinterknecht et al. (2006)	boulder	Rint2006-6	Rint2006-C	BEL-2	54.889	26.773	177	2	2.8	1	67800	6000	NIST_Certified	0	0	0	2004	12840	1140	-	-	14569	1587	1294	-	-	-	Rinterknecht et al. (2007)
Rinterknecht et al. (2006)	boulder	Rint2006-7	Rint2006-D	BEL-3	54.881	25.951	196	3.5	2.8	1	87200	5800	NIST_Certified	0	0	0	2004	16460	1090	-	-	18637	1713	1245	-	-	-	Rinterknecht et al. (2007)
Rinterknecht et al. (2006)	boulder	Rint2006-8	Rint2006-E	BEL-6	54.888	26.507	201	2.1	2.8	1	113700	7300	NIST_Certified	0	0	0	2004	21130	1360	-	-	23851	2155	1541	-	-	-	Rinterknecht et al. (2007)
Rinterknecht et al. (2006)	boulder	Rint2006-9	Rint2006-F	BEL-7	54.795	26.791	188	3.2	2.8	1	135100	9900	NIST_Certified	0	0	0	2004	25680	1890	-	-	28989	2818	2140	-	-	-	Rinterknecht et al. (2007)
Rinterknecht et al. (2006)	boulder	Rint2006-10	Rint2006-G	BEL-8	54.723	26.361	153	3.5	2.8	1	47300	3600	NIST_Certified	0	0	0	2004	9290	700	-	-	10526	1041	803	-	-	-	Rinterknecht et al. (2007)
Rinterknecht et al. (2006)	boulder	Rint2006-11	Rint2006-H	BEL-9	55.056	27.621	179	2.5	2.8	1	72800	5300	NIST_Certified	0	0	0	2004	13830	1010	-	-	15668	1512	1145	-	-	-	Rinterknecht et al. (2007)
Rinterknecht et al. (2006)	boulder	Rint2006-12	Rint2006-I	BEL-11	54.922	27.195	200	2.5	2.8	1	118500	22600	NIST_Certified	0	0	0	2004	22100	4220	-	-	24974	5046	4793	-	-	-	Rinterknecht et al. (2007)
Rinterknecht et al. (2006)	boulder	Rint2006-13	Rint2006-J	BEL-17	54.780	27.060	210	4	2.8	1	347500	23900	NIST_Certified	0	0	0	2004	65740	4520	-	-	74122	7034	5193	-	-	-	Rinterknecht et al. (2007)
Rinterknecht et al. (2006)	boulder	Rint2006-14	Rint2006-J	BEL-18	54.781	27.082	214	1	2.8	1	468700	28300	NIST_Certified	0	0	0	2004	86310	5210	-	-	97523	8707	6034	-	-	-	Rinterknecht et al. (2007)
