Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Rood et al. (2011)	boulder	Rood2011-1	Rood2011-A	RCTA05-1	38.2166	-119.3013	2100	2	2.7	0.999	3094300	47600	KNSTD	0	0	0	2005	152500	2600	-	-	148953	9815	2379	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-2	Rood2011-A	RCTA05-2	38.2157	-119.3016	2109	2	2.7	0.999	1173200	33300	KNSTD	0	0	0	2005	53300	1600	-	-	58131	3999	1674	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-3	Rood2011-A	RCTA05-3	38.2142	-119.3034	2094	1	2.7	0.997	2552700	61100	KNSTD	0	0	0	2005	123000	3200	-	-	122040	8313	3012	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-4	Rood2011-A	RCTA05-4	38.2145	-119.3029	2104	3	2.7	0.999	2499600	59600	KNSTD	0	0	0	2005	121100	3200	-	-	120582	8207	2964	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-5	Rood2011-A	RCTA05-5	38.2151	-119.3022	2111	1	2.7	0.997	2423800	63300	KNSTD	0	0	0	2005	114700	3300	-	-	115015	7918	3092	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-6	Rood2011-A	RCTA05-6	38.2164	-119.3013	2112	2	2.7	1	1192200	28700	KNSTD	0	0	0	2005	54200	1400	-	-	58844	3948	1438	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-7	Rood2011-A	RCTA05-7	38.2158	-119.3016	2107	1.5	2.7	0.999	2414300	75400	KNSTD	0	0	0	2005	114800	3900	-	-	115144	8183	3701	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-8	Rood2011-A	RCTA05-8	38.2158	-119.3016	2108	3	2.7	0.999	2743200	65500	KNSTD	0	0	0	2005	133800	3500	-	-	131442	8972	3244	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-9	Rood2011-A	RCTA05-9	38.2156	-119.3019	2106	1.5	2.7	0.999	1548000	51200	KNSTD	0	0	0	2005	71300	2500	-	-	75718	5394	2552	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-10	Rood2011-B	SJTI05-1	38.3281	-119.4699	2246	2	2.7	0.998	475000	12000	KNSTD	0	0	0	2005	19200	500	-	-	21161	1416	537	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-11	Rood2011-B	SJTI05-2	38.3281	-119.4698	2247	2	2.7	0.999	486300	12200	KNSTD	0	0	0	2005	19700	500	-	-	21555	1441	544	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-12	Rood2011-B	SJTI05-3	38.3281	-119.4699	2248	2	2.7	0.999	470800	11900	KNSTD	0	0	0	2005	19000	500	-	-	20956	1402	532	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-13	Rood2011-B	SJTI05-4	38.3282	-119.4704	2252	3	2.7	0.999	403000	10200	KNSTD	0	0	0	2005	16300	400	-	-	18313	1225	466	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-14	Rood2011-B	SJTI05-5	38.3280	-119.4706	2251	3	2.7	0.996	451200	11500	KNSTD	0	0	0	2005	18400	500	-	-	20355	1363	521	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-15	Rood2011-B	SJTI05-6	38.3280	-119.4706	2251	1.5	2.7	0.999	528200	13200	KNSTD	0	0	0	2005	21200	500	-	-	23035	1540	579	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-16	Rood2011-B	SJTI05-7	38.3283	-119.4710	2257	3	2.7	0.998	540900	13600	KNSTD	0	0	0	2005	22000	600	-	-	23751	1589	601	-	-	-	-
Rood et al. (2011)	boulder	Rood2011-17	Rood2011-B	SJTI05-8	38.3282	-119.4711	2256	3	2.7	0.998	494200	12400	KNSTD	0	0	0	2005	20100	500	-	-	21901	1464	553	-	-	-	-
