Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Schaefer et al. (2009)	boulder	Scha2009-1	Scha2009-A	Kiwi-942	-43.7155	170.0995	766	1.67	2.7	0.981	1152	80	07KNSTD	0	0	0	2004	132	17	-	-	151	13	10	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-2	Scha2009-A	Kiwi-944	-43.7155	170.0980	776	2.09	2.7	0.980	1433	97	07KNSTD	0	0	0	2004	164	22	-	-	185	16	13	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-3	Scha2009-A	Kiwi-943	-43.7151	170.0973	781	1.56	2.7	0.983	1644	94	07KNSTD	0	0	0	2004	185	22	-	-	209	17	12	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-4	Scha2009-B	Kiwi-958	-43.7085	170.0993	797	2.28	2.7	0.975	1923	88	07KNSTD	0	0	0	2004	217	20	-	-	243	17	11	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-5	Scha2009-B	Kiwi-959	-43.7093	170.0997	799	10.73	2.7	0.974	1900	110	07KNSTD	0	0	0	2004	230	26	-	-	257	21	15	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-6	Scha2009-C	Kiwi-X57	-43.7110	170.0833	861	7.34	2.7	0.977	1500	105	07KNSTD	0	0	0	2004	167	24	-	-	189	17	13	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-7	Scha2009-C	Kiwi-908	-43.7165	170.0987	782	1.9	2.7	0.986	1978	210	KNSTD	0	0	0	2004	223	48	-	-	226	27	24	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-8	Scha2009-C	Kiwi-913	-43.7158	170.0972	789	3.6	2.7	0.982	2205	181	KNSTD	0	0	0	2004	251	41	-	-	254	25	21	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-9	Scha2009-C	Kiwi-X61	-43.7097	170.0823	883	3.08	2.7	0.980	2582	110	07KNSTD	0	0	0	2004	272	24	-	-	301	21	13	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-10	Scha2009-C	Kiwi-914	-43.7148	170.0966	804	2	2.7	0.977	2387	217	KNSTD	0	0	0	2004	266	48	-	-	269	29	24	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-11	Scha2009-C	Kiwi-X58	-43.7111	170.0833	861	2.37	2.7	0.978	2756	151	07KNSTD	0	0	0	2004	294	32	-	-	326	25	18	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-12	Scha2009-C	Kiwi-X59	-43.7103	170.0828	867	2.96	2.7	0.976	2989	179	07KNSTD	0	0	0	2004	320	39	-	-	353	29	21	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-13	Scha2009-C	Kiwi-907	-43.7166	170.1000	782	1.5	2.7	0.984	2723	229	KNSTD	0	0	0	2004	307	52	-	-	308	31	26	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-14	Scha2009-C	Kiwi-906	-43.7165	170.1004	781	1.2	2.7	0.981	3004	201	KNSTD	0	0	0	2004	339	46	-	-	339	29	23	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-15	Scha2009-C	Kiwi-X60	-43.7100	170.0825	880	2.1	2.7	0.975	5058	213	07KNSTD	0	0	0	2004	532	45	-	-	585	41	25	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-16	Scha2009-D	Kiwi-X44	-43.7115	170.1022	783	2.92	2.7	0.967	2397	149	07KNSTD	0	0	0	2004	277	35	-	-	309	26	19	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-17	Scha2009-D	Kiwi-X42	-43.7109	170.1024	788	2.66	2.7	0.967	2876	186	07KNSTD	0	0	0	2004	330	43	-	-	366	31	24	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-18	Scha2009-D	Kiwi-X43	-43.7110	170.1024	786	2.62	2.7	0.976	3453	263	07KNSTD	0	0	0	2004	394	61	-	-	434	41	33	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-19	Scha2009-D	Kiwi-X45	-43.7079	170.1019	815	1.29	2.7	0.922	3416	170	07KNSTD	0	0	0	2004	398	39	-	-	438	33	22	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-20	Scha2009-D	Kiwi-X63	-43.7168	170.1016	781	3.18	2.7	0.988	3637	213	07KNSTD	0	0	0	2004	414	48	-	-	456	37	27	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-21	Scha2009-D	Kiwi-X36	-43.7126	170.1042	784	1.83	2.7	0.931	3554	370	07KNSTD	0	0	0	2004	423	89	-	-	466	55	49	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-22	Scha2009-D	Kiwi-X62	-43.7168	170.1016	781	2.92	2.7	0.987	3935	222	07KNSTD	0	0	0	2004	447	50	-	-	492	39	28	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-23	Scha2009-D	Kiwi-X46	-43.7076	170.1018	819	1.49	2.7	0.938	4168	246	07KNSTD	0	0	0	2004	476	56	-	-	524	42	31	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-24	Scha2009-D	Kiwi-X38	-43.7128	170.1043	781	0.97	2.7	0.936	4059	188	07KNSTD	0	0	0	2004	478	43	-	-	526	38	24	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-25	Scha2009-E	Kiwi-940	-43.7180	170.1041	761	2.12	2.7	0.975	3861	360	07KNSTD	0	0	0	2004	449	85	-	-	494	54	46	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-26	Scha2009-E	Kiwi-912	-43.7185	170.0982	769	3.74	2.7	0.980	4027	278	KNSTD	0	0	0	2004	469	65	-	-	467	41	32	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-27	Scha2009-E	Kiwi-901	-43.7122	170.0821	883	2.4	2.7	0.961	4889	440	KNSTD	0	0	0	2004	521	93	-	-	517	55	47	-	-	-	-
Schaefer et al. (2009)	boulder	Scha2009-28	Scha2009-E	Kiwi-911	-43.7133	170.0888	904	1.9	2.7	0.968	5366	333	KNSTD	0	0	0	2004	556	69	-	-	551	46	34	-	-	-	-
