Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Schaefer et al. (2015)	boulder	Scha2015-1	Scha2015-A	Kiwi-X08	-44.2254	170.2318	486	1.69	2.7	1	415120	7499	07KNSTD	0	0	0	2007	68731	1264	-	-	68138	3866	1252	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-2	Scha2015-A	Kiwi-614	-44.2239	170.2025	483	4.02	2.7	1	400230	5603	07KNSTD	0	0	0	2007	67711	964	-	-	67197	3731	957	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-3	Scha2015-A	Kiwi-X13	-44.2087	170.2581	525	3.85	2.7	1	414530	9783	07KNSTD	0	0	0	2007	67533	1622	-	-	66916	3933	1606	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-4	Scha2015-A	KIWI-620	-44.2317	170.2000	472	0.8	2.7	1	405620	10141	07KNSTD	0	0	0	2007	67487	1717	-	-	66892	3972	1701	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-5	Scha2015-A	KIWI-618	-44.2333	170.2123	470	1.84	2.7	1	400410	9209	07KNSTD	0	0	0	2007	67306	1575	-	-	66739	3906	1561	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-6	Scha2015-A	Kiwi-X02	-44.2291	170.2325	479	1.32	2.7	1	401060	8234	07KNSTD	0	0	0	2007	66607	1391	-	-	66004	3799	1378	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-7	Scha2015-A	Kiwi-X06	-44.2339	170.2190	467	1.5	2.7	1	396140	7744	07KNSTD	0	0	0	2007	66579	1324	-	-	66005	3776	1312	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-8	Scha2015-A	Kiwi-X07	-44.2322	170.2124	468	1.13	2.7	1	396400	6597	07KNSTD	0	0	0	2007	66365	1123	-	-	65782	3700	1113	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-9	Scha2015-A	Kiwi-X03	-44.2302	170.2324	479	1.16	2.7	1	394120	6562	07KNSTD	0	0	0	2007	65373	1107	-	-	64772	3642	1096	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-10	Scha2015-A	Kiwi-X05	-44.2325	170.2215	469	2.89	2.7	1	383390	6367	07KNSTD	0	0	0	2007	65062	1099	-	-	64534	3628	1089	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-11	Scha2015-A	Kiwi-617	-44.2280	170.2041	478	1.84	2.7	1	388670	8784	07KNSTD	0	0	0	2007	64889	1491	-	-	64313	3752	1477	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-12	Scha2015-A	KIWI-619	-44.2308	170.2037	474	0.84	2.7	1	390470	19523	07KNSTD	0	0	0	2007	64883	3298	-	-	64291	4749	3267	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-13	Scha2015-A	Kiwi-X14	-44.2083	170.2609	517	1.7	2.7	1	399070	7662	07KNSTD	0	0	0	2007	64343	1256	-	-	63689	3634	1242	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-14	Scha2015-A	Kiwi-X16	-44.2058	170.2645	516	1.65	2.7	1	398400	7849	07KNSTD	0	0	0	2007	64266	1287	-	-	63615	3640	1273	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-15	Scha2015-A	Kiwi-615	-44.2254	170.2040	484	2.03	2.7	1	386030	8879	07KNSTD	0	0	0	2007	64216	1501	-	-	63640	3722	1487	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-16	Scha2015-A	Kiwi-X15	-44.2077	170.2623	516	1.68	2.7	1	398000	9393	07KNSTD	0	0	0	2007	64216	1541	-	-	63566	3733	1524	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-17	Scha2015-A	Kiwi-X04	-44.2307	170.2299	474	1.89	2.7	1	383110	7984	07KNSTD	0	0	0	2007	64211	1360	-	-	63650	3669	1348	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-18	Scha2015-A	Kiwi-621	-44.2319	170.1993	476	2	2.7	1	382800	15312	07KNSTD	0	0	0	2007	64106	2607	-	-	63544	4275	2583	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-19	Scha2015-A	Kiwi-976	-44.2333	170.2113	467	2.2	2.7	1	379100	13041	07KNSTD	0	0	0	2007	64090	2241	-	-	63552	4067	2221	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-20	Scha2015-A	Kiwi-X17	-44.2014	170.2631	530	3.24	2.7	1	396160	9349	07KNSTD	0	0	0	2007	63963	1534	-	-	63332	3719	1518	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-21	Scha2015-A	Kiwi-616	-44.2255	170.2043	485	2.3	2.7	1	379350	8801	07KNSTD	0	0	0	2007	63191	1490	-	-	62631	3667	1476	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-22	Scha2015-A	Kiwi-977	-44.2318	170.1994	476	2.03	2.7	1	368370	10499	07KNSTD	0	0	0	2007	61706	1787	-	-	61171	3725	1770	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-23	Scha2015-A	Kiwi-X18	-44.2014	170.2632	531	1.24	2.7	1	387280	12199	07KNSTD	0	0	0	2007	61466	1967	-	-	60806	3794	1945	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-24	Scha2015-A	Kiwi-X11	-44.2164	170.2540	503	2.65	2.7	1	369800	8136	07KNSTD	0	0	0	2007	60818	1359	-	-	60258	3497	1346	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-25	Scha2015-A	Kiwi-X12	-44.2165	170.2540	504	2.07	2.7	1	228160	4974	07KNSTD	0	0	0	2007	37094	816	-	-	36838	2123	811	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-25	Scha2015-A	Kiwi-X12-re	-44.2165	170.2540	504	2.07	2.7	1	246070	8367	07KNSTD	0	0	0	2007	39951	1372	-	-	39641	2513	1361	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-26	Scha2015-B	Kiwi-705	-44.1949	170.0840	537	1.32	2.7	1	420120	18023	07KNSTD	0	0	0	2007	66375	2896	-	-	65655	4539	2863	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-27	Scha2015-B	Kiwi-704	-44.1953	170.0833	540	3.25	2.7	1	408030	13057	07KNSTD	0	0	0	2007	65323	2126	-	-	64661	4055	2103	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-28	Scha2015-B	Kiwi-703	-44.1960	170.0821	533	3.3	2.7	1	389060	12177	07KNSTD	0	0	0	2007	62697	1994	-	-	62082	3868	1974	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-29	Scha2015-C	MB-07-05	-44.0832	170.3300	676	1.37	2.7	1	487910	11364	07KNSTD	0	0	0	2007	68546	1625	-	-	67498	3959	1599	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-30	Scha2015-C	Kiwi-993-re	-44.1122	170.3471	615	1.74	2.7	1	434440	6612	07KNSTD	0	0	0	2007	64467	997	-	-	63614	3549	984	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-31	Scha2015-C	KIWI-X23	-44.1344	170.3457	580	3.2	2.7	1	413420	9134	07KNSTD	0	0	0	2007	63957	1463	-	-	63233	3675	1419	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-32	Scha2015-C	KIWI-X25	-44.1350	170.3462	580	1.1	2.7	1	416880	9838	07KNSTD	0	0	0	2007	63396	1521	-	-	62621	3677	1501	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-33	Scha2015-C	Kiwi-994-re	-44.1212	170.3494	600	1.88	2.7	1	333260	4967	07KNSTD	0	0	0	2007	49750	751	-	-	49179	2730	742	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-34	Scha2015-C	MB-07-04	-44.0784	170.3256	670	1.04	2.7	1	349910	8156	07KNSTD	0	0	0	2007	48867	1153	-	-	48161	2812	1136	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-35	Scha2015-D	MB-07-02	-44.1163	170.2932	630	1.84	2.7	1	447800	11556	07KNSTD	0	0	0	2007	65653	1723	-	-	64746	3865	1698	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-36	Scha2015-D	MB-07-01	-44.1162	170.2933	630	1.52	2.7	1	434830	10112	07KNSTD	0	0	0	2007	63596	1503	-	-	62708	3673	1481	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-37	Scha2015-D	MB-07-03	-44.1099	170.2881	600	2.42	2.7	1	401900	9365	07KNSTD	0	0	0	2007	60750	1438	-	-	60006	3514	1419	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-38	Scha2015-E	PL-08-12	-43.9672	170.2731	844	1.98	2.7	1	564780	13367	07KNSTD	0	0	0	2008	69396	1672	-	-	67900	3994	1635	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-39	Scha2015-E	KIWI-600	-43.9837	170.2932	860	2	2.7	1	567620	8876	07KNSTD	0	0	0	2007	68826	1095	-	-	67275	3765	1070	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-40	Scha2015-E	Kiwi-607	-43.9884	170.2890	835	4	2.7	1	581480	15700	KNSTD	0	0	0	2007	66161	1817	-	-	64779	3902	1778	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-41	Scha2015-E	PL-08-11	-43.9531	170.2664	881	1.17	2.7	1	531750	12603	07KNSTD	0	0	0	2008	62996	1517	-	-	61482	3611	1480	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-42	Scha2015-E	Kiwi-608	-43.9870	170.2890	840	6.69	2.7	1	535170	14450	KNSTD	0	0	0	2007	62003	1701	-	-	60764	3657	1666	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-43	Scha2015-F	PL-09-02	-44.1980	170.2475	535	1.9	2.7	1	444600	10202	07KNSTD	0	0	0	2009	70703	1652	-	-	70023	4100	1635	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-44	Scha2015-F	PL-09-04	-44.1981	170.2417	540	1.1	2.7	1	442970	10165	07KNSTD	0	0	0	2009	69671	1627	-	-	68949	4036	1610	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-45	Scha2015-F	PL-09-10	-44.1967	170.2477	540	1.1	2.7	1	441740	10202	07KNSTD	0	0	0	2009	69477	1633	-	-	68755	4029	1615	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-46	Scha2015-F	PL-09-12	-44.1877	170.2394	567	1.25	2.7	1	436860	10134	07KNSTD	0	0	0	2009	67215	1586	-	-	66417	3892	1567	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-47	Scha2015-F	PL-09-03	-44.2002	170.2415	537	1.57	2.7	1	398310	12981	07KNSTD	0	0	0	2009	63061	2089	-	-	62377	3929	2065	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-48	Scha2015-F	PL-09-11	-44.1925	170.2440	547	1.78	2.7	1	349580	13795	07KNSTD	0	0	0	2009	54783	2192	-	-	54234	3622	2169	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-49	Scha2015-G	ML-09-03	-43.9435	170.3660	902	0.71	2.7	1	606660	16035	07KNSTD	0	0	0	2009	70352	1893	-	-	68635	4121	1846	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-50	Scha2015-G	ML-09-02	-43.9436	170.3745	885	0.85	2.7	1	538950	17179	07KNSTD	0	0	0	2009	63473	2056	-	-	61931	3877	2005	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-51	Scha2015-H	Kiwi-509	-44.0831	170.2764	640	2.7	2.7	1	201080	4659	07KNSTD	0	0	0	2007	26678	622	-	-	29132	1691	680	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-52	Scha2015-H	Kiwi-415	-44.2118	170.2076	505	1.7	2.7	1	151810	6679	KNSTD	0	0	0	2007	22447	993	-	-	22330	1543	988	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-53	Scha2015-H	Kiwi-417	-44.2112	170.2119	505	2.3	2.7	1	147460	5456	KNSTD	0	0	0	2007	21922	816	-	-	21812	1413	811	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-54	Scha2015-H	Kiwi-513	-44.0864	170.2661	645	4.9	2.7	1	161450	7363	07KNSTD	0	0	0	2007	21802	1000	-	-	23852	1673	1094	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-55	Scha2015-H	Kiwi-421	-44.2145	170.2040	500	4.4	2.7	1	141370	4807	KNSTD	0	0	0	2007	21476	734	-	-	21401	1351	732	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-56	Scha2015-H	Kiwi-514	-44.0862	170.2661	645	4.2	2.7	1	149780	4793	07KNSTD	0	0	0	2007	20136	648	-	-	22021	1366	709	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-57	Scha2015-H	Kiwi-520	-44.0536	170.2573	700	2.28	2.7	1	141960	4969	07KNSTD	0	0	0	2007	19858	699	-	-	19662	1251	692	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-58	Scha2015-H	Kiwi-418	-44.2100	170.2135	510	1.7	2.7	1	130200	4687	KNSTD	0	0	0	2007	19212	695	-	-	19182	1231	694	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-59	Scha2015-H	Kiwi-506	-44.0731	170.2699	760	3.75	2.7	1	141980	4435	07KNSTD	0	0	0	2007	19129	600	-	-	18914	1165	594	-	-	-	-
Schaefer et al. (2015)	boulder	Scha2015-60	Scha2015-H	Kiwi-333	-44.1470	170.1120	620	2.5	2.7	1	132750	6505	KNSTD	0	0	0	2007	17985	885	-	-	17898	1295	881	-	-	-	-

Reference:
Schaefer JM, Putnam AE, Denton GH, Kaplan MR, Birkel S, Doughty AM, Kelley S, Barrell DJA, Finkel RC, Winckler G, Anderson RF, Ninneman US, Barker S, Schwartz R, Andersen BG, Schluechter C, 2015. The southern glacial maximum 65,000 years ago and its unfinished termination. Quaternary Science Reviews 114, 52-60.

Data comments:
Sampling year based on sample names and assumed to be 2007 for "Kiwi" samples.

expage.github.io
