Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Seong et al. (2007)	boulder	Seon2007-1	Seon2007-A	K2-1	35.315	75.626	2598	3	2.65	1	3490000	110000	KNSTD	0	0	0	2005	124900	4100	-	-	127527	8395	4150	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-2	Seon2007-A	K2-2	35.314	75.625	2601	3	2.65	1	4650000	70000	KNSTD	0	0	0	2005	167600	2500	-	-	174997	10501	2753	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-3	Seon2007-A	K2-3	35.314	75.625	2611	3	2.65	1	3860000	90000	KNSTD	0	0	0	2005	137500	3400	-	-	140673	8762	3398	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-4	Seon2007-A	K2-4	35.315	75.623	2598	2	2.65	1	4710000	90000	KNSTD	0	0	0	2005	170200	3400	-	-	176194	10796	3519	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-5	Seon2007-A	K2-5	35.314	75.626	2602	3	2.65	1	2940000	50000	KNSTD	0	0	0	2005	104300	1900	-	-	108235	6447	1891	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-6	Seon2007-A	K2-6	35.314	75.627	2613	2	2.65	1	4020000	110000	KNSTD	0	0	0	2005	143200	4000	-	-	145881	9353	4141	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-7	Seon2007-A	K2-7	35.317	75.621	2545	2	2.65	1	2530000	60000	KNSTD	0	0	0	2005	93000	2300	-	-	97095	5997	2359	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-8	Seon2007-A	K2-8	35.318	75.618	2557	3	2.65	1	3100000	70000	KNSTD	0	0	0	2005	113500	2800	-	-	117004	7210	2721	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-9	Seon2007-A	K2-9	35.318	75.617	2557	3	2.65	1	1910000	50000	KNSTD	0	0	0	2005	70300	1700	-	-	72666	4535	1937	-	-	-	-
Seong et al. (2007)	boulder	Seon2007-10	Seon2007-B	K2-12	35.677	75.469	2950	2	2.65	1	580000	10000	KNSTD	0	0	0	2005	16100	400	-	-	19260	1123	334	-	-	-	-
