Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Smith and Rodbell (2010)	boulder	SmiRod2010-1	SmiRod2010-A	PE05-JEU-17	-10.00170	-77.27643	4316	3	2.7	0.970	3337554	155696	KNSTD	0	0	0	2005	65025	3370	-	-	72615	5357	3450	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-2	SmiRod2010-A	PE05-JEU-21	-10.00177	-77.27718	4304	2	2.7	0.960	2960900	63800	KNSTD	0	0	0	2005	58073	1755	-	-	64707	3910	1417	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-3	SmiRod2010-A	PE05-JEU-19	-10.00162	-77.27645	4327	2	2.7	0.980	1869318	71526	07KNSTD	0	0	0	2005	39127	1716	-	-	42773	2911	1654	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-4	SmiRod2010-A	PE05-JEU-18	-10.00172	-77.27648	4314	2	2.7	0.980	2037559	74567	KNSTD	0	0	0	2005	38927	1650	-	-	42503	2853	1572	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-5	SmiRod2010-A	PE05-JEU-24	-9.99897	-77.27605	4332	2	2.7	0.980	3091800	189100	KNSTD	0	0	0	2005	58615	3839	-	-	65224	5472	4055	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-6	SmiRod2010-A	PE05-JEU-23	-9.99897	-77.27605	4332	4	2.7	0.960	2859600	76700	KNSTD	0	0	0	2005	55624	1906	-	-	62728	3923	1709	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-7	SmiRod2010-A	PE05-JEU-26	-9.99912	-77.27622	4333	3	2.7	0.970	1893900	42100	KNSTD	0	0	0	2005	37315	1140	-	-	40587	2448	911	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-8	SmiRod2010-B	PE05-JEU-10	-10.00125	-77.27318	4424	3	2.7	0.960	2384800	57884	07KNSTD	0	0	0	2005	46594	1499	-	-	54617	3350	1344	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-9	SmiRod2010-B	PE05-JEU-06	-10.00420	-77.27355	4352	2	2.7	0.910	1946793	82754	07KNSTD	0	0	0	2005	41959	2002	-	-	47153	3332	2028	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-10	SmiRod2010-B	PE05-JEU-05	-10.00445	-77.27382	4354	2	2.7	0.980	1433486	43054	07KNSTD	0	0	0	2005	31886	1170	-	-	34710	2207	1052	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-11	SmiRod2010-B	PE05-JEU-08	-10.00203	-77.27337	4407	2	2.7	0.950	1425012	25187	KNSTD	0	0	0	2005	29223	798	-	-	31927	1872	569	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-12	SmiRod2010-B	PE05-JEU-09	-10.00172	-77.27332	4403	2	2.7	0.980	1275265	22909	07KNSTD	0	0	0	2005	28327	779	-	-	30867	1812	559	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-13	SmiRod2010-B	PE05-JEU-07	-10.00392	-77.27342	4362	2	2.7	0.980	1321400	57100	KNSTD	0	0	0	2005	27351	1318	-	-	29693	2102	1293	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-14	Glas2009-A	PE05-JEU-02	-10.00885	-77.27095	4330	1	2.7	0.990	604234	27476	07KNSTD	0	0	0	2005	14852	744	-	-	16879	1215	771	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-15	Glas2009-A	PE05-JEU-04	-9.99908	-77.27152	4457	2	2.7	0.980	673900	50100	KNSTD	0	0	0	2005	14307	1108	-	-	16321	1520	1218	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-16	Glas2009-A	PE05-JEU-12	-9.99928	-77.27158	4453	3	2.7	0.970	627900	17100	KNSTD	0	0	0	2005	13619	466	-	-	15532	963	425	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-17	Glas2009-A	PE05-JEU-03	-10.00178	-77.27167	4445	4	2.7	0.960	590300	24200	KNSTD	0	0	0	2005	13091	602	-	-	14983	1037	617	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-18	Glas2009-A	PE07-JEU-13	-10.00140	-77.26553	4456	3	2.7	0.996	635828	16281	07KNSTD	0	0	0	2007	14798	488	-	-	16859	1034	434	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-19	Glas2009-A	PE07-JEU-11	-9.99775	-77.25658	4547	3	2.7	0.998	533429	22800	07KNSTD	0	0	0	2007	11783	560	-	-	13716	963	588	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-20	Glas2009-A	PE07-JEU-10	-9.99753	-77.25605	4554	2	2.7	0.998	521536	18917	07KNSTD	0	0	0	2007	11348	474	-	-	13261	881	483	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-21	Glas2009-A	PE07-JEU-12	-9.99812	-77.25745	4534	3	2.7	0.998	494620	17742	07KNSTD	0	0	0	2007	10947	454	-	-	12765	845	459	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-22	Glas2009-A	PE07-JEU-15	-10.00353	-77.26628	4404	4	2.7	0.923	319329	13581	07KNSTD	0	0	0	2007	7993	378	-	-	9264	649	395	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-23	Glas2009-B	PE05-JEU-16	-10.00597	-77.27005	4328	2	2.7	0.970	5426096	88565	KNSTD	0	0	0	2005	102488	2760	-	-	115574	6873	1942	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-24	Glas2009-B	PE05-JEU-14	-10.00690	-77.27000	4300	2.5	2.7	0.970	1425012	25187	KNSTD	0	0	0	2005	30224	825	-	-	32919	1931	587	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-25	Glas2009-B	PE05-JEU-27	-10.00777	-77.26888	4283	2	2.7	0.960	760993	47383	KNSTD	0	0	0	2005	17714	1167	-	-	19819	1660	1240	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-26	Glas2009-B	PE07-JEU-04	-10.00632	-77.26800	4317	2	2.7	0.995	628451	20119	07KNSTD	0	0	0	2007	15546	594	-	-	17638	1134	567	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-27	Glas2009-B	PE07-JEU-02	-10.00730	-77.26870	4295	2	2.7	0.994	598999	32432	07KNSTD	0	0	0	2007	15052	875	-	-	17064	1328	928	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-28	Glas2009-B	PE07-JEU-03	-10.00647	-77.26820	4308	2	2.7	0.995	584865	16905	07KNSTD	0	0	0	2007	14607	520	-	-	16574	1040	481	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-29	Glas2009-B	PE05-JEU-15	-10.00597	-77.27005	4328	2	2.7	0.970	520900	19500	KNSTD	0	0	0	2005	11900	510	-	-	13741	922	516	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-30	Glas2009-D	PE07-JEU-08	-10.00432	-77.26933	4291	3	2.7	0.991	560507	20401	07KNSTD	0	0	0	2007	14315	600	-	-	16212	1079	592	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-31	Glas2009-D	PE07-JEU-07	-10.00445	-77.26905	4293	3	2.7	0.991	555413	27686	07KNSTD	0	0	0	2007	14177	767	-	-	16051	1201	803	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-32	Glas2009-D	PE07-JEU-05	-10.00467	-77.26867	4282	3	2.7	0.988	480831	25931	07KNSTD	0	0	0	2007	12353	715	-	-	14174	1100	767	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-33	Glas2009-D	PE07-JEU-09	-10.00427	-77.26937	4297	2	2.7	0.991	455190	11978	07KNSTD	0	0	0	2007	11402	382	-	-	13187	812	348	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-34	Glas2009-D	PE07-JEU-06	-10.00468	-77.26853	4283	2	2.7	0.988	438231	18786	07KNSTD	0	0	0	2007	11078	528	-	-	12803	900	551	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-35	SmiRod2010-C	PE07-QUE-18	-10.00973	-77.25700	4302	3	2.7	0.920	582767	29216	07KNSTD	0	0	0	2007	15802	860	-	-	17922	1345	903	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-36	SmiRod2010-C	PE07-QUE-17	-10.00962	-77.25598	4316	2	2.7	0.980	543594	24917	07KNSTD	0	0	0	2007	13750	693	-	-	15609	1127	718	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-37	SmiRod2010-D	PE05-JEU-33	-10.01558	-77.25968	4268	2	2.7	0.980	714402	18068	07KNSTD	0	0	0	2005	18127	593	-	-	20162	1234	512	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-38	SmiRod2010-D	PE05-JEU-34	-10.01598	-77.25907	4280	1	2.7	0.990	711106	23540	07KNSTD	0	0	0	2005	17645	690	-	-	19764	1282	658	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-39	SmiRod2010-D	PE05-JEU-35	-10.01575	-77.25748	4299	1	2.7	0.990	625549	29502	07KNSTD	0	0	0	2005	15565	804	-	-	17666	1291	837	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-40	SmiRod2010-D	PE05-JEU-36	-10.01555	-77.25530	4339	1	2.7	0.980	721218	24515	07KNSTD	0	0	0	2005	17532	699	-	-	19697	1287	673	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-41	SmiRod2010-E	PE05-JEU-37	-10.01007	-77.25502	4331	1	2.7	0.980	643189	29220	07KNSTD	0	0	0	2005	15867	794	-	-	18028	1298	823	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-42	SmiRod2010-E	PE07-QUE-25	-10.01013	-77.25537	4330	1	2.7	0.998	591249	29183	07KNSTD	0	0	0	2007	14439	775	-	-	16411	1223	813	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-43	SmiRod2010-E	PE07-QUE-03	-10.01358	-77.25583	4311	2	2.7	0.999	583454	25927	07KNSTD	0	0	0	2007	14496	712	-	-	16448	1173	734	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-44	SmiRod2010-E	PE07-QUE-05	-10.01503	-77.25343	4361	2	2.7	0.999	586920	20058	07KNSTD	0	0	0	2007	14218	569	-	-	16154	1056	554	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-45	SmiRod2010-E	PE07-QUE-09	-10.01413	-77.25502	4350	2	2.7	0.999	540003	19276	07KNSTD	0	0	0	2007	13160	544	-	-	15024	994	538	-	-	-	-
Smith and Rodbell (2010)	boulder	SmiRod2010-46	SmiRod2010-E	PE07-QUE-02	-10.01355	-77.25695	4308	2	2.7	0.988	396555	22563	07KNSTD	0	0	0	2007	9842	597	-	-	11414	909	651	-	-	-	-
