Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Smith et al. (2005a)	bedrock	Smit2005a-1	Smit2005a-A	AL001	-11.04742	-75.89588	4404	5	2.65	0.96	610365	22965	KNSTD	0	0	0	2000	14200	500	-	-	15789	1062	596	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	bedrock	Smit2005a-2	Smit2005a-A	AL002	-11.04910	-75.89688	4409	5	2.65	0.96	546661	21896	KNSTD	0	0	0	2000	12700	500	-	-	14255	978	573	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-3	Smit2005a-A	AL003	-11.04922	-75.89680	4408	5	2.65	0.96	608567	29048	LLNL3000	0	0	0	2000	14200	700	-	-	15084	1107	723	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-4	Smit2005a-A	AL004	-11.04943	-75.89682	4412	5	2.65	0.96	1288531	22142	LLNL3000	0	0	0	2000	30000	500	-	-	28365	1657	491	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-5	Smit2005a-A	AL005	-11.04958	-75.89307	4409	5	2.65	0.96	792838	27618	LLNL3000	0	0	0	2000	18500	600	-	-	19155	1260	670	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-6	Smit2005a-A	PE01-ALC-01	-11.04758	-75.89595	4401	5	2.65	0.96	728963	26741	KNSTD	0	0	0	2001	17000	600	-	-	18624	1243	686	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-7	Smit2005a-A	PE01-ALC-02	-11.04811	-75.89609	4392	5	2.65	0.96	606534	23615	KNSTD	0	0	0	2001	14200	600	-	-	15781	1073	617	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-8	Smit2005a-B	AL006	-11.06585	-75.92967	4390	5	2.65	0.96	816948	20964	LLNL3000	0	0	0	2000	19200	500	-	-	19713	1210	508	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-9	Smit2005a-B	AL007	-11.06568	-75.92970	4391	5	2.65	0.96	659262	16624	LLNL3000	0	0	0	2000	15500	400	-	-	16384	1002	415	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-10	Smit2005a-B	AL010	-11.06587	-75.92925	4384	5	2.65	0.96	782421	19693	LLNL3000	0	0	0	2001	18400	500	-	-	19131	1170	484	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-11	Smit2005a-B	PE01-ALC-03	-11.06800	-75.92772	4390	5	2.65	0.96	694855	23806	KNSTD	0	0	0	2001	16300	600	-	-	17940	1174	617	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-12	Smit2005a-B	PE01-ALC-04	-11.06800	-75.92772	4390	5	2.65	0.96	721570	23558	KNSTD	0	0	0	2001	16900	600	-	-	18541	1198	608	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-13	Smit2005a-B	PE01-ALC-05	-11.06801	-75.92763	4383	5	2.65	0.96	944518	27363	KNSTD	0	0	0	2001	22300	600	-	-	22932	1442	668	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-14	Smit2005a-B	PE01-ALC-06	-11.06801	-75.92763	4383	5	2.65	0.96	702297	25297	KNSTD	0	0	0	2001	16500	600	-	-	18167	1206	657	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-15	Smit2005a-B	PE01-ALC-07	-11.06810	-75.92739	4389	5	2.65	0.96	1265694	35996	KNSTD	0	0	0	2001	29800	800	-	-	29298	1838	839	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-16	Smit2005a-C	PE01-ALC-23	-11.06814	-75.93740	4376	5	2.65	0.96	673641	28423	LLNL3000	0	0	0	2001	15900	700	-	-	16838	1178	713	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-17	Smit2005a-C	PE01-ALC-24	-11.06948	-75.93837	4374	5	2.65	0.96	668133	38020	LLNL3000	0	0	0	2001	15800	900	-	-	16724	1334	956	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-18	Smit2005a-C	PE01-ALC-25	-11.06976	-75.93840	4364	5	2.65	0.96	662838	28266	LLNL3000	0	0	0	2001	15700	700	-	-	16675	1171	714	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-19	Smit2005a-C	PE02-ALC-01	-11.07017	-75.93790	4377	3	2.65	0.97	689891	39282	LLNL3000	0	0	0	2002	16000	900	-	-	16818	1342	962	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-20	Smit2005a-C	PE02-ALC-02	-11.07086	-75.93777	4377	2	2.65	0.98	1126203	33318	LLNL3000	0	0	0	2002	25900	800	-	-	24813	1568	739	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-21	Smit2005a-C	PE02-ALC-03	-11.07088	-75.93802	4382	3	2.65	0.97	777716	27012	LLNL3000	0	0	0	2002	18000	600	-	-	18680	1227	652	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-22	Smit2005a-C	PE02-ALC-04	-11.07086	-75.93842	4375	2	2.65	0.98	2415451	59474	LLNL3000	0	0	0	2002	56100	1400	-	-	46226	2836	1151	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-23	Smit2005a-C	PE02-ALC-05	-11.07057	-75.93813	4380	3	2.65	0.97	658470	23310	LLNL3000	0	0	0	2002	15200	500	-	-	16057	1060	571	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-24	Smit2005a-C	PE01-ALC-26	-11.07049	-75.93711	4378	5	2.65	0.96	871391	38648	LLNL3000	0	0	0	2001	20600	900	-	-	20720	1478	924	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-25	Smit2005a-C	PE01-ALC-27	-11.07201	-75.93779	4383	5	2.65	0.96	1452355	63767	LLNL3000	0	0	0	2001	34300	1500	-	-	31808	2267	1408	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-26	Smit2005a-C	PE01-ALC-28	-11.07201	-75.93793	4388	5	2.65	0.96	1430707	65177	LLNL3000	0	0	0	2001	33700	1500	-	-	31334	2265	1439	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-27	Smit2005a-C	PE01-ALC-29	-11.07184	-75.93812	4385	5	2.65	0.96	1438045	69230	LLNL3000	0	0	0	2001	34000	1600	-	-	31512	2331	1529	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-28	Smit2005a-D	PE01-ANT-01	-11.02836	-75.95344	4292	5	2.65	0.96	664485	23426	KNSTD	4007808	124745	KNSTD	2001	16300	600	16100	500	17993	1187	637	17989	1319	565	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-29	Smit2005a-D	PE01-ANT-02	-11.02815	-75.95407	4296	5	2.65	0.94	696569	19535	KNSTD	3780835	129388	KNSTD	2001	17300	500	15400	500	19026	1187	536	17357	1297	599	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-30	Smit2005a-D	PE01-ANT-03	-11.03112	-75.95428	4281	5	2.65	0.95	701761	21242	KNSTD	4116637	189753	KNSTD	2001	17400	500	16700	800	19089	1211	581	18663	1511	868	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-31	Smit2005a-D	PE01-ANT-04	-11.03139	-75.95499	4281	5	2.65	0.95	722873	29537	KNSTD	4355695	140114	KNSTD	2001	17900	700	17700	600	19522	1351	802	19503	1440	633	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-32	Smit2005a-D	PE01-ANT-05	-11.03213	-75.95434	4279	5	2.65	0.96	619946	20913	KNSTD	3801507	145955	KNSTD	2001	15300	500	15400	600	16987	1107	575	17238	1323	667	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-33	Smit2005a-D	PE01-ANT-06	-11.03213	-75.95434	4279	5	2.65	0.96	631806	19506	KNSTD	3634944	122091	KNSTD	2001	15600	500	14700	500	17285	1101	536	16531	1230	560	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-34	Smit2005a-D	PE01-ANT-07	-11.03170	-75.95367	4286	5	2.65	0.96	675979	24893	KNSTD	3866614	171264	KNSTD	2001	16600	600	15600	700	18314	1224	678	17455	1395	780	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-35	Smit2005a-E	PE01-CAL-01	-10.95406	-75.98967	4259	5	2.65	0.95	623857	29826	KNSTD	2719899	183767	KNSTD	2001	15700	800	11200	800	17412	1280	836	12747	1209	867	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-36	Smit2005a-E	PE01-CAL-02	-10.95410	-75.98957	4255	5	2.65	0.96	604394	25020	KNSTD	0	0	0	2001	15100	600	-	-	16780	1166	698	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-37	Smit2005a-E	PE01-CAL-03	-10.95436	-75.98943	4252	5	2.65	0.96	747727	39167	KNSTD	4319980	281208	KNSTD	2001	18700	1000	17700	1200	20063	1538	1056	19440	1815	1278	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-38	Smit2005a-E	PE01-CAL-04	-10.95472	-75.98924	4256	5	2.65	0.95	597936	22533	KNSTD	0	0	0	2001	15000	600	-	-	16768	1128	635	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-39	Smit2005a-E	PE01-CAL-05	-10.95378	-75.99014	4263	5	2.65	0.96	565268	24211	KNSTD	0	0	0	2001	14100	600	-	-	15669	1102	674	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-40	Smit2005a-E	PE01-CAL-06	-10.95403	-75.99020	4269	5	2.65	0.93	610925	70080	LLNL3000	0	0	0	2001	15600	1800	-	-	16631	2128	1916	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-41	Smit2005a-E	PE01-CAL-07	-10.95496	-75.98976	4260	5	2.65	0.96	592554	54628	KNSTD	3974092	307785	KNSTD	2001	14800	1400	16300	1300	16428	1774	1521	18106	1855	1415	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-42	Smit2005a-F	PE01-CAL-08	-10.96371	-76.00051	4255	5	2.65	0.96	655321	21132	KNSTD	4101349	133137	KNSTD	2001	16400	500	16800	500	18065	1163	585	18639	1378	611	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-43	Smit2005a-F	PE01-CAL-09	-10.96286	-76.00080	4259	5	2.65	0.96	683076	26888	KNSTD	0	0	0	2001	17000	700	-	-	18688	1276	739	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-44	Smit2005a-F	PE01-CAL-10	-10.96260	-76.00067	4265	5	2.65	0.96	765405	26088	KNSTD	0	0	0	2001	19100	600	-	-	20300	1327	695	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-45	Smit2005a-F	PE01-CAL-11	-10.96431	-76.00017	4252	5	2.65	0.96	727292	25382	KNSTD	0	0	0	2001	18200	600	-	-	19667	1294	690	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-46	Smit2005a-F	PE01-CAL-12	-10.96435	-76.00010	4256	5	2.65	0.96	842316	75202	LLNL3000	0	0	0	2001	21000	1900	-	-	21132	2232	1897	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-47	Smit2005a-F	PE01-CAL-13	-10.96537	-75.99973	4267	5	2.65	0.96	710268	25200	KNSTD	1913955	57420	KNSTD	2001	17600	600	7800	200	19216	1271	685	8424	611	254	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-48	Smit2005a-F	PE01-CAL-14	-10.96567	-76.00018	4254	5	2.65	0.96	752537	26690	KNSTD	0	0	0	2001	18800	700	-	-	20136	1332	718	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-49	Smit2005a-G	PE01-ANT-08	-11.03661	-75.96245	4275	5	2.65	0.96	1128489	29609	KNSTD	6658807	188206	KNSTD	2001	28000	700	27100	800	27887	1722	737	27390	1985	785	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-50	Smit2005a-G	PE01-ANT-09	-11.03717	-75.96196	4274	5	2.65	0.96	1133378	29743	KNSTD	6565702	197339	KNSTD	2001	28100	700	26800	800	27999	1729	740	27084	1983	825	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-51	Smit2005a-G	PE01-ANT-10	-11.03749	-75.96216	4267	5	2.65	0.96	1183802	30700	KNSTD	6802131	184911	KNSTD	2001	29500	800	27900	800	29137	1796	761	27968	2016	771	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-52	Smit2005a-G	PE01-ANT-11	-11.03798	-75.96332	4266	5	2.65	0.96	1297619	37409	KNSTD	8186830	245569	KNSTD	2001	32300	900	33600	1000	31553	1987	917	32816	2408	1000	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-53	Smit2005a-G	PE01-ANT-12	-11.03762	-75.96321	4269	5	2.65	0.96	1269621	35289	KNSTD	7122297	226274	KNSTD	2001	31600	900	29100	900	30927	1932	866	29057	2151	936	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-54	Smit2005a-G	PE01-ANT-13	-11.03813	-75.96326	4265	5	2.65	0.96	1218188	31432	KNSTD	7238295	190440	KNSTD	2001	30300	800	29700	800	29893	1841	777	29516	2119	788	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-55	Smit2005a-G	PE01-ANT-14	-11.03959	-75.96535	4264	5	2.65	0.96	1050870	28084	KNSTD	5700442	245522	KNSTD	2001	26200	700	23300	1000	26399	1635	710	24155	1920	1053	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-56	Smit2005a-G	PE01-ANT-15	-11.04043	-75.96504	4262	5	2.65	0.96	1305840	33568	KNSTD	7203248	238667	KNSTD	2001	32600	800	29600	1000	31778	1957	823	29429	2197	989	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-57	Smit2005a-H	PE01-CAL-17	-10.97162	-76.02452	4315	5	2.65	0.96	1421663	42149	KNSTD	0	0	0	2001	34700	1000	-	-	33393	2116	998	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-58	Smit2005a-H	PE01-CAL-18	-10.97133	-76.02405	4317	5	2.65	0.96	948196	31343	KNSTD	0	0	0	2001	23100	800	-	-	23683	1537	788	-	-	-	Smith et al. (2005b)
Smith et al. (2005a)	boulder	Smit2005a-59	Smit2005a-H	PE01-CAL-15	-10.97172	-76.02449	4314	5	2.65	0.96	2795390	67880	KNSTD	0	0	0	2001	69000	1700	-	-	62266	3826	1536	-	-	-	-
Smith et al. (2005a)	boulder	Smit2005a-60	Smit2005a-H	PE01-CAL-16	-10.97157	-76.02452	4315	5	2.65	0.96	2451802	47626	KNSTD	0	0	0	2001	60000	1200	-	-	54289	3232	1069	-	-	-	-
Smith et al. (2005a)	boulder	Smit2005a-61	Smit2005a-H	PE01-CAL-19	-10.97133	-76.02414	4313	5	2.65	0.96	5549275	95110	KNSTD	0	0	0	2001	139000	2400	-	-	122036	7299	2157	-	-	-	-
Smith et al. (2005a)	boulder	Smit2005a-62	Smit2005a-H	PE02-CAL-01	-10.98176	-76.03191	4227	2	2.65	0.98	8222607	199936	LLNL3000	0	0	0	2002	212000	5100	-	-	180881	11456	4603	-	-	-	-
Smith et al. (2005a)	boulder	Smit2005a-63	Smit2005a-H	PE02-CAL-02	-10.98195	-76.03198	4230	5	2.65	0.96	5622621	138791	LLNL3000	0	0	0	2002	146000	3600	-	-	123117	7703	3134	-	-	-	-
Smith et al. (2005a)	boulder	Smit2005a-64	Smit2005a-H	PE02-CAL-03	-10.98196	-76.03195	4230	1	2.65	0.99	5560751	136757	LLNL3000	0	0	0	2002	139000	3400	-	-	115569	7213	2926	-	-	-	-
Smith et al. (2005a)	boulder	Smit2005a-65	Smit2005a-H	PE02-CAL-04	-10.98186	-76.03294	4218	1	2.65	0.99	10902880	273589	LLNL3000	0	0	0	2002	284000	7100	-	-	230406	14855	6128	-	-	-	-
Smith et al. (2005a)	boulder	Smit2005a-66	Smit2005a-H	PE02-CAL-05	-10.98202	-76.03337	4215	3	2.65	0.98	2918457	91811	LLNL3000	0	0	0	2002	74000	2300	-	-	63008	4079	2014	-	-	-	-
Smith et al. (2005a)	boulder	Smit2005a-67	Smit2005a-H	PE02-CAL-06	-10.98236	-76.03382	4220	3	2.65	0.98	10053777	201444	LLNL3000	0	0	0	2002	265000	5300	-	-	215373	13399	4556	-	-	-	-
