Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Spector et al. (2017)	cobble	Spec2017-1	Spec2017-A	10-BDM-027-KYF	-83.7836	171.8221	1000.4	5	2.63	1	653900	17600	07KNSTD	0	0	0	2010	52265	4585	-	-	50813	3517	1385	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-2	Spec2017-B	10-BDM-030-KYF	-83.7845	171.7803	1051.4	5	2.64	0.999	222300	6800	07KNSTD	0	0	0	2010	16870	1487	-	-	16292	1143	500	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-3	Spec2017-B	10-BDM-031-KYF	-83.7842	171.7771	1046.8	3	2.55	0.999	379000	10900	07KNSTD	0	0	0	2010	28466	2499	-	-	27548	1916	798	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-4	Spec2017-B	10-BDM-032-KYF	-83.7841	171.7782	1044.9	4.8	2.63	0.997	276300	7300	07KNSTD	0	0	0	2010	21110	1834	-	-	20421	1399	542	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-5	Spec2017-B	10-BDM-033-KYF	-83.7841	171.7782	1044.9	3	2.58	0.997	257300	7400	07KNSTD	0	0	0	2010	19367	1696	-	-	18702	1298	540	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-6	Spec2017-B	10-BDM-043-KYF	-83.7841	171.7768	1048.5	2	2.66	0.999	303300	9700	07KNSTD	0	0	0	2010	22548	2002	-	-	21792	1544	701	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-7	Spec2017-C	10-BDM-042-KYF	-83.7845	171.8064	1022.1	4.3	2.58	0.998	215800	5800	07KNSTD	0	0	0	2010	16691	1451	-	-	16151	1108	436	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-8	Spec2017-D	10-BDM-058-HOP	-83.5134	171.2863	826.9	3	2.65	1	2065100	54100	07KNSTD	0	0	0	2010	195907	17775	-	-	191911	13708	5277	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-9	Spec2017-D	10-BDM-060-HOP	-83.5139	171.2855	823.9	5	2.72	0.999	155000	5200	07KNSTD	0	0	0	2010	14353	1280	-	-	13997	1000	471	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-10	Spec2017-E	10-BDM-062-HOP	-83.5191	171.3055	763.6	8	2.6	0.999	135200	4200	07KNSTD	0	0	0	2010	13506	1192	-	-	13218	929	412	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-11	Spec2017-F	10-BDM-064-HOP	-83.5196	171.3128	723.1	5.5	2.66	0.993	158500	4500	07KNSTD	0	0	0	2010	16227	1418	-	-	15916	1101	454	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-12	Spec2017-F	07-SCT-185-HOP	-83.5196	171.3128	723.1	6	2.7	0.995	124300	2300	07KNSTD	0	0	0	2007	12754	1079	-	-	12487	820	232	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-13	Spec2017-G	10-BDM-067-HOP	-83.5195	171.3311	618.8	6.8	2.61	0.995	100200	3100	07KNSTD	0	0	0	2010	11354	1001	-	-	11159	784	346	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-14	Spec2017-G	10-BDM-068-HOP	-83.5200	171.3363	602.7	6.5	2.62	0.997	102600	3100	07KNSTD	0	0	0	2010	11758	1034	-	-	11567	809	351	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-15	Spec2017-H	10-BDM-072-HOP	-83.5191	171.3730	518.9	4.8	2.73	1	90400	3700	07KNSTD	0	0	0	2010	11031	1017	-	-	10872	817	446	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-16	Spec2017-H	10-BDM-074-HOP	-83.5185	171.3729	503.5	2.5	2.6	0.997	92800	2800	07KNSTD	0	0	0	2010	11304	994	-	-	11128	778	337	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-17	Spec2017-I	10-BDM-075-HOP	-83.5176	171.3979	449.1	4.5	2.64	0.998	135600	4100	07KNSTD	0	0	0	2010	17686	1557	-	-	17522	1227	532	-	-	-	-
Spector et al. (2017)	cobble	Spec2017-18	Spec2017-I	10-BDM-077-HOP	-83.5172	171.3953	449.4	8.5	2.66	0.998	68500	2100	07KNSTD	0	0	0	2010	9203	810	-	-	9082	636	279	-	-	-	-
