Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Strand et al. (2022)	boulder	Stra2022-1	Stra2022-A	HOTON-14-22	48.700661	88.380231	2482.52	1.351	2.7	0.99476	678403	11922	07KNSTD	0	0	0	2014	24490	430	-	-	22367	1440	395	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-2	Stra2022-A	HOTON-14-23	48.701751	88.379323	2485.78	1.129	2.7	0.98879	816398	14546	07KNSTD	0	0	0	2014	29570	530	-	-	26737	1725	480	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-3	Stra2022-A	HOTON-14-24	48.705214	88.375048	2482.57	1.198	2.7	0.99698	980879	18889	07KNSTD	0	0	0	2014	35380	690	-	-	31839	2071	618	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-4	Stra2022-A	HOTON-14-26	48.707102	88.372132	2480.45	1.612	2.7	0.99949	2151440	51916	07KNSTD	0	0	0	2014	78640	1940	-	-	70139	4721	1723	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-5	Stra2022-A	HOTON-14-28	48.707363	88.370526	2472.94	1.321	2.7	0.99906	967987	18377	07KNSTD	0	0	0	2014	35110	670	-	-	31607	2053	605	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-6	Stra2022-A	HOTON-14-29	48.708839	88.368647	2473.64	0.824	2.7	0.99803	2588668	36679	07KNSTD	0	0	0	2014	94950	1380	-	-	84510	5454	1223	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-7	Stra2022-A	HOTON-14-31	48.715740	88.353813	2483.89	1.212	2.7	0.97711	974598	19472	07KNSTD	0	0	0	2014	35840	720	-	-	32257	2105	650	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-8	Stra2022-B	HOTON-14-33	48.710828	88.353851	2462.97	1.675	2.7	0.9995	1021727	24031	07KNSTD	0	0	0	2014	37420	890	-	-	33759	2244	801	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-9	Stra2022-B	HOTON-14-34	48.705358	88.369819	2460.63	1.293	2.7	0.99985	634440	8424	07KNSTD	0	0	0	2014	23110	310	-	-	21215	1343	283	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-10	Stra2022-B	HOTON-14-35	48.701765	88.372891	2454.77	1.012	2.7	0.99842	619322	11581	07KNSTD	0	0	0	2014	22630	430	-	-	20808	1346	391	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-11	Stra2022-B	HOTON-14-36	48.699841	88.374645	2452.3	1.392	2.7	0.99635	659539	12329	07KNSTD	0	0	0	2014	24280	460	-	-	22214	1437	418	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-12	Stra2022-B	HOTON-14-37	48.699712	88.374490	2453.19	1.12	2.7	0.9995	631490	11825	07KNSTD	0	0	0	2014	23100	440	-	-	21211	1372	399	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-13	Stra2022-C	HOTON-15-104	48.699541	88.369724	2432.32	1.112	2.7	0.9999	579128	15898	07KNSTD	0	0	0	2015	21470	590	-	-	19829	1343	547	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-14	Stra2022-C	HOTON-15-105	48.699696	88.369583	2432.72	1.219	2.7	0.9999	623770	11683	07KNSTD	0	0	0	2015	23150	440	-	-	21274	1377	401	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-15	Stra2022-C	HOTON-15-106	48.700097	88.368895	2432.13	0.728	2.7	0.99846	993184	18594	07KNSTD	0	0	0	2015	36890	700	-	-	33328	2163	629	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-16	Stra2022-C	HOTON-15-109	48.704968	88.362318	2443.76	1.403	2.7	0.99756	711405	13502	07KNSTD	0	0	0	2015	26320	500	-	-	23990	1555	458	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-17	Stra2022-D	HOTON-14-08	48.681834	88.367139	2330.69	1.63	2.7	0.99014	517523	13731	07KNSTD	0	0	0	2014	20870	560	-	-	19409	1308	517	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-18	Stra2022-D	HOTON-14-09	48.682589	88.367695	2334.76	1.55	2.7	0.97968	519051	9623	07KNSTD	0	0	0	2014	21080	390	-	-	19590	1266	365	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-19	Stra2022-D	HOTON-14-10	48.683063	88.368107	2332.87	1.42	2.7	0.98549	513547	10218	07KNSTD	0	0	0	2014	20730	420	-	-	19291	1254	386	-	-	-	-
Strand et al. (2022)	boulder	Stra2022-20	Stra2022-D	HOTON-14-11	48.685527	88.367852	2340.99	1.71	2.7	0.99926	500678	8680	07KNSTD	0	0	0	2014	19870	350	-	-	18526	1191	323	-	-	-	-
