Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Stroeven et al. (in press)	bedrock	StroeInpress-1	StroeInpress-A	98-04	67.920	18.199	1480	1	2.65	1	222219	12762	NIST_Certified	0	0	0	1998	13648	859	-	-	13670	982	788	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-2	StroeInpress-B	98-06	67.2412	17.6770	1290	0.5	2.65	0.9963	179327	19004	NIST_30200	0	0	0	1998	11468	1253	-	-	11493	1317	1221	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-3	StroeInpress-B	98-21	67.2314	17.6780	1290	0.5	2.65	0.9963	276831	15799	NIST_30200	0	0	0	1998	17790	1116	-	-	17829	1277	1022	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-3	StroeInpress-B	98-21	67.2314	17.6780	1290	0.5	2.65	0.9963	259285	17295	NIST_Certified	0	0	0	1998	18788	1347	-	-	18828	1498	1262	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-4	StroeInpress-C	98-07	67.65058	18.41000	1040	1	2.65	0.9749	38023	17562	NIST_Certified	0	0	0	1998	3426	1586	-	-	3439	1596	1590	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-5	StroeInpress-C	98-08	67.65058	18.41000	1070	0.5	2.65	0.9992	313950	15203	NIST_Certified	0	0	0	1998	27440	1510	-	-	27521	1789	1342	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-5	StroeInpress-C	98-08	67.65058	18.41000	1070	0.5	2.65	0.9992	339259	75265	NIST_30200	0	0	0	1998	26301	5912	-	-	26378	5999	5891	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-6	StroeInpress-D	98-12	67.92973	18.88982	890	2	2.65	0.9987	107447	14490	NIST_Certified	0	0	0	1998	11014	1515	-	-	11062	1569	1496	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-7	Stroe2002b-A	98-16	68.40075	18.31198	700	2	2.65	0.9799	68271	7610	NIST_Certified	0	0	0	1998	8375	959	-	-	8422	1008	941	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-8	StroeInpress-E	98-18	67.18845	18.89735	920	5	2.65	1	108583	13685	NIST_Certified	0	0	0	1998	11126	1434	-	-	11184	1492	1413	-	-	-	-
