Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Todd et al. (2010)	boulder/cobble	Todd2010-1	Todd2010-A	03-RDY-005-QZH	-85.90023	-132.78708	1403	3.5	2.65	0.989	718000	15000	KNSTD	0	0	0	2003	32700	2900	-	-	35395	1698	746	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-2	Todd2010-A	03-RDY-007-QZH	-85.90123	-132.75317	1401	7	2.65	0.991	303000	7000	KNSTD	0	0	0	2003	14100	1300	-	-	15245	743	354	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-3	Todd2010-A	03-RDY-008-QZH	-85.90123	-132.75317	1400	6.5	2.65	0.991	1237000	24000	KNSTD	0	0	0	2003	58000	5200	-	-	63118	3008	1244	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-4	Todd2010-A	03-RDY-009-QZH	-85.90322	-132.69650	1363	8.5	2.65	0.983	319000	7000	KNSTD	0	0	0	2003	15600	1400	-	-	16964	818	374	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-5	Todd2010-A	03-RDY-021-QZH	-85.90260	-132.69640	1353	6	2.65	0.989	688000	19000	KNSTD	0	0	0	2003	33300	3100	-	-	36218	1859	1009	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-6	Todd2010-A	03-RDY-019-QZH	-85.90360	-132.68273	1359	8.5	2.65	0.990	337000	10000	KNSTD	0	0	0	2003	16500	1500	-	-	17867	933	533	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-7	Todd2010-A	03-RDY-024-QZH	-85.90448	-132.54638	1391	8	2.65	0.999	363000	9000	KNSTD	0	0	0	2003	17000	1500	-	-	18473	917	460	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-8	Todd2010-A	03-RDY-025-QZH	-85.90448	-132.54638	1391	6	2.65	0.999	1154000	22000	KNSTD	0	0	0	2003	53800	4800	-	-	58560	2780	1133	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-9	Todd2010-A	03-RDY-026-QZH	-85.90453	-132.51820	1392	5.5	2.65	0.999	1301000	19000	KNSTD	0	0	0	2003	60500	5400	-	-	65815	3020	977	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-10	Todd2010-A	03-RDY-027-QZH	-85.90453	-132.49523	1399	7.5	2.65	0.989	328000	8000	KNSTD	0	0	0	2003	15400	1400	-	-	16654	823	408	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-11	Todd2010-A	03-RDY-077-QZH	-85.90452	-132.49380	1390	5	2.65	0.989	353000	7000	KNSTD	0	0	0	2003	16400	1500	-	-	17698	837	353	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-12	Todd2010-A	03-RDY-028-QZH	-85.90452	-132.49345	1394	6.75	2.65	0.989	1951000	27000	KNSTD	0	0	0	2003	93100	8400	-	-	101537	4677	1441	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-13	Todd2010-B	03-RDY-056-QZH	-85.89955	-132.57832	1310	6.5	2.65	0.999	266000	8000	KNSTD	0	0	0	2003	13200	1200	-	-	14317	751	432	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-14	Todd2010-B	03-RDY-057-QZH	-85.89955	-132.57832	1310	7	2.65	0.999	179000	14000	KNSTD	0	0	0	2003	8900	1000	-	-	9602	858	753	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-15	Todd2010-B	03-RDY-058-QZH	-85.89955	-132.57832	1310	9	2.65	0.999	193000	5000	KNSTD	0	0	0	2003	9700	900	-	-	10554	529	274	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-16	Todd2010-B	03-RDY-055-QZH	-85.89935	-132.58710	1309	9.5	2.65	0.999	264000	6000	KNSTD	0	0	0	2003	13400	1200	-	-	14589	708	333	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-17	Todd2010-B	03-RDY-048-QZH	-85.89832	-132.59722	1302	3	2.65	0.999	167000	4000	KNSTD	0	0	0	2003	8100	700	-	-	8717	428	209	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-18	Todd2010-B	03-RDY-045-QZH	-85.89838	-132.59863	1296	5	2.65	0.998	202000	5000	KNSTD	0	0	0	2003	10000	900	-	-	10837	536	269	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-19	Todd2010-B	03-RDY-046-QZH	-85.89838	-132.59863	1296	6	2.65	0.999	288000	5000	KNSTD	0	0	0	2003	14400	1300	-	-	15644	724	273	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-20	Todd2010-B	03-RDY-053-QZH	-85.89878	-132.59013	1294	7	2.65	0.998	4800000	80000	KNSTD	0	0	0	2003	256000	24000	-	-	283555	13967	5077	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-21	Todd2010-B	03-RDY-050-QZH	-85.89867	-132.58910	1293	6	2.65	0.998	702000	12000	KNSTD	0	0	0	2003	35300	3100	-	-	38651	1796	667	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-22	Todd2010-B	03-RDY-052-QZH	-85.89867	-132.58910	1293	7	2.65	0.998	208000	6000	KNSTD	0	0	0	2003	10500	1000	-	-	11392	589	330	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-22	Todd2010-B	03-RDY-052-QZH-RPT	-85.89867	-132.58910	1293	7	2.65	0.998	202000	7000	KNSTD	0	0	0	2003	10200	1000	-	-	11063	610	384	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-23	Todd2010-B	03-RDY-033-QZH	-85.89733	-132.60530	1290	3	2.65	0.998	195000	5000	KNSTD	0	0	0	2003	9500	900	-	-	10319	515	265	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-24	Todd2010-B	03-RDY-036-QZH	-85.89753	-132.60825	1282	6	2.65	0.998	1003000	19000	KNSTD	0	0	0	2003	51100	4600	-	-	56057	2656	1077	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-25	Todd2010-B	03-RDY-037-QZH	-85.89753	-132.60825	1282	5	2.65	0.998	151000	4000	KNSTD	0	0	0	2003	7600	700	-	-	8160	411	217	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-26	Todd2010-B	03-RDY-032-QZH	-85.89758	-132.61042	1280	8	2.65	0.998	289000	7000	KNSTD	0	0	0	2003	14900	1300	-	-	16217	800	394	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-27	Todd2010-B	03-RDY-030-QZH	-85.89788	-132.61377	1280	8	2.65	0.998	235000	6000	KNSTD	0	0	0	2003	12100	1100	-	-	13156	657	337	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-28	Todd2010-B	03-RDY-029-QZH	-85.89803	-132.61128	1276	4.5	2.65	0.997	160000	9000	KNSTD	0	0	0	2003	8000	800	-	-	8672	614	489	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-29	Todd2010-B	03-RDY-038-QZH	-85.89690	-132.62010	1272	6.5	2.65	0.998	138000	8000	KNSTD	0	0	0	2003	7000	700	-	-	7631	551	443	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-30	Todd2010-B	03-RDY-041-QZH	-85.89717	-132.61902	1266	5.5	2.65	0.998	4930000	90000	KNSTD	0	0	0	2003	266000	25000	-	-	295680	14801	5817	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-31	Todd2010-B	03-RDY-042-QZH	-85.89627	-132.63007	1246	5.5	2.65	0.998	174000	13000	KNSTD	0	0	0	2003	9000	1000	-	-	9776	843	732	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-32	Todd2010-B	03-RDY-043-QZH	-85.89627	-132.63007	1246	6	2.65	0.998	199000	11000	KNSTD	0	0	0	2003	10300	1100	-	-	11260	789	624	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-33	Todd2010-C	04-RDY-105-QZHL	-85.91008	-132.34532	1310	7	2.65	0.955	217000	8000	KNSTD	0	0	0	2004	11300	1100	-	-	12251	693	453	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-34	Todd2010-C	04-RDY-104-QZHL	-85.91013	-132.34377	1304	9	2.65	0.939	126000	6000	KNSTD	0	0	0	2004	6800	700	-	-	7374	473	352	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-35	Todd2010-C	04-RDY-102-QZHL	-85.90997	-132.34222	1284	8.5	2.65	0.868	671000	17000	KNSTD	0	0	0	2004	39800	3600	-	-	43815	2200	1122	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-36	Todd2010-C	04-RDY-103-QZHL	-85.90997	-132.34222	1284	8.5	2.65	0.852	272000	10000	KNSTD	0	0	0	2004	16400	1600	-	-	17914	1014	662	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-37	Todd2010-D	03-RDY-135-CPH	-86.07692	-131.22337	1660	5	2.65	0.985	2528000	35000	KNSTD	0	0	0	2003	97100	8700	-	-	103732	4781	1474	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-38	Todd2010-D	03-RDY-133-CPH	-86.07808	-131.22262	1704	5	2.65	0.999	703000	14000	KNSTD	0	0	0	2003	25300	2300	-	-	26796	1271	537	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-39	Todd2010-D	03-RDY-117-CPH	-86.08975	-130.96432	1528	6	2.65	0.979	241000	9000	KNSTD	0	0	0	2003	10200	1000	-	-	10878	619	407	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-40	Todd2010-D	03-RDY-118-CPH	-86.08975	-130.96432	1528	7	2.65	0.982	2639000	39000	KNSTD	0	0	0	2003	115000	10000	-	-	124396	5801	1897	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-41	Todd2010-D	03-RDY-128-CPH	-86.09003	-130.96353	1529	6.5	2.65	0.985	2717000	44000	KNSTD	0	0	0	2003	117000	11000	-	-	127123	5995	2125	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-42	Todd2010-D	03-RDY-127-CPH	-86.08998	-130.95963	1525	6.5	2.65	0.986	347000	8000	KNSTD	0	0	0	2003	14700	1300	-	-	15732	767	364	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-43	Todd2010-D	03-RDY-124-CPH	-86.08908	-130.93792	1516	6	2.65	0.989	267000	6000	KNSTD	0	0	0	2003	11300	1000	-	-	12074	585	272	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-44	Todd2010-D	03-RDY-123-CPH	-86.08908	-130.92145	1522	8.75	2.65	0.989	241000	7000	KNSTD	0	0	0	2003	10400	900	-	-	11084	574	323	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-45	Todd2010-D	03-RDY-121-CPH	-86.08825	-130.90778	1517	5.75	2.65	0.992	1052000	20000	KNSTD	0	0	0	2003	44600	4000	-	-	48048	2274	925	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-46	Todd2010-E	04-RDY-168-MIM	-86.04250	-125.74313	1924	7.5	2.65	0.994	282000	14000	KNSTD	0	0	0	2004	8800	900	-	-	9068	595	451	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-47	Todd2010-E	04-RDY-169-MIM	-86.04247	-125.74425	1923	3.5	2.65	0.987	289000	13000	KNSTD	0	0	0	2004	8800	900	-	-	9054	563	408	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-48	Todd2010-E	04-RDY-170-MIM	-86.04237	-125.74607	1917	8.5	2.65	0.993	286000	14000	KNSTD	0	0	0	2004	9100	900	-	-	9339	608	458	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-49	Todd2010-E	04-RDY-174-MIM	-86.04386	-125.70660	1988	3.5	2.65	0.992	288000	91000	KNSTD	0	0	0	2004	8300	2800	-	-	8490	2713	2688	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-49	Todd2010-E	04-RDY-174-MIM-RPT	-86.04386	-125.70660	1988	3.5	2.65	0.992	281000	7000	KNSTD	0	0	0	2004	8100	700	-	-	8284	410	207	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-50	Todd2010-E	04-RDY-178-MIM	-86.04395	-125.71752	1966	5.5	2.65	0.988	295000	103000	KNSTD	0	0	0	2004	8900	3200	-	-	9066	3196	3172	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-50	Todd2010-E	04-RDY-178-MIM-RPT	-86.04395	-125.71752	1966	5.5	2.65	0.988	257000	6000	KNSTD	0	0	0	2004	7700	700	-	-	7883	384	184	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-51	Todd2010-E	04-RDY-179-MIM	-86.04405	-125.71328	1970	5.5	2.65	0.989	298000	9000	KNSTD	0	0	0	2004	8900	800	-	-	9120	478	276	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-52	Todd2010-F	04-RDY-181-MIM	-86.04250	-125.75835	1895	9.5	2.65	0.996	238000	7000	KNSTD	0	0	0	2004	7700	700	-	-	7939	413	234	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-53	Todd2010-F	04-RDY-183-MIM	-86.04262	-125.75902	1892	6.5	2.65	0.994	522000	17000	KNSTD	0	0	0	2004	16600	1500	-	-	17251	931	564	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-54	Todd2010-F	04-RDY-186-MIM	-86.04400	-125.80575	1826	4.5	2.65	0.991	4200000	180000	KNSTD	0	0	0	2004	143000	14000	-	-	150352	9448	6692	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-55	Todd2010-G	04-RDY-154-PGN	-86.01080	-126.24662	1654	3.5	2.65	0.999	561000	28000	KNSTD	0	0	0	2004	20700	2100	-	-	22008	1454	1105	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-56	Todd2010-G	04-RDY-157-PGN	-86.01013	-126.24988	1660	5	2.65	0.999	176000	16000	KNSTD	0	0	0	2004	6500	800	-	-	6918	696	630	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-57	Todd2010-G	04-RDY-159-PGN	-86.01117	-126.25185	1656	6	2.65	0.999	1198000	27000	KNSTD	0	0	0	2004	45300	4100	-	-	48381	2365	1104	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-58	Todd2010-G	04-RDY-160-PGN	-86.01145	-126.25898	1657	5.5	2.65	0.994	141000	8000	KNSTD	0	0	0	2004	5300	600	-	-	5614	399	319	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-59	Todd2010-H	04-RDY-210-HCH	-86.32798	-126.08850	1956	2	2.65	0.998	250000	12000	KNSTD	0	0	0	2004	7300	700	-	-	7462	480	359	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-60	Todd2010-H	04-RDY-211-HCH	-86.32798	-126.08850	1956	6.5	2.65	0.982	113000	7000	KNSTD	0	0	0	2004	3500	400	-	-	3521	265	218	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-61	Todd2010-I	04-RDY-212-HCH	-86.32785	-126.13314	1943	2.75	2.65	0.999	154000	15000	KNSTD	0	0	0	2004	4600	600	-	-	4698	500	458	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-62	Todd2010-J	04-RDY-074-LNG	-85.54638	-135.36480	1060	6	2.65	0.999	122000	4000	KNSTD	0	0	0	2004	7400	700	-	-	8065	435	265	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-63	Todd2010-J	04-RDY-076-LNG	-85.54642	-135.37515	1050	5	2.65	0.997	125000	3000	KNSTD	0	0	0	2004	7600	700	-	-	8284	407	199	-	-	-	-
