Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Ullman et al. (2015)	boulder	Ullm2015-1	Ullm2015-A	RCLC-09-02	45.469	-91.535	449	3	2.65	1	134339	5706	07KNSTD	0	0	0	2009	22800	1000	-	-	23608	1431	1009	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-2	Ullm2015-A	RCLC-09-03	45.469	-91.534	449	3.5	2.65	1	120686	4087	07KNSTD	0	0	0	2009	20600	700	-	-	21355	1170	727	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-3	Ullm2015-A	RCLC-09-04	45.470	-91.534	440	2	2.75	1	296900	8522	07KNSTD	0	0	0	2009	50200	1500	-	-	51410	2680	1495	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-4	Ullm2015-A	RCLC-09-06	45.472	-91.531	461	3	2.65	1	152771	6527	07KNSTD	0	0	0	2009	25600	1100	-	-	26462	1609	1138	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-5	Ullm2015-A	RCLC-09-13	45.480	-91.525	505	2	2.75	1	295706	7018	07KNSTD	0	0	0	2009	47100	1200	-	-	48121	2380	1156	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-6	Ullm2015-A	RCLC-11-05	45.472	-91.534	444	3	2.65	1	141309	6309	07KNSTD	0	0	0	2011	24100	1100	-	-	24907	1549	1119	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-7	Ullm2015-A	RCLC-11-06	45.471	-91.531	410	2.5	2.65	1	141035	6297	07KNSTD	0	0	0	2011	24700	1100	-	-	25523	1587	1147	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-8	Ullm2015-A	RCLC-11-07	45.471	-91.532	432	2.5	2.65	1	179304	6352	07KNSTD	0	0	0	2011	30700	1100	-	-	31616	1768	1129	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-9	Ullm2015-A	RCLC-11-08	45.472	-91.531	428	3	2.65	1	141880	4733	07KNSTD	0	0	0	2011	24600	800	-	-	25364	1383	852	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-10	Ullm2015-A	RCLC-11-09	45.472	-91.530	439	2	2.65	1	385319	9495	07KNSTD	0	0	0	2011	65600	1700	-	-	66961	3358	1678	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-11	Ullm2015-B	RCLC-11-01	45.504	-91.388	514	3	2.65	1	127824	5780	07KNSTD	0	0	0	2011	20500	900	-	-	21211	1326	964	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-12	Ullm2015-B	RCLC-11-02	45.503	-91.388	482	2.5	2.65	1	118463	4094	07KNSTD	0	0	0	2011	19500	700	-	-	20208	1116	702	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-13	Ullm2015-C	GOG-11-01	46.286	-90.794	507	2	2.65	1	90064	3964	07KNSTD	0	0	0	2011	14400	600	-	-	14871	915	657	-	-	-	-
Ullman et al. (2015)	boulder	Ullm2015-14	Ullm2015-C	GOG-11-02	46.286	-90.794	538	2.5	2.65	1	76293	3864	07KNSTD	0	0	0	2011	11900	600	-	-	12318	819	626	-	-	-	-
