Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Wittmeier et al. (2020)	boulder	Witt2020-1	Witt2020-A	ROD-12-1	70.166	20.779	80	1.79	2.7	0.98	66700	1800	07KNSTD	0	0	0	2012	14717	399	-	-	14118	871	382	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-2	Witt2020-A	ROD-12-4	70.166	20.779	74	1.83	2.7	0.98	60500	1770	07KNSTD	0	0	0	2012	13445	394	-	-	12873	808	378	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-3	Witt2020-A	ROD-12-5	70.165	20.777	73	2.66	2.7	0.99	66500	1530	07KNSTD	0	0	0	2012	14745	340	-	-	14135	849	326	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-4	Witt2020-A	ROD-12-6	70.165	20.777	72	2.39	2.7	0.99	61800	1490	07KNSTD	0	0	0	2012	13681	331	-	-	13108	793	317	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-5	Witt2020-B	ROD-12-2	70.167	20.778	76	1.91	2.7	0.96	64600	1480	07KNSTD	0	0	0	2012	14622	336	-	-	14026	842	322	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-6	Witt2020-B	ROD-12-9	70.162	20.774	80	3.59	2.7	0.78	60300	1500	07KNSTD	0	0	0	2012	16900	422	-	-	16312	993	407	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-7	Witt2020-B	ROD-12-10	70.161	20.775	67	2.5	2.7	0.98	62400	1660	07KNSTD	0	0	0	2012	14042	375	-	-	13452	828	359	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-8	Witt2020-B	ROD-12-11	70.163	20.770	118	1.87	2.7	0.98	64500	1650	07KNSTD	0	0	0	2012	13672	351	-	-	13160	804	338	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-9	Witt2020-B	ROD-13-73	70.162	20.774	80	1.25	2.7	0.99	64100	1220	07KNSTD	0	0	0	2013	13948	266	-	-	13360	784	255	-	-	-	-
Wittmeier et al. (2020)	boulder	Witt2020-10	Witt2020-B	ROD-13-76	70.167	20.779	70	0.8	2.7	0.97	73200	1670	07KNSTD	0	0	0	2013	16364	375	-	-	15684	942	359	-	-	-	-
