Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Young et al. (2015)	boulder	Youn2015-1	Youn2015-A	13ELB-01	70.1555	-70.1982	240	1.58	2.65	0.994	1276	97	07KNSTD	0	0	0	2013	238	18	-	-	235	22	18	-	-	-	-
Young et al. (2015)	boulder	Youn2015-2	Youn2015-A	13ELB-02	70.1557	-70.1994	304	1.28	2.65	0.994	2299	156	07KNSTD	0	0	0	2013	400	27	-	-	382	33	26	-	-	-	-
Young et al. (2015)	boulder	Youn2015-3	Youn2015-A	13ELB-03	70.1558	-70.1994	363	3.45	2.65	0.994	1741	93	07KNSTD	0	0	0	2013	290	15	-	-	284	22	15	-	-	-	-
Young et al. (2015)	boulder	Youn2015-4	Youn2015-B	13ELB-04	70.1554	-70.2006	316	1.45	2.65	0.994	2706	136	07KNSTD	0	0	0	2013	465	23	-	-	441	33	22	-	-	-	-
Young et al. (2015)	boulder	Youn2015-5	Youn2015-B	13ELB-05	70.1554	-70.2007	321	1.49	2.65	0.994	40365	791	07KNSTD	0	0	0	2013	6917	136	-	-	6755	397	133	-	-	-	-
Young et al. (2015)	boulder	Youn2015-6	Youn2015-B	13ELB-06	70.1555	-70.2010	331	1.72	2.65	0.994	2539	171	07KNSTD	0	0	0	2013	431	24	-	-	410	36	28	-	-	-	-
Young et al. (2015)	boulder	Youn2015-7	Youn2015-B	13ELB-07	70.1556	-70.2016	347	2	2.65	0.994	2657	121	07KNSTD	0	0	0	2013	444	20	-	-	423	30	19	-	-	-	-
Young et al. (2015)	boulder	Youn2015-8	Youn2015-C	13ELB-08	70.1549	-70.2025	325	1.47	2.65	0.994	4686	170	07KNSTD	0	0	0	2013	798	29	-	-	738	49	27	-	-	-	-
Young et al. (2015)	boulder	Youn2015-9	Youn2015-C	13ELB-09	70.1551	-70.2036	324	1.2	2.65	0.994	4659	278	07KNSTD	0	0	0	2013	793	47	-	-	733	60	44	-	-	-	-
Young et al. (2015)	boulder	Youn2015-10	Youn2015-C	13ELB-10	70.1544	-70.2013	307	1.27	2.65	0.994	4908	179	07KNSTD	0	0	0	2013	850	31	-	-	786	52	29	-	-	-	-
Young et al. (2015)	boulder	Youn2015-11	Youn2015-C	13ELB-11	70.1544	-70.2011	303	1.18	2.65	0.994	4419	476	07KNSTD	0	0	0	2013	768	83	-	-	710	86	76	-	-	-	-
Young et al. (2015)	boulder	Youn2015-12	Youn2015-C	13ELB-12	70.1544	-70.2011	307	1.09	2.65	0.994	4511	168	07KNSTD	0	0	0	2013	781	29	-	-	721	48	27	-	-	-	-
Young et al. (2015)	boulder	Youn2015-13	Youn2015-D	13ELB-13	70.1540	-70.2015	310	1.08	2.65	0.994	5023	167	07KNSTD	0	0	0	2013	866	29	-	-	801	52	27	-	-	-	-
Young et al. (2015)	boulder	Youn2015-14	Youn2015-D	13ELB-14	70.1542	-70.2025	307	2.08	2.65	0.994	6026	268	07KNSTD	0	0	0	2013	1051	47	-	-	975	69	43	-	-	-	-
Young et al. (2015)	boulder	Youn2015-15	Youn2015-D	13ELB-15	70.1541	-70.2020	310	1.76	2.65	0.994	5185	183	07KNSTD	0	0	0	2013	899	32	-	-	832	55	29	-	-	-	-
Young et al. (2015)	boulder	Youn2015-16	Youn2015-E	13ELB-16	70.1538	-70.2037	288	2	2.65	0.994	5194	320	07KNSTD	0	0	0	2013	923	57	-	-	854	71	53	-	-	-	-
Young et al. (2015)	boulder	Youn2015-17	Youn2015-E	13ELB-17	70.1537	-70.2035	287	1.55	2.65	0.994	5295	187	07KNSTD	0	0	0	2013	939	33	-	-	869	57	31	-	-	-	-
Young et al. (2015)	boulder	Youn2015-18	Youn2015-E	13ELB-18	70.1537	-70.2034	286	1.53	2.65	0.994	5345	204	07KNSTD	0	0	0	2013	949	36	-	-	878	59	34	-	-	-	-
Young et al. (2015)	boulder	Youn2015-19	Youn2015-E	13ELB-19	70.1537	-70.2030	287	2.32	2.65	0.994	5583	228	07KNSTD	0	0	0	2013	996	41	-	-	923	63	38	-	-	-	-
Young et al. (2015)	boulder	Youn2015-20	Youn2015-E	13ELB-20	70.1537	-70.2032	304	1.79	2.65	0.994	6088	223	07KNSTD	0	0	0	2013	1063	39	-	-	986	65	36	-	-	-	-
Young et al. (2015)	boulder	Youn2015-21	Youn2015-F	13AYR-01	70.3118	-70.6329	101	1.47	2.65	0.989	3715	161	07KNSTD	0	0	0	2013	808	35	-	-	738	52	32	-	-	-	-
Young et al. (2015)	boulder	Youn2015-22	Youn2015-F	13AYR-02	70.3118	-70.6239	99	1.44	2.65	0.989	6931	187	07KNSTD	0	0	0	2013	1511	41	-	-	1390	86	38	-	-	-	-
