Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Young et al. (2020b)	boulder	Youn2020b-1	Sinc2019-A	17GRO-01	64.75141	-49.56120	748	1.5	2.65	1	77994	2755	07KNSTD	0	0	0	2017	8730	310	-	-	8486	558	300	-	-	-	-
Young et al. (2020b)	boulder	Youn2020b-2	Sinc2019-A	17GRO-02	64.75278	-49.55141	726	2	2.65	1	76160	2708	07KNSTD	0	0	0	2017	8730	310	-	-	8491	559	303	-	-	-	-
Young et al. (2020b)	boulder	Youn2020b-3	Sinc2019-A	17GRO-04	64.77811	-49.54660	856	2	2.65	1	89563	3162	07KNSTD	0	0	0	2017	9140	320	-	-	8896	585	315	-	-	-	-
Young et al. (2020b)	boulder	Youn2020b-4	Youn2020b-A	17GRO-49	63.97643	-49.51587	931	2.5	2.65	1	111924	3486	07KNSTD	0	0	0	2017	10730	340	-	-	10435	664	326	-	-	-	-
Young et al. (2020b)	boulder	Youn2020b-5	Youn2020b-A	17GRO-51	63.97548	-49.51407	928	3	2.65	1	99409	3310	07KNSTD	0	0	0	2017	9590	320	-	-	9325	603	311	-	-	-	-
Young et al. (2020b)	boulder	Youn2020b-6	Youn2020b-B	17GRO-53	63.91561	-49.69950	900	3	2.65	1	166707	4970	07KNSTD	0	0	0	2017	16500	490	-	-	16142	1018	483	-	-	-	-
Young et al. (2020b)	boulder	Youn2020b-7	Youn2020b-B	17GRO-54	63.90542	-49.67972	885	2	2.65	1	78459	2640	07KNSTD	0	0	0	2017	7790	260	-	-	7577	491	255	-	-	-	-
Young et al. (2020b)	boulder	Youn2020b-8	Youn2020b-C	17GRO-46	64.45596	-49.45530	769	1.3	2.65	1	94977	2772	07KNSTD	0	0	0	2017	10410	310	-	-	10151	636	297	-	-	-	-
Young et al. (2020b)	boulder	Youn2020b-9	Youn2020b-C	17GRO-47	64.45605	-49.45560	763	2.04	2.65	1	91901	2617	07KNSTD	0	0	0	2017	10190	290	-	-	9938	619	284	-	-	-	-
Young et al. (2020b)	boulder	Youn2020b-10	Youn2020b-C	17GRO-48	64.45573	-49.45563	767	2.94	2.65	1	93953	2869	07KNSTD	0	0	0	2017	10460	320	-	-	10201	646	312	-	-	-	-
